Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,172.0,183.0,172.0,181.0,181.0,10726700
2025-03-04,178.0,181.0,175.0,178.0,178.0,3496600
2025-03-05,180.0,189.0,180.0,182.0,182.0,6462100
2025-03-06,185.0,187.0,183.0,184.0,184.0,5684200
2025-03-07,186.0,190.0,182.0,187.0,187.0,4680900
2025-03-10,189.0,190.0,180.0,181.0,181.0,3294700
2025-03-11,181.0,182.0,173.0,178.0,178.0,9784200
2025-03-12,180.0,183.0,176.0,179.0,179.0,2322600
2025-03-13,178.0,180.0,176.0,178.0,178.0,2155300
2025-03-14,178.0,179.0,173.0,175.0,175.0,4153000
2025-03-17,175.0,175.0,170.0,172.0,172.0,8422200
2025-03-18,173.0,173.0,150.0,160.0,160.0,14717100
2025-03-19,160.0,170.0,159.0,168.0,168.0,6407500
2025-03-20,168.0,174.0,167.0,169.0,169.0,3630700
2025-03-21,169.0,170.0,164.0,165.0,165.0,2418200
2025-03-24,164.0,165.0,156.0,163.0,163.0,5853300
2025-03-25,163.0,168.0,161.0,168.0,168.0,5630700
2025-03-26,169.0,226.0,169.0,226.0,226.0,110075300
2025-03-27,230.0,274.0,230.0,240.0,240.0,246576600
2025-04-08,204.0,224.0,204.0,208.0,208.0,46140500
2025-04-09,208.0,220.0,194.0,196.0,196.0,39578500
2025-04-10,214.0,222.0,202.0,216.0,216.0,48790700
2025-04-11,216.0,222.0,208.0,216.0,216.0,13408700
2025-04-14,218.0,232.0,218.0,232.0,232.0,21723500
2025-04-15,234.0,242.0,230.0,232.0,232.0,21834300
2025-04-16,236.0,236.0,228.0,228.0,228.0,9607600
2025-04-17,228.0,250.0,228.0,240.0,240.0,85510200
2025-04-21,240.0,242.0,234.0,238.0,238.0,17907400
2025-04-22,240.0,258.0,240.0,248.0,248.0,95846600
2025-04-23,250.0,254.0,244.0,246.0,246.0,19740300
2025-04-24,250.0,264.0,246.0,252.0,252.0,57942000
2025-04-25,256.0,262.0,252.0,256.0,256.0,34715100
2025-04-28,258.0,272.0,256.0,268.0,268.0,55464500
2025-04-29,270.0,306.0,262.0,290.0,290.0,239163700
2025-04-30,290.0,294.0,280.0,292.0,292.0,60868700
2025-05-02,292.0,294.0,268.0,276.0,276.0,55027500
2025-05-05,278.0,282.0,270.0,276.0,276.0,45742100
2025-05-06,276.0,280.0,270.0,274.0,274.0,34816700
2025-05-07,276.0,284.0,272.0,272.0,272.0,32660400
2025-05-08,278.0,288.0,272.0,274.0,274.0,64179600
2025-05-09,280.0,282.0,272.0,278.0,278.0,48278300
