Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,13.0,13.0,13.0,13.0,13.0,20000.0
2025-03-04,13.0,14.0,13.0,14.0,14.0,60700.0
2025-03-05,15.0,15.0,15.0,15.0,15.0,151400.0
2025-03-06,15.0,15.0,15.0,15.0,15.0,0.0
2025-03-07,15.0,15.0,15.0,15.0,15.0,21600.0
2025-03-10,16.0,16.0,15.0,15.0,15.0,5400.0
2025-03-11,15.0,15.0,15.0,15.0,15.0,1200.0
2025-03-12,15.0,15.0,14.0,14.0,14.0,281200.0
2025-03-13,14.0,14.0,14.0,14.0,14.0,10200.0
2025-03-14,14.0,14.0,14.0,14.0,14.0,24500.0
2025-03-17,15.0,15.0,15.0,15.0,15.0,3100.0
2025-03-18,15.0,15.0,14.0,14.0,14.0,6600.0
2025-03-19,14.0,14.0,14.0,14.0,14.0,40800.0
2025-03-20,15.0,15.0,15.0,15.0,15.0,418100.0
2025-03-21,15.0,16.0,15.0,16.0,16.0,4700.0
2025-03-24,16.0,16.0,16.0,16.0,16.0,101200.0
2025-03-25,16.0,16.0,15.0,15.0,15.0,61900.0
2025-03-26,15.0,15.0,15.0,15.0,15.0,42000.0
2025-03-27,15.0,15.0,15.0,15.0,15.0,300.0
2025-04-08,15.0,15.0,15.0,15.0,15.0,1200.0
2025-04-09,15.0,15.0,14.0,14.0,14.0,309200.0
2025-04-10,14.0,15.0,14.0,15.0,15.0,914100.0
2025-04-11,14.0,16.0,14.0,14.0,14.0,518800.0
2025-04-14,14.0,14.0,14.0,14.0,14.0,246300.0
2025-04-15,14.0,14.0,14.0,14.0,14.0,517500.0
2025-04-16,14.0,15.0,13.0,15.0,15.0,728600.0
2025-04-17,15.0,16.0,14.0,14.0,14.0,383200.0
2025-04-21,14.0,14.0,14.0,14.0,14.0,408200.0
2025-04-22,14.0,14.0,13.0,14.0,14.0,770300.0
2025-04-23,14.0,14.0,14.0,14.0,14.0,648900.0
2025-04-24,14.0,14.0,14.0,14.0,14.0,712000.0
2025-04-25,14.0,14.0,13.0,13.0,13.0,457700.0
2025-04-28,13.0,14.0,13.0,14.0,14.0,890800.0
2025-04-29,14.0,15.0,13.0,15.0,15.0,2017100.0
2025-04-30,15.0,15.0,14.0,15.0,15.0,1350900.0
2025-05-02,15.0,16.0,15.0,16.0,16.0,933200.0
2025-05-05,16.0,16.0,16.0,16.0,16.0,1222800.0
2025-05-06,16.0,17.0,16.0,17.0,17.0,2788000.0
2025-05-07,17.0,18.0,16.0,18.0,18.0,1882600.0
2025-05-08,19.0,19.0,19.0,19.0,19.0,384200.0
2025-05-09,20.0,20.0,20.0,20.0,20.0,604100.0
2025-05-14,22.0,22.0,22.0,22.0,22.0,205300.0
2025-05-15,21.0,24.0,20.0,24.0,24.0,1443400.0
2025-05-16,24.0,25.0,24.0,25.0,25.0,154700.0
2025-05-19,27.0,27.0,26.0,26.0,26.0,150200.0
2025-05-20,26.0,26.0,26.0,26.0,26.0,420700.0
2025-05-21,26.0,27.0,26.0,27.0,27.0,205300.0
2025-05-22,28.0,28.0,28.0,28.0,28.0,156500.0
2025-05-23,30.0,30.0,30.0,30.0,30.0,723000.0
2025-05-26,32.0,33.0,32.0,33.0,33.0,689100.0
2025-05-27,33.0,33.0,30.0,30.0,30.0,1321900.0
2025-05-28,27.0,27.0,27.0,27.0,27.0,1368400.0
2025-06-02,27.0,29.0,27.0,29.0,29.0,206500.0
2025-06-03,30.0,31.0,30.0,31.0,31.0,480900.0
2025-06-04,34.0,34.0,32.0,32.0,32.0,1094000.0
2025-06-05,32.0,32.0,29.0,32.0,32.0,95300.0
2025-06-10,32.0,32.0,30.0,30.0,30.0,18800.0
2025-06-11,30.0,30.0,30.0,30.0,30.0,21500.0
2025-06-12,30.0,30.0,30.0,30.0,30.0,35900.0
2025-06-13,30.0,30.0,29.0,29.0,29.0,16500.0
2025-06-16,28.0,28.0,27.0,27.0,27.0,77900.0
2025-06-17,27.0,29.0,27.0,29.0,29.0,466000.0
2025-06-18,29.0,29.0,29.0,29.0,29.0,138400.0
2025-06-19,28.0,29.0,28.0,28.0,28.0,1077700.0
2025-06-20,28.0,30.0,28.0,30.0,30.0,756400.0
2025-06-23,30.0,30.0,30.0,30.0,30.0,241900.0
2025-06-24,29.0,29.0,28.0,28.0,28.0,87200.0
2025-06-25,27.0,27.0,27.0,27.0,27.0,52900.0
2025-06-26,27.0,27.0,27.0,27.0,27.0,183600.0
2025-06-30,27.0,27.0,27.0,27.0,27.0,0.0
