Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,228.0,246.0,228.0,242.0,242.0,36200
2025-03-04,242.0,246.0,230.0,230.0,230.0,129000
2025-03-05,230.0,238.0,228.0,232.0,232.0,78800
2025-03-06,232.0,232.0,230.0,232.0,232.0,5200
2025-03-07,228.0,236.0,228.0,236.0,236.0,12600
2025-03-10,236.0,248.0,222.0,242.0,242.0,85100
2025-03-11,242.0,266.0,228.0,238.0,238.0,173100
2025-03-12,228.0,238.0,216.0,220.0,220.0,572200
2025-03-13,222.0,240.0,220.0,224.0,224.0,134600
2025-03-14,228.0,234.0,222.0,228.0,228.0,150500
2025-03-17,232.0,232.0,218.0,226.0,226.0,421400
2025-03-18,226.0,230.0,212.0,224.0,224.0,181700
2025-03-19,216.0,230.0,212.0,224.0,224.0,192100
2025-03-20,216.0,224.0,216.0,224.0,224.0,133200
2025-03-21,224.0,224.0,218.0,222.0,222.0,2600
2025-03-24,218.0,218.0,204.0,204.0,204.0,42300
2025-03-25,214.0,226.0,204.0,212.0,212.0,198800
2025-03-26,212.0,222.0,212.0,222.0,222.0,152700
2025-03-27,218.0,222.0,216.0,216.0,216.0,20800
2025-04-08,204.0,212.0,196.0,210.0,210.0,217600
2025-04-09,210.0,210.0,208.0,208.0,208.0,106100
2025-04-10,208.0,250.0,208.0,240.0,240.0,552500
2025-04-11,240.0,240.0,222.0,240.0,240.0,197400
2025-04-14,238.0,240.0,222.0,224.0,224.0,193800
2025-04-15,238.0,250.0,228.0,240.0,240.0,587300
2025-04-16,240.0,240.0,226.0,234.0,234.0,320600
2025-04-17,234.0,248.0,226.0,246.0,246.0,496000
2025-04-21,246.0,248.0,238.0,246.0,246.0,455800
2025-04-22,244.0,248.0,240.0,246.0,246.0,157600
2025-04-23,250.0,250.0,242.0,248.0,248.0,126000
2025-04-24,248.0,248.0,242.0,244.0,244.0,15800
2025-04-25,244.0,248.0,244.0,248.0,248.0,55700
2025-04-28,248.0,248.0,234.0,248.0,248.0,506400
2025-04-29,244.0,260.0,234.0,260.0,260.0,236600
2025-04-30,260.0,262.0,250.0,262.0,262.0,285600
