Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,570.0,590.0,560.0,575.0,552.3026733398438,3459600
2025-03-04,585.0,585.0,535.0,545.0,523.4868774414062,3026400
2025-03-05,545.0,570.0,545.0,560.0,537.894775390625,2670500
2025-03-06,560.0,595.0,560.0,580.0,557.1052856445312,2683000
2025-03-07,575.0,580.0,565.0,575.0,552.3026733398438,1123400
2025-03-10,575.0,580.0,535.0,560.0,537.894775390625,3353400
2025-03-11,560.0,565.0,545.0,565.0,542.6973876953125,1422400
2025-03-12,565.0,565.0,555.0,555.0,533.0921020507812,1484600
2025-03-13,555.0,560.0,540.0,550.0,528.2894897460938,1889300
2025-03-14,550.0,560.0,545.0,545.0,523.4868774414062,2361000
2025-03-17,555.0,555.0,540.0,545.0,523.4868774414062,1082100
2025-03-18,550.0,550.0,500.0,520.0,499.47369384765625,4893500
2025-03-19,515.0,540.0,515.0,530.0,509.0789489746094,2282300
2025-03-20,530.0,550.0,500.0,520.0,499.47369384765625,6113800
2025-03-21,520.0,530.0,510.0,510.0,489.8684387207031,1806300
2025-03-24,510.0,510.0,480.0,490.0,470.65789794921875,2373600
2025-03-25,490.0,530.0,490.0,520.0,499.47369384765625,3908100
2025-03-26,520.0,560.0,515.0,560.0,537.894775390625,5393400
2025-03-27,560.0,560.0,525.0,530.0,509.0789489746094,3777600
2025-04-08,496.0,496.0,452.0,456.0,438.0,7332100
2025-04-09,454.0,466.0,452.0,456.0,438.0,5414800
2025-04-10,472.0,494.0,472.0,490.0,470.65789794921875,1632300
2025-04-11,480.0,510.0,480.0,498.0,478.3421325683594,2383900
2025-04-14,510.0,525.0,505.0,515.0,494.67108154296875,2484000
2025-04-15,515.0,535.0,510.0,525.0,504.2763366699219,2876600
2025-04-16,510.0,530.0,492.0,494.0,474.5000305175781,4640100
2025-04-17,494.0,505.0,494.0,500.0,480.26318359375,1046200
2025-04-21,500.0,520.0,500.0,505.0,485.0657958984375,1053500
2025-04-22,505.0,575.0,505.0,565.0,542.6973876953125,9946500
2025-04-23,570.0,590.0,560.0,575.0,552.3026733398438,5999800
2025-04-24,565.0,590.0,565.0,585.0,561.9078979492188,4798800
2025-04-25,585.0,610.0,575.0,610.0,585.9210815429688,5671700
2025-04-28,610.0,655.0,605.0,635.0,609.9342041015625,10691200
2025-04-29,635.0,670.0,620.0,665.0,638.75,11154400
2025-04-30,700.0,720.0,680.0,685.0,657.9605712890625,32516100
2025-05-02,685.0,695.0,660.0,665.0,638.75,8124300
2025-05-05,670.0,690.0,665.0,675.0,648.3552856445312,6876800
2025-05-06,665.0,680.0,665.0,675.0,648.3552856445312,2931500
2025-05-07,665.0,675.0,660.0,665.0,638.75,5141700
2025-05-08,665.0,710.0,665.0,710.0,681.9736938476562,12015600
2025-05-09,710.0,720.0,685.0,685.0,657.9605712890625,8150400
2025-05-14,705.0,710.0,685.0,705.0,677.1710815429688,14923600
2025-05-15,705.0,715.0,690.0,700.0,672.3684692382812,11719000
2025-05-16,700.0,715.0,695.0,715.0,686.7763671875,8309400
2025-05-19,715.0,765.0,715.0,725.0,696.381591796875,18098400
2025-05-20,730.0,750.0,720.0,720.0,691.5789794921875,12218500
2025-05-21,715.0,715.0,695.0,705.0,677.1710815429688,8704400
2025-05-22,705.0,715.0,700.0,715.0,686.7763671875,5196300
2025-05-23,720.0,730.0,715.0,725.0,696.381591796875,1853200
2025-05-26,725.0,730.0,675.0,685.0,657.9605712890625,9320800
2025-05-27,685.0,705.0,670.0,705.0,677.1710815429688,3861500
2025-05-28,705.0,710.0,690.0,700.0,672.3684692382812,2252400
2025-06-02,700.0,705.0,685.0,690.0,662.76318359375,6657800
2025-06-03,690.0,690.0,675.0,680.0,653.1578979492188,6357100
2025-06-04,685.0,740.0,685.0,730.0,701.1842041015625,18497100
2025-06-05,720.0,725.0,705.0,715.0,686.7763671875,6471200
2025-06-10,725.0,760.0,720.0,750.0,720.394775390625,18699100
2025-06-11,755.0,760.0,745.0,755.0,725.1973876953125,6023200
2025-06-12,750.0,780.0,750.0,755.0,725.1973876953125,17206900
2025-06-13,755.0,760.0,735.0,745.0,715.5921020507812,8702500
2025-06-16,735.0,750.0,730.0,735.0,705.9868774414062,6328500
2025-06-17,745.0,750.0,735.0,740.0,710.7894897460938,2554800
2025-06-18,740.0,750.0,720.0,735.0,705.9868774414062,3595900
2025-06-19,740.0,740.0,700.0,705.0,677.1710815429688,5271100
2025-06-20,705.0,735.0,695.0,725.0,696.381591796875,3899100
2025-06-23,725.0,725.0,675.0,710.0,681.9736938476562,9185200
2025-06-24,710.0,760.0,710.0,750.0,720.394775390625,15262400
2025-06-25,755.0,755.0,730.0,750.0,720.394775390625,5498700
2025-06-26,750.0,760.0,735.0,735.0,705.9868774414062,4899000
2025-06-30,740.0,780.0,730.0,760.0,730.0,9900200
2025-07-01,760.0,770.0,745.0,765.0,734.8026733398438,6813500
2025-07-02,765.0,775.0,750.0,755.0,725.1973876953125,8284400
2025-07-03,755.0,760.0,750.0,760.0,730.0,5279200
2025-07-04,740.0,750.0,715.0,750.0,750.0,9848100
2025-07-07,740.0,750.0,730.0,745.0,745.0,2465400
2025-07-08,745.0,755.0,730.0,750.0,750.0,6713900
2025-07-09,745.0,755.0,740.0,755.0,755.0,2160100
2025-07-10,750.0,760.0,745.0,750.0,750.0,3517000
2025-07-11,750.0,765.0,750.0,760.0,760.0,4693100
2025-07-14,760.0,770.0,755.0,760.0,760.0,2442900
2025-07-15,760.0,820.0,755.0,815.0,815.0,24381100
2025-07-16,815.0,825.0,790.0,790.0,790.0,12159200
2025-07-17,795.0,825.0,795.0,810.0,810.0,10905300
2025-07-18,805.0,825.0,785.0,810.0,810.0,10544900
2025-07-21,825.0,900.0,810.0,890.0,890.0,34574300
2025-07-22,895.0,920.0,855.0,885.0,885.0,20159900
2025-07-23,890.0,895.0,845.0,880.0,880.0,7773700
2025-07-24,885.0,925.0,885.0,915.0,915.0,16342100
2025-07-25,915.0,925.0,900.0,900.0,900.0,6564900
2025-07-28,905.0,915.0,885.0,915.0,915.0,6217100
2025-07-29,915.0,970.0,860.0,865.0,865.0,33542400
2025-07-30,865.0,910.0,855.0,910.0,910.0,12159200
2025-07-31,910.0,915.0,835.0,850.0,850.0,18722000
2025-08-01,850.0,860.0,825.0,845.0,845.0,9217700
2025-08-04,845.0,870.0,830.0,850.0,850.0,12405600
2025-08-05,850.0,875.0,845.0,870.0,870.0,9132100
2025-08-06,870.0,875.0,860.0,860.0,860.0,4033200
2025-08-07,860.0,890.0,850.0,880.0,880.0,8187300
2025-08-08,885.0,920.0,870.0,915.0,915.0,15342300
2025-08-11,920.0,965.0,910.0,965.0,965.0,23820000
