Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,314.0,338.0,312.0,330.0,330.0,9096100
2025-03-04,334.0,334.0,326.0,330.0,330.0,10445300
2025-03-05,330.0,344.0,330.0,342.0,342.0,10757400
2025-03-06,342.0,348.0,336.0,340.0,340.0,7424500
2025-03-07,344.0,358.0,340.0,352.0,352.0,13454800
2025-03-10,352.0,372.0,344.0,362.0,362.0,14611400
2025-03-11,362.0,362.0,322.0,340.0,340.0,16151800
2025-03-12,344.0,360.0,334.0,358.0,358.0,10630600
2025-03-13,360.0,376.0,352.0,376.0,376.0,17122400
2025-03-14,376.0,380.0,366.0,374.0,374.0,7878100
2025-03-17,376.0,388.0,372.0,380.0,380.0,8500100
2025-03-18,384.0,388.0,348.0,352.0,352.0,21819700
2025-03-19,350.0,362.0,342.0,356.0,356.0,7874100
2025-03-20,358.0,368.0,352.0,358.0,358.0,8677400
2025-03-21,362.0,364.0,352.0,358.0,358.0,4907000
2025-03-24,358.0,364.0,350.0,358.0,358.0,77031000
2025-03-25,360.0,376.0,360.0,374.0,374.0,6736300
2025-03-26,374.0,380.0,368.0,378.0,378.0,5084000
2025-03-27,380.0,382.0,368.0,376.0,376.0,3926300
2025-04-08,340.0,340.0,320.0,324.0,324.0,13531200
2025-04-09,326.0,338.0,326.0,332.0,332.0,5130800
2025-04-10,378.0,378.0,336.0,344.0,344.0,2892500
2025-04-11,340.0,340.0,330.0,334.0,334.0,3152400
2025-04-14,332.0,350.0,332.0,346.0,346.0,2161600
2025-04-15,348.0,364.0,346.0,364.0,364.0,4712000
2025-04-16,366.0,378.0,362.0,370.0,370.0,8515500
2025-04-17,376.0,386.0,362.0,376.0,376.0,6660900
2025-04-21,376.0,380.0,364.0,368.0,368.0,2650900
2025-04-22,370.0,382.0,358.0,380.0,380.0,6759900
2025-04-23,382.0,398.0,382.0,392.0,392.0,6977700
2025-04-24,396.0,396.0,382.0,386.0,386.0,3944400
2025-04-25,388.0,390.0,382.0,382.0,382.0,1838300
2025-04-28,382.0,416.0,382.0,416.0,416.0,14418700
2025-04-29,416.0,420.0,402.0,404.0,404.0,9178200
2025-04-30,406.0,414.0,396.0,406.0,406.0,6095600
2025-05-02,406.0,406.0,392.0,400.0,400.0,3620400
2025-05-05,402.0,404.0,390.0,404.0,404.0,6574700
2025-05-06,404.0,414.0,400.0,408.0,408.0,4327500
2025-05-07,410.0,412.0,392.0,394.0,394.0,10220600
2025-05-08,394.0,402.0,390.0,398.0,398.0,3189000
2025-05-09,398.0,400.0,394.0,398.0,398.0,3312800
2025-05-14,398.0,404.0,398.0,402.0,402.0,2217400
2025-05-15,402.0,404.0,392.0,398.0,398.0,3344300
2025-05-16,398.0,400.0,376.0,398.0,398.0,9420300
2025-05-19,400.0,402.0,388.0,398.0,398.0,10024600
2025-05-20,398.0,398.0,380.0,392.0,392.0,5912900
2025-05-21,392.0,396.0,382.0,396.0,396.0,6562400
2025-05-22,396.0,406.0,396.0,402.0,402.0,5766300
2025-05-23,412.0,414.0,408.0,410.0,410.0,2167700
