Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,32.0,32.0,32.0,32.0,32.0,67400
2025-03-04,32.0,32.0,31.0,31.0,31.0,10200
2025-03-05,31.0,31.0,31.0,31.0,31.0,45600
2025-03-06,31.0,31.0,29.0,29.0,29.0,13100
2025-03-07,28.0,31.0,28.0,31.0,31.0,206800
2025-03-10,31.0,31.0,31.0,31.0,31.0,45400
2025-03-11,31.0,32.0,31.0,32.0,32.0,88500
2025-03-12,32.0,33.0,32.0,33.0,33.0,15000
2025-03-13,36.0,36.0,36.0,36.0,36.0,209200
2025-03-14,36.0,37.0,36.0,37.0,37.0,31400
2025-03-17,37.0,37.0,37.0,37.0,37.0,31900
2025-03-18,37.0,40.0,37.0,40.0,40.0,254200
2025-03-19,40.0,40.0,40.0,40.0,40.0,32600
2025-03-20,37.0,37.0,36.0,36.0,36.0,105200
2025-03-21,39.0,39.0,33.0,33.0,33.0,365300
2025-03-24,33.0,33.0,33.0,33.0,33.0,6600
2025-03-25,31.0,36.0,31.0,36.0,36.0,9400
2025-03-26,36.0,36.0,35.0,35.0,35.0,132000
2025-03-27,35.0,35.0,35.0,35.0,35.0,9900
2025-04-08,35.0,35.0,35.0,35.0,35.0,700
2025-04-09,34.0,34.0,32.0,33.0,33.0,266100
2025-04-10,33.0,33.0,32.0,33.0,33.0,22000
2025-04-11,32.0,32.0,32.0,32.0,32.0,14400
2025-04-14,30.0,32.0,30.0,32.0,32.0,143200
2025-04-15,32.0,32.0,32.0,32.0,32.0,331800
2025-04-16,33.0,33.0,33.0,33.0,33.0,70500
2025-04-17,31.0,32.0,31.0,32.0,32.0,768000
2025-04-21,33.0,33.0,29.0,33.0,33.0,348600
2025-04-22,32.0,33.0,32.0,33.0,33.0,224400
2025-04-23,33.0,33.0,33.0,33.0,33.0,489300
2025-04-24,33.0,33.0,32.0,33.0,33.0,288200
2025-04-25,32.0,33.0,32.0,33.0,33.0,285700
2025-04-28,30.0,36.0,30.0,36.0,36.0,1355600
2025-04-29,34.0,39.0,34.0,39.0,39.0,323600
2025-04-30,38.0,38.0,38.0,38.0,38.0,302200
2025-05-02,38.0,38.0,37.0,37.0,37.0,764300
2025-05-05,37.0,37.0,37.0,37.0,37.0,480500
2025-05-06,36.0,36.0,36.0,36.0,36.0,854800
2025-05-07,35.0,35.0,35.0,35.0,35.0,279600
2025-05-08,33.0,33.0,33.0,33.0,33.0,304100
2025-05-09,33.0,33.0,33.0,33.0,33.0,282900
2025-05-14,33.0,33.0,33.0,33.0,33.0,416400
2025-05-15,33.0,35.0,33.0,35.0,35.0,422900
2025-05-16,38.0,38.0,38.0,38.0,38.0,683700
2025-05-19,41.0,41.0,40.0,40.0,40.0,517600
2025-05-20,40.0,40.0,40.0,40.0,40.0,914500
2025-05-21,40.0,40.0,40.0,40.0,40.0,2200
2025-05-22,40.0,40.0,40.0,40.0,40.0,1100
2025-05-23,39.0,39.0,36.0,36.0,36.0,44600
2025-05-26,34.0,36.0,34.0,36.0,36.0,184600
2025-05-27,36.0,36.0,36.0,36.0,36.0,255400
2025-05-28,36.0,36.0,36.0,36.0,36.0,63500
2025-06-02,36.0,39.0,36.0,38.0,38.0,157800
2025-06-03,38.0,38.0,38.0,38.0,38.0,500
2025-06-04,38.0,40.0,38.0,38.0,38.0,7600
2025-06-05,37.0,38.0,37.0,38.0,38.0,58900
