Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,37.0,37.0,37.0,37.0,37.0,12100
2025-03-04,38.0,38.0,38.0,38.0,38.0,900
2025-03-05,38.0,38.0,38.0,38.0,38.0,0
2025-03-06,38.0,38.0,38.0,38.0,38.0,200
2025-03-07,38.0,38.0,38.0,38.0,38.0,20100
2025-03-10,38.0,38.0,38.0,38.0,38.0,1200
2025-03-11,38.0,38.0,38.0,38.0,38.0,100
2025-03-12,37.0,37.0,37.0,37.0,37.0,32300
2025-03-13,37.0,38.0,37.0,38.0,38.0,6100
2025-03-14,38.0,38.0,38.0,38.0,38.0,3400
2025-03-17,38.0,38.0,37.0,37.0,37.0,1600
2025-03-18,38.0,38.0,38.0,38.0,38.0,1300
2025-03-19,37.0,37.0,37.0,37.0,37.0,6800
2025-03-20,37.0,38.0,37.0,37.0,37.0,50600
2025-03-21,37.0,37.0,36.0,36.0,36.0,400
2025-03-24,36.0,36.0,36.0,36.0,36.0,500
2025-03-25,36.0,36.0,36.0,36.0,36.0,45300
2025-03-26,37.0,37.0,37.0,37.0,37.0,100
2025-03-27,37.0,37.0,36.0,37.0,37.0,3400
2025-04-08,37.0,37.0,37.0,37.0,37.0,200
2025-04-09,36.0,36.0,36.0,36.0,36.0,800
2025-04-10,36.0,36.0,36.0,36.0,36.0,100
2025-04-11,36.0,36.0,36.0,36.0,36.0,8500
2025-04-14,36.0,36.0,36.0,36.0,36.0,52000
2025-04-15,36.0,36.0,36.0,36.0,36.0,900
2025-04-16,36.0,36.0,35.0,36.0,36.0,90400
2025-04-17,36.0,36.0,36.0,36.0,36.0,0
2025-04-21,38.0,38.0,37.0,37.0,37.0,5200
2025-04-22,38.0,38.0,37.0,38.0,38.0,1600
2025-04-23,38.0,38.0,38.0,38.0,38.0,8100
2025-04-24,38.0,38.0,37.0,37.0,37.0,300
2025-04-25,37.0,37.0,37.0,37.0,37.0,1200
2025-04-28,37.0,37.0,37.0,37.0,37.0,500
2025-04-29,37.0,37.0,37.0,37.0,37.0,1100
2025-04-30,38.0,38.0,37.0,37.0,37.0,105400
2025-05-02,37.0,37.0,37.0,37.0,37.0,11800
2025-05-05,37.0,37.0,37.0,37.0,37.0,6000
2025-05-06,37.0,37.0,37.0,37.0,37.0,15900
2025-05-07,37.0,37.0,37.0,37.0,37.0,5800
2025-05-08,37.0,37.0,37.0,37.0,37.0,14900
2025-05-09,37.0,37.0,37.0,37.0,37.0,2200
2025-05-14,37.0,37.0,37.0,37.0,37.0,37800
2025-05-15,37.0,37.0,36.0,37.0,37.0,2200
2025-05-16,37.0,38.0,37.0,38.0,38.0,187500
2025-05-19,38.0,38.0,38.0,38.0,38.0,81800
2025-05-20,38.0,39.0,38.0,39.0,39.0,169300
2025-05-21,39.0,39.0,39.0,39.0,39.0,161300
2025-05-22,39.0,39.0,39.0,39.0,39.0,80200
2025-05-23,38.0,39.0,38.0,39.0,39.0,58800
2025-05-26,39.0,39.0,38.0,38.0,38.0,96000
