Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,1185.0,1225.0,1185.0,1195.0,1195.0,2400
2025-03-04,1195.0,1205.0,1195.0,1205.0,1205.0,5800
2025-03-05,1205.0,1245.0,1185.0,1220.0,1220.0,9500
2025-03-06,1185.0,1200.0,1185.0,1200.0,1200.0,1200
2025-03-07,1210.0,1220.0,1200.0,1200.0,1200.0,18200
2025-03-10,1150.0,1150.0,1150.0,1150.0,1150.0,8600
2025-03-11,1220.0,1270.0,1200.0,1200.0,1200.0,40200
2025-03-12,1205.0,1205.0,1150.0,1180.0,1180.0,16300
2025-03-13,1180.0,1300.0,1180.0,1195.0,1195.0,33800
2025-03-14,1195.0,1275.0,1185.0,1270.0,1270.0,16300
2025-03-17,1280.0,1350.0,1270.0,1275.0,1275.0,24100
2025-03-18,1270.0,1300.0,1150.0,1270.0,1270.0,18200
2025-03-19,1280.0,1280.0,1280.0,1280.0,1280.0,100
2025-03-20,1275.0,1275.0,1260.0,1260.0,1260.0,1400
2025-03-21,1210.0,1210.0,1145.0,1195.0,1195.0,3000
2025-03-24,1160.0,1185.0,1125.0,1150.0,1150.0,7300
2025-03-25,1185.0,1185.0,1135.0,1135.0,1135.0,6000
2025-03-26,1135.0,1175.0,1080.0,1120.0,1120.0,330600
2025-03-27,1120.0,1125.0,1110.0,1125.0,1125.0,12800
2025-04-08,1125.0,1225.0,1075.0,1075.0,1075.0,22200
2025-04-09,1150.0,1180.0,1050.0,1050.0,1050.0,15100
2025-04-10,1115.0,1200.0,1115.0,1200.0,1200.0,7700
2025-04-11,1200.0,1200.0,1120.0,1150.0,1150.0,11700
2025-04-14,1150.0,1150.0,1100.0,1150.0,1150.0,4300
2025-04-15,1155.0,1200.0,1120.0,1200.0,1200.0,8700
2025-04-16,1200.0,1200.0,1140.0,1195.0,1195.0,1000
2025-04-17,1185.0,1195.0,1185.0,1195.0,1195.0,2300
2025-04-21,1185.0,1185.0,1105.0,1155.0,1155.0,61200
2025-04-22,1140.0,1140.0,1140.0,1140.0,1140.0,500
2025-04-23,1210.0,1215.0,1155.0,1215.0,1215.0,19700
2025-04-24,1205.0,1210.0,1175.0,1175.0,1175.0,11800
2025-04-25,1165.0,1205.0,1165.0,1170.0,1170.0,28400
2025-04-28,1170.0,1200.0,1170.0,1200.0,1200.0,26600
2025-04-29,1200.0,1260.0,1185.0,1190.0,1190.0,60600
2025-04-30,1175.0,1210.0,1160.0,1175.0,1175.0,32300
2025-05-02,1195.0,1200.0,1185.0,1185.0,1185.0,4900
2025-05-05,1190.0,1200.0,1180.0,1190.0,1190.0,17400
2025-05-06,1195.0,1200.0,1135.0,1190.0,1190.0,28300
2025-05-07,1155.0,1195.0,1155.0,1175.0,1175.0,7300
