Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,242.0,242.0,230.0,240.0,240.0,27400
2025-03-04,240.0,240.0,230.0,232.0,232.0,91700
2025-03-05,232.0,232.0,230.0,232.0,232.0,29100
2025-03-06,240.0,240.0,232.0,240.0,240.0,98600
2025-03-07,228.0,246.0,228.0,240.0,240.0,46000
2025-03-10,232.0,240.0,232.0,238.0,238.0,59300
2025-03-11,238.0,238.0,226.0,230.0,230.0,33000
2025-03-12,230.0,238.0,220.0,236.0,236.0,47400
2025-03-13,230.0,232.0,224.0,226.0,226.0,39000
2025-03-14,226.0,230.0,226.0,226.0,226.0,13800
2025-03-17,216.0,224.0,212.0,216.0,216.0,203600
2025-03-18,212.0,218.0,200.0,206.0,206.0,111000
2025-03-19,206.0,206.0,190.0,206.0,206.0,18800
2025-03-20,196.0,204.0,186.0,202.0,202.0,22400
2025-03-21,202.0,202.0,195.0,202.0,202.0,17300
2025-03-24,194.0,194.0,175.0,176.0,176.0,172600
2025-03-25,176.0,179.0,172.0,178.0,178.0,18100
2025-03-26,180.0,186.0,175.0,185.0,185.0,33600
2025-03-27,185.0,200.0,183.0,193.0,193.0,22400
2025-04-08,192.0,192.0,178.0,183.0,183.0,72000
2025-04-09,183.0,230.0,183.0,188.0,188.0,83400
2025-04-10,186.0,196.0,185.0,187.0,187.0,12400
2025-04-11,187.0,200.0,187.0,190.0,190.0,28900
2025-04-14,190.0,224.0,190.0,199.0,199.0,165600
2025-04-15,190.0,206.0,190.0,195.0,195.0,17900
2025-04-16,195.0,200.0,194.0,194.0,194.0,44300
2025-04-17,194.0,196.0,193.0,194.0,194.0,57100
2025-04-21,194.0,197.0,192.0,194.0,194.0,51100
2025-04-22,194.0,199.0,194.0,195.0,195.0,19600
2025-04-23,195.0,199.0,194.0,199.0,199.0,32000
2025-04-24,197.0,220.0,195.0,195.0,195.0,141800
2025-04-25,195.0,199.0,193.0,199.0,199.0,40100
2025-04-28,202.0,202.0,198.0,198.0,198.0,49700
2025-04-29,198.0,202.0,198.0,200.0,200.0,26000
2025-04-30,199.0,202.0,199.0,200.0,200.0,23400
2025-05-02,200.0,202.0,200.0,202.0,202.0,16000
2025-05-05,200.0,252.0,195.0,252.0,252.0,2521500
2025-05-06,284.0,314.0,264.0,314.0,314.0,13676100
2025-05-07,346.0,356.0,290.0,292.0,292.0,7064600
2025-05-08,298.0,310.0,280.0,288.0,288.0,614200
2025-05-09,288.0,288.0,254.0,254.0,254.0,849700
2025-05-14,260.0,260.0,236.0,246.0,246.0,796300
2025-05-15,246.0,306.0,242.0,306.0,306.0,9195600
2025-05-16,304.0,304.0,270.0,274.0,274.0,2971400
2025-05-19,280.0,284.0,274.0,280.0,280.0,476200
2025-05-20,286.0,286.0,264.0,266.0,266.0,277800
2025-05-21,268.0,292.0,260.0,274.0,274.0,2334200
2025-05-22,274.0,282.0,270.0,270.0,270.0,1391600
2025-05-23,274.0,274.0,272.0,274.0,274.0,138300
2025-05-26,274.0,278.0,260.0,270.0,270.0,574100
2025-05-27,270.0,328.0,262.0,308.0,308.0,12409300
2025-05-28,312.0,316.0,278.0,288.0,288.0,3285900
2025-06-02,288.0,294.0,266.0,280.0,280.0,1121600
2025-06-03,278.0,286.0,270.0,276.0,276.0,602600
2025-06-04,276.0,280.0,270.0,274.0,274.0,420800
2025-06-05,272.0,286.0,270.0,278.0,278.0,1344000
