Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,535.0,540.0,530.0,540.0,535.5,68200
2025-03-04,540.0,540.0,540.0,540.0,535.5,6300
2025-03-05,540.0,540.0,535.0,540.0,535.5,341300
2025-03-06,535.0,550.0,500.0,545.0,540.4583129882812,3071700
2025-03-07,545.0,545.0,535.0,545.0,540.4583129882812,5400
2025-03-10,545.0,545.0,535.0,535.0,530.5416870117188,20200
2025-03-11,535.0,540.0,530.0,540.0,535.5,37700
2025-03-12,535.0,555.0,535.0,555.0,550.375,1519000
2025-03-13,555.0,555.0,545.0,555.0,550.375,103900
2025-03-14,555.0,555.0,540.0,550.0,545.4166870117188,23300
2025-03-17,545.0,545.0,540.0,540.0,535.5,117700
2025-03-18,540.0,545.0,530.0,535.0,530.5416870117188,106100
2025-03-19,550.0,550.0,535.0,535.0,530.5416870117188,20800
2025-03-20,550.0,550.0,535.0,545.0,540.4583129882812,23700
2025-03-21,545.0,545.0,535.0,535.0,530.5416870117188,49700
2025-03-24,535.0,555.0,535.0,540.0,535.5,1568100
2025-03-25,555.0,555.0,535.0,540.0,535.5,6700
2025-03-26,535.0,540.0,535.0,535.0,530.5416870117188,611700
2025-03-27,545.0,545.0,540.0,545.0,540.4583129882812,500
2025-04-08,540.0,540.0,466.0,484.0,479.9666748046875,887700
2025-04-09,510.0,510.0,492.0,496.0,491.8666687011719,35300
2025-04-10,496.0,500.0,486.0,500.0,495.8333435058594,86000
2025-04-11,486.0,505.0,486.0,505.0,500.7916564941406,600
2025-04-14,510.0,510.0,500.0,505.0,500.7916564941406,2100
2025-04-15,505.0,510.0,500.0,505.0,500.7916564941406,5400
2025-04-16,500.0,510.0,500.0,500.0,495.8333435058594,300
2025-04-17,500.0,505.0,500.0,505.0,500.7916564941406,6000
2025-04-21,510.0,510.0,500.0,500.0,495.8333435058594,16700
2025-04-22,500.0,510.0,486.0,488.0,483.933349609375,69300
2025-04-23,500.0,500.0,490.0,498.0,493.8500061035156,2100
2025-04-24,498.0,500.0,498.0,498.0,493.8500061035156,20000
2025-04-25,510.0,510.0,496.0,498.0,493.8500061035156,15700
2025-04-28,500.0,500.0,488.0,498.0,493.8500061035156,81100
2025-04-29,490.0,500.0,490.0,500.0,495.8333435058594,10500
2025-04-30,505.0,515.0,496.0,515.0,510.7083435058594,247300
2025-05-02,520.0,550.0,515.0,550.0,545.4166870117188,1068300
2025-05-05,535.0,540.0,530.0,540.0,535.5,49700
