Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,94.0,95.0,93.0,94.0,94.0,267300
2025-03-04,94.0,95.0,91.0,93.0,93.0,479500
2025-03-05,94.0,105.0,94.0,95.0,95.0,6343500
2025-03-06,95.0,101.0,94.0,97.0,97.0,750900
2025-03-07,96.0,99.0,95.0,96.0,96.0,1272800
2025-03-10,96.0,96.0,88.0,89.0,89.0,4126900
2025-03-11,92.0,100.0,86.0,96.0,96.0,25919500
2025-03-12,97.0,100.0,84.0,87.0,87.0,18427300
2025-03-13,87.0,88.0,84.0,84.0,84.0,1993500
2025-03-14,84.0,86.0,83.0,83.0,83.0,813500
2025-03-17,86.0,86.0,81.0,84.0,84.0,1143000
2025-03-18,84.0,85.0,77.0,81.0,81.0,2213200
2025-03-19,81.0,84.0,78.0,81.0,81.0,433200
2025-03-20,81.0,83.0,80.0,82.0,82.0,532800
2025-03-21,83.0,83.0,78.0,79.0,79.0,662700
2025-03-24,79.0,79.0,72.0,73.0,73.0,861400
2025-03-25,75.0,75.0,70.0,74.0,74.0,1170500
2025-03-26,75.0,77.0,74.0,76.0,76.0,279400
2025-03-27,77.0,80.0,76.0,79.0,79.0,479300
2025-04-08,74.0,74.0,69.0,73.0,73.0,313700
2025-04-09,73.0,73.0,69.0,72.0,72.0,257200
2025-04-10,74.0,74.0,70.0,72.0,72.0,1656000
2025-04-11,71.0,80.0,70.0,71.0,71.0,3999000
2025-04-14,72.0,75.0,71.0,73.0,73.0,1029800
2025-04-15,73.0,75.0,71.0,74.0,74.0,1045400
2025-04-16,74.0,79.0,74.0,76.0,76.0,1399600
2025-04-17,75.0,78.0,74.0,76.0,76.0,1326100
2025-04-21,75.0,77.0,75.0,76.0,76.0,483800
2025-04-22,76.0,82.0,75.0,75.0,75.0,3001600
2025-04-23,75.0,76.0,72.0,73.0,73.0,3049400
2025-04-24,73.0,73.0,71.0,72.0,72.0,1177200
2025-04-25,72.0,73.0,68.0,72.0,72.0,6483200
2025-04-28,72.0,73.0,71.0,73.0,73.0,1290900
2025-04-29,73.0,74.0,72.0,73.0,73.0,1765000
2025-04-30,72.0,75.0,69.0,69.0,69.0,4162700
2025-05-02,69.0,71.0,68.0,70.0,70.0,2009000
2025-05-05,70.0,70.0,68.0,70.0,70.0,902700
2025-05-06,69.0,71.0,69.0,69.0,69.0,1301900
2025-05-07,70.0,71.0,69.0,71.0,71.0,1857100
2025-05-08,72.0,77.0,71.0,71.0,71.0,8043700
2025-05-09,71.0,72.0,69.0,70.0,70.0,1582300
2025-05-14,70.0,72.0,69.0,72.0,72.0,1405100
2025-05-15,72.0,72.0,70.0,71.0,71.0,651500
2025-05-16,70.0,72.0,70.0,71.0,71.0,816900
2025-05-19,71.0,72.0,70.0,72.0,72.0,638900
2025-05-20,72.0,72.0,70.0,71.0,71.0,1003100
2025-05-21,72.0,72.0,68.0,70.0,70.0,2827800
2025-05-22,70.0,71.0,67.0,69.0,69.0,4151100
2025-05-23,69.0,70.0,68.0,69.0,69.0,543100
2025-05-26,69.0,70.0,68.0,68.0,68.0,522300
2025-05-27,68.0,69.0,67.0,69.0,69.0,389900
2025-05-28,70.0,93.0,69.0,93.0,93.0,100619000
2025-06-02,99.0,105.0,80.0,80.0,80.0,65934800
