Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,11.0,11.0,10.0,11.0,11.0,82600
2025-03-04,11.0,11.0,10.0,11.0,11.0,122600
2025-03-05,11.0,11.0,11.0,11.0,11.0,119400
2025-03-06,11.0,11.0,11.0,11.0,11.0,1022700
2025-03-07,11.0,11.0,11.0,11.0,11.0,168300
2025-03-10,11.0,11.0,11.0,11.0,11.0,108100
2025-03-11,11.0,11.0,11.0,11.0,11.0,1526000
2025-03-12,10.0,11.0,10.0,11.0,11.0,212000
2025-03-13,11.0,11.0,11.0,11.0,11.0,591200
2025-03-14,11.0,11.0,11.0,11.0,11.0,878800
2025-03-17,11.0,11.0,11.0,11.0,11.0,99900
2025-03-18,11.0,11.0,11.0,11.0,11.0,235200
2025-03-19,11.0,11.0,11.0,11.0,11.0,229500
2025-03-20,11.0,11.0,11.0,11.0,11.0,312400
2025-03-21,11.0,12.0,11.0,12.0,12.0,395500
2025-03-24,12.0,12.0,11.0,11.0,11.0,64800
2025-03-25,11.0,11.0,11.0,11.0,11.0,13400
2025-03-26,12.0,12.0,11.0,11.0,11.0,1069600
2025-03-27,11.0,12.0,11.0,12.0,12.0,1109900
2025-04-08,11.0,11.0,11.0,11.0,11.0,494100
2025-04-09,10.0,10.0,10.0,10.0,10.0,1109900
2025-04-10,10.0,10.0,10.0,10.0,10.0,487300
2025-04-11,10.0,11.0,10.0,11.0,11.0,418200
2025-04-14,11.0,12.0,11.0,12.0,12.0,1016800
2025-04-15,12.0,12.0,12.0,12.0,12.0,454700
2025-04-16,12.0,12.0,12.0,12.0,12.0,86600
2025-04-17,12.0,12.0,12.0,12.0,12.0,14500
2025-04-21,12.0,12.0,12.0,12.0,12.0,324600
2025-04-22,12.0,12.0,11.0,11.0,11.0,141100
2025-04-23,11.0,11.0,11.0,11.0,11.0,590300
2025-04-24,11.0,12.0,11.0,12.0,12.0,265600
2025-04-25,12.0,12.0,12.0,12.0,12.0,258000
2025-04-28,11.0,12.0,11.0,12.0,12.0,603500
2025-04-29,11.0,12.0,11.0,12.0,12.0,278500
2025-04-30,12.0,12.0,12.0,12.0,12.0,56500
2025-05-02,12.0,12.0,12.0,12.0,12.0,347100
2025-05-05,12.0,12.0,12.0,12.0,12.0,35600
2025-05-06,12.0,12.0,11.0,11.0,11.0,3166000
2025-05-07,11.0,11.0,11.0,11.0,11.0,3498700
2025-05-08,11.0,12.0,11.0,11.0,11.0,469600
2025-05-09,11.0,11.0,11.0,11.0,11.0,84500
2025-05-14,11.0,11.0,11.0,11.0,11.0,337000
2025-05-15,12.0,12.0,12.0,12.0,12.0,1406600
2025-05-16,12.0,12.0,12.0,12.0,12.0,1612400
2025-05-19,12.0,13.0,12.0,13.0,13.0,887900
2025-05-20,13.0,14.0,13.0,14.0,14.0,5327700
2025-05-21,14.0,15.0,14.0,15.0,15.0,1363300
2025-05-22,15.0,15.0,15.0,15.0,15.0,1479700
2025-05-23,14.0,14.0,14.0,14.0,14.0,2810000
2025-05-26,14.0,14.0,14.0,14.0,14.0,489600
2025-05-27,13.0,14.0,13.0,13.0,13.0,911400
2025-05-28,13.0,14.0,13.0,14.0,14.0,312100
2025-06-02,13.0,13.0,13.0,13.0,13.0,336500
2025-06-03,13.0,13.0,13.0,13.0,13.0,76200
2025-06-04,13.0,13.0,12.0,12.0,12.0,300800
2025-06-05,13.0,13.0,13.0,13.0,13.0,132700
2025-06-10,13.0,13.0,13.0,13.0,13.0,118600
2025-06-11,13.0,13.0,12.0,12.0,12.0,98100
2025-06-12,12.0,13.0,12.0,12.0,12.0,1147100
2025-06-13,12.0,12.0,12.0,12.0,12.0,181100
2025-06-16,12.0,12.0,12.0,12.0,12.0,2540200
2025-06-17,12.0,12.0,12.0,12.0,12.0,2732200
2025-06-18,12.0,12.0,12.0,12.0,12.0,168300
2025-06-19,12.0,12.0,12.0,12.0,12.0,134500
2025-06-20,12.0,12.0,12.0,12.0,12.0,434400
2025-06-23,12.0,12.0,12.0,12.0,12.0,735400
2025-06-24,12.0,12.0,12.0,12.0,12.0,267300
2025-06-25,12.0,12.0,11.0,11.0,11.0,2217700
2025-06-26,11.0,11.0,10.0,11.0,11.0,2206300
2025-06-30,11.0,11.0,11.0,11.0,11.0,977400
2025-07-01,11.0,11.0,11.0,11.0,11.0,140300
2025-07-02,11.0,12.0,11.0,12.0,12.0,50900
2025-07-03,12.0,12.0,12.0,12.0,12.0,209900
2025-07-04,12.0,12.0,12.0,12.0,12.0,948400
2025-07-07,11.0,12.0,11.0,12.0,12.0,213500
2025-07-08,12.0,12.0,12.0,12.0,12.0,12300
2025-07-09,12.0,12.0,12.0,12.0,12.0,29000
2025-07-10,12.0,12.0,11.0,12.0,12.0,1573700
2025-07-11,12.0,12.0,11.0,12.0,12.0,391500
2025-07-14,12.0,13.0,12.0,13.0,13.0,6249100
2025-07-15,13.0,13.0,13.0,13.0,13.0,1087400
2025-07-16,13.0,13.0,13.0,13.0,13.0,3098400
2025-07-17,13.0,13.0,12.0,12.0,12.0,105600
2025-07-18,12.0,13.0,12.0,13.0,13.0,1974600
2025-07-21,13.0,13.0,13.0,13.0,13.0,414800
2025-07-22,12.0,12.0,12.0,12.0,12.0,2928600
2025-07-23,12.0,13.0,12.0,13.0,13.0,2088200
2025-07-24,13.0,13.0,13.0,13.0,13.0,260800
2025-07-25,13.0,13.0,13.0,13.0,13.0,525700
2025-07-28,13.0,13.0,12.0,12.0,12.0,198100
2025-07-29,12.0,12.0,12.0,12.0,12.0,187400
2025-07-30,12.0,13.0,12.0,13.0,13.0,4371200
2025-07-31,13.0,13.0,13.0,13.0,13.0,5273700
2025-08-01,13.0,14.0,13.0,14.0,14.0,675500
2025-08-04,14.0,14.0,13.0,13.0,13.0,1265000
2025-08-05,13.0,13.0,12.0,12.0,12.0,2439400
2025-08-06,13.0,13.0,13.0,13.0,13.0,5950800
2025-08-07,13.0,13.0,13.0,13.0,13.0,454900
2025-08-08,13.0,13.0,13.0,13.0,13.0,200500
2025-08-11,13.0,13.0,13.0,13.0,13.0,700800
