Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,342.0,362.0,340.0,346.0,340.96160888671875,8895000
2025-03-04,346.0,352.0,324.0,330.0,325.1946105957031,6057300
2025-03-05,336.0,348.0,334.0,338.0,333.0780944824219,3212000
2025-03-06,340.0,390.0,340.0,382.0,376.4373779296875,23964300
2025-03-07,384.0,386.0,362.0,370.0,364.61212158203125,7024000
2025-03-10,374.0,382.0,362.0,364.0,358.6994934082031,5831300
2025-03-11,354.0,364.0,350.0,362.0,356.7286071777344,2939700
2025-03-12,362.0,386.0,362.0,376.0,370.5247497558594,16469000
2025-03-13,376.0,404.0,372.0,392.0,386.291748046875,39572400
2025-03-14,398.0,400.0,382.0,388.0,382.3500061035156,11908200
2025-03-17,398.0,400.0,388.0,396.0,390.2335205078125,6286200
2025-03-18,400.0,400.0,310.0,366.0,360.6703796386719,25506500
2025-03-19,370.0,378.0,360.0,364.0,358.6994934082031,6210300
2025-03-20,366.0,396.0,366.0,378.0,372.4956359863281,40434600
2025-03-21,382.0,384.0,364.0,368.0,362.6412353515625,5010400
2025-03-24,372.0,374.0,330.0,360.0,354.75775146484375,11968400
2025-03-25,364.0,364.0,344.0,352.0,346.8742370605469,5592000
2025-03-26,358.0,368.0,352.0,360.0,354.75775146484375,4009700
2025-03-27,360.0,364.0,356.0,356.0,350.81597900390625,1557400
2025-04-08,324.0,338.0,316.0,334.0,329.1363525390625,8752900
2025-04-09,330.0,342.0,322.0,328.0,323.2237243652344,5249000
2025-04-10,342.0,354.0,334.0,346.0,340.96160888671875,4238500
2025-04-11,348.0,350.0,336.0,342.0,337.0198669433594,1824900
2025-04-14,344.0,372.0,342.0,360.0,354.75775146484375,13261300
2025-04-15,362.0,372.0,360.0,362.0,356.7286071777344,9220600
2025-04-16,362.0,380.0,362.0,368.0,362.6412353515625,7205100
2025-04-17,370.0,370.0,360.0,362.0,356.7286071777344,2780400
2025-04-21,366.0,370.0,358.0,364.0,358.6994934082031,2925400
2025-04-22,364.0,376.0,362.0,372.0,366.5830078125,3618200
2025-04-23,376.0,380.0,364.0,366.0,360.6703796386719,4001600
2025-04-24,370.0,372.0,364.0,364.0,358.6994934082031,3554900
2025-04-25,370.0,390.0,364.0,380.0,374.46649169921875,11206700
2025-04-28,386.0,394.0,380.0,392.0,386.291748046875,6993400
2025-04-29,398.0,404.0,384.0,398.0,392.2043762207031,6188500
2025-04-30,398.0,410.0,392.0,392.0,386.291748046875,5601700
2025-05-02,392.0,394.0,380.0,384.0,378.40826416015625,5347100
2025-05-05,388.0,390.0,380.0,386.0,380.3791198730469,3603300
2025-05-06,388.0,390.0,380.0,384.0,378.40826416015625,2269000
2025-05-07,384.0,400.0,382.0,392.0,386.291748046875,6397500
2025-05-08,390.0,394.0,370.0,376.0,370.5247497558594,7178700
2025-05-09,376.0,382.0,362.0,370.0,364.61212158203125,3063100
2025-05-14,380.0,392.0,368.0,382.0,376.4373779296875,5906700
2025-05-15,388.0,390.0,380.0,388.0,382.3500061035156,3160500
2025-05-16,388.0,390.0,382.0,386.0,380.3791198730469,1918000
2025-05-19,388.0,400.0,384.0,394.0,388.26263427734375,8576900
2025-05-20,400.0,468.0,400.0,432.0,425.70928955078125,50316000
2025-05-21,434.0,444.0,410.0,412.0,406.0005187988281,14465600
2025-05-22,416.0,428.0,406.0,418.0,411.91314697265625,5948500
2025-05-23,412.0,424.0,410.0,422.0,415.85491943359375,2355100
2025-05-26,428.0,430.0,416.0,422.0,415.85491943359375,9846200
2025-05-27,422.0,424.0,404.0,406.0,400.087890625,5143300
2025-05-28,404.0,408.0,390.0,390.0,384.3208923339844,6904800
2025-06-02,390.0,400.0,380.0,390.0,384.3208923339844,5008000
2025-06-03,386.0,410.0,386.0,400.0,394.1752624511719,7898200
2025-06-04,404.0,408.0,388.0,392.0,386.291748046875,7545300
2025-06-05,396.0,396.0,384.0,388.0,382.3500061035156,6250800
2025-06-10,384.0,394.0,384.0,392.0,392.0,1623600
2025-06-11,388.0,394.0,388.0,392.0,392.0,2674300
2025-06-12,392.0,396.0,388.0,388.0,388.0,2789800
2025-06-13,388.0,392.0,386.0,388.0,388.0,2459900
2025-06-16,392.0,408.0,386.0,400.0,400.0,6946500
2025-06-17,406.0,408.0,398.0,402.0,402.0,4213500
2025-06-18,402.0,404.0,388.0,390.0,390.0,4254500
2025-06-19,390.0,390.0,370.0,374.0,374.0,8180200
2025-06-20,374.0,376.0,366.0,370.0,370.0,3658100
2025-06-23,370.0,370.0,352.0,360.0,360.0,4195900
2025-06-24,370.0,376.0,366.0,372.0,372.0,2599200
2025-06-25,380.0,384.0,366.0,370.0,370.0,1901100
2025-06-26,370.0,374.0,366.0,366.0,366.0,1204300
2025-06-30,370.0,388.0,366.0,376.0,376.0,2481500
2025-07-01,376.0,378.0,370.0,372.0,372.0,1065300
2025-07-02,372.0,374.0,368.0,370.0,370.0,1288200
2025-07-03,370.0,374.0,368.0,370.0,370.0,444400
2025-07-04,370.0,388.0,370.0,372.0,372.0,3383100
2025-07-07,376.0,382.0,370.0,382.0,382.0,2270600
2025-07-08,386.0,390.0,382.0,386.0,386.0,4390200
2025-07-09,388.0,396.0,380.0,396.0,396.0,4915900
2025-07-10,398.0,404.0,390.0,394.0,394.0,5379700
2025-07-11,392.0,394.0,382.0,384.0,384.0,3953100
2025-07-14,390.0,392.0,380.0,382.0,382.0,2776500
2025-07-15,382.0,388.0,380.0,382.0,382.0,3965300
2025-07-16,386.0,400.0,382.0,388.0,388.0,7665500
2025-07-17,390.0,412.0,390.0,404.0,404.0,14818600
2025-07-18,418.0,444.0,408.0,440.0,440.0,31254400
2025-07-21,440.0,464.0,418.0,450.0,450.0,31274900
2025-07-22,450.0,460.0,422.0,424.0,424.0,12845600
2025-07-23,430.0,434.0,408.0,422.0,422.0,5616100
2025-07-24,422.0,430.0,416.0,422.0,422.0,3660600
2025-07-25,426.0,426.0,408.0,410.0,410.0,3604300
2025-07-28,414.0,444.0,412.0,436.0,436.0,12529500
2025-07-29,444.0,545.0,444.0,545.0,545.0,75100400
2025-07-30,600.0,680.0,595.0,680.0,680.0,63821600
