Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,50.0,50.0,50.0,50.0,50.0,97200
2025-03-04,50.0,50.0,50.0,50.0,50.0,51100
2025-03-05,50.0,50.0,50.0,50.0,50.0,23900
2025-03-06,50.0,50.0,50.0,50.0,50.0,42200
2025-03-07,50.0,50.0,50.0,50.0,50.0,55300
2025-03-10,50.0,50.0,50.0,50.0,50.0,2600
2025-03-11,50.0,52.0,50.0,50.0,50.0,1912800
2025-03-12,50.0,50.0,50.0,50.0,50.0,287600
2025-03-13,50.0,50.0,50.0,50.0,50.0,12200
2025-03-14,50.0,50.0,50.0,50.0,50.0,3700
2025-03-17,50.0,50.0,50.0,50.0,50.0,14900
2025-03-18,50.0,50.0,50.0,50.0,50.0,400
2025-03-19,50.0,50.0,50.0,50.0,50.0,6500
2025-03-20,50.0,50.0,50.0,50.0,50.0,341000
2025-03-21,50.0,50.0,50.0,50.0,50.0,400
2025-03-24,50.0,50.0,50.0,50.0,50.0,3800
2025-03-25,50.0,50.0,50.0,50.0,50.0,1800
2025-03-26,50.0,50.0,50.0,50.0,50.0,6600
2025-03-27,50.0,50.0,50.0,50.0,50.0,3100
2025-04-08,50.0,50.0,50.0,50.0,50.0,100
2025-04-09,50.0,50.0,50.0,50.0,50.0,10000
2025-04-10,50.0,50.0,50.0,50.0,50.0,22100
2025-04-11,50.0,50.0,50.0,50.0,50.0,2400
2025-04-14,50.0,50.0,50.0,50.0,50.0,4100
2025-04-15,50.0,50.0,50.0,50.0,50.0,900
2025-04-16,50.0,50.0,50.0,50.0,50.0,1200
2025-04-17,50.0,50.0,50.0,50.0,50.0,1400
2025-04-21,50.0,50.0,50.0,50.0,50.0,13600
2025-04-22,50.0,50.0,50.0,50.0,50.0,8000
2025-04-23,50.0,50.0,50.0,50.0,50.0,11900
2025-04-24,50.0,50.0,50.0,50.0,50.0,2200
2025-04-25,50.0,50.0,50.0,50.0,50.0,56800
2025-04-28,50.0,50.0,50.0,50.0,50.0,6800
2025-04-29,50.0,50.0,50.0,50.0,50.0,14800
2025-04-30,50.0,50.0,50.0,50.0,50.0,3500
2025-05-02,50.0,50.0,50.0,50.0,50.0,34700
2025-05-05,50.0,50.0,50.0,50.0,50.0,10100
2025-05-06,50.0,50.0,50.0,50.0,50.0,1152700
2025-05-07,50.0,50.0,50.0,50.0,50.0,214700
2025-05-08,50.0,66.0,50.0,53.0,53.0,91597700
2025-05-09,53.0,53.0,50.0,50.0,50.0,15269900
2025-05-14,50.0,51.0,50.0,50.0,50.0,4728800
2025-05-15,50.0,51.0,50.0,51.0,51.0,4338900
2025-05-16,50.0,51.0,50.0,50.0,50.0,823900
2025-05-19,50.0,51.0,50.0,51.0,51.0,3159600
2025-05-20,50.0,55.0,50.0,50.0,50.0,26095500
2025-05-21,50.0,51.0,50.0,50.0,50.0,2488800
2025-05-22,50.0,51.0,50.0,50.0,50.0,3073400
2025-05-23,50.0,51.0,50.0,50.0,50.0,486200
2025-05-26,50.0,51.0,50.0,50.0,50.0,752600
2025-05-27,50.0,51.0,50.0,50.0,50.0,1904900
2025-05-28,51.0,51.0,50.0,50.0,50.0,513700
2025-06-02,50.0,51.0,50.0,50.0,50.0,878400
2025-06-03,50.0,50.0,50.0,50.0,50.0,192800
2025-06-04,50.0,50.0,50.0,50.0,50.0,66100
2025-06-05,50.0,50.0,50.0,50.0,50.0,16200
2025-06-10,50.0,50.0,50.0,50.0,50.0,71400
2025-06-11,50.0,50.0,50.0,50.0,50.0,61300
2025-06-12,50.0,50.0,50.0,50.0,50.0,137000
2025-06-13,50.0,50.0,50.0,50.0,50.0,85600
2025-06-16,50.0,50.0,50.0,50.0,50.0,334100
2025-06-17,50.0,50.0,50.0,50.0,50.0,61900
2025-06-18,50.0,50.0,50.0,50.0,50.0,307000
2025-06-19,50.0,50.0,50.0,50.0,50.0,1419500
