Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,328.0,350.0,326.0,328.0,328.0,87959500
2025-03-04,328.0,328.0,296.0,308.0,308.0,96010500
2025-03-05,306.0,316.0,284.0,286.0,286.0,87841700
2025-03-06,290.0,324.0,290.0,306.0,306.0,335747300
2025-03-07,308.0,332.0,304.0,310.0,310.0,239527200
2025-03-10,314.0,318.0,288.0,296.0,296.0,142274700
2025-03-11,294.0,294.0,276.0,286.0,286.0,99055600
2025-03-12,286.0,288.0,270.0,280.0,280.0,82100100
2025-03-13,280.0,286.0,272.0,276.0,276.0,62052900
2025-03-14,280.0,302.0,272.0,290.0,290.0,149405500
2025-03-17,292.0,330.0,292.0,322.0,322.0,294221700
2025-03-18,326.0,326.0,276.0,310.0,310.0,244696200
2025-03-19,314.0,314.0,296.0,304.0,304.0,100292800
2025-03-20,306.0,316.0,290.0,296.0,296.0,94382900
2025-03-21,304.0,306.0,284.0,284.0,284.0,101971600
2025-03-24,296.0,296.0,260.0,270.0,270.0,118620700
2025-03-25,276.0,292.0,268.0,288.0,288.0,91153700
2025-03-26,290.0,306.0,288.0,302.0,302.0,75626100
2025-03-27,296.0,318.0,296.0,300.0,300.0,119832600
2025-04-08,260.0,278.0,256.0,256.0,256.0,107260300
2025-04-09,250.0,264.0,238.0,242.0,242.0,92450400
2025-04-10,260.0,276.0,254.0,262.0,262.0,188225200
2025-04-11,262.0,276.0,250.0,252.0,252.0,156091100
2025-04-14,258.0,282.0,258.0,278.0,278.0,169174700
2025-04-15,284.0,292.0,278.0,278.0,278.0,156024700
2025-04-16,278.0,286.0,272.0,278.0,278.0,63464800
2025-04-17,278.0,298.0,278.0,282.0,282.0,190313000
2025-04-21,286.0,304.0,286.0,290.0,290.0,201534000
2025-04-22,294.0,330.0,292.0,324.0,324.0,313313500
2025-04-23,330.0,334.0,310.0,312.0,312.0,193171500
2025-04-24,312.0,322.0,304.0,312.0,312.0,158433500
2025-04-25,314.0,324.0,312.0,316.0,316.0,122355800
2025-04-28,316.0,330.0,308.0,328.0,328.0,142162200
2025-04-29,330.0,332.0,320.0,322.0,322.0,116470000
2025-04-30,324.0,326.0,310.0,310.0,310.0,120752100
2025-05-02,310.0,312.0,302.0,306.0,306.0,52833800
2025-05-05,314.0,352.0,314.0,348.0,348.0,790503300
2025-05-06,352.0,382.0,334.0,360.0,360.0,995525700
2025-05-07,362.0,368.0,352.0,354.0,354.0,479854200
2025-05-08,358.0,364.0,342.0,346.0,346.0,331938600
2025-05-09,348.0,362.0,338.0,340.0,340.0,201715500
2025-05-14,360.0,368.0,352.0,360.0,360.0,421359800
2025-05-15,362.0,372.0,360.0,362.0,362.0,319194400
2025-05-16,364.0,372.0,356.0,358.0,358.0,259349900
