Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,116.0,117.0,102.0,110.0,107.56730651855469,13840400
2025-03-04,110.0,113.0,97.0,100.0,97.78845977783203,12878200
2025-03-05,100.0,113.0,99.0,110.0,107.56730651855469,9486400
2025-03-06,111.0,116.0,109.0,111.0,108.5451889038086,8150300
2025-03-07,112.0,112.0,106.0,108.0,105.61153411865234,1633400
2025-03-10,108.0,110.0,103.0,108.0,105.61153411865234,3254400
2025-03-11,105.0,113.0,97.0,101.0,98.76634216308594,11239700
2025-03-12,101.0,102.0,98.0,102.0,99.74422454833984,3859600
2025-03-13,102.0,103.0,100.0,101.0,98.76634216308594,1722700
2025-03-14,101.0,103.0,95.0,98.0,95.83268737792969,6519100
2025-03-17,99.0,100.0,96.0,98.0,95.83268737792969,1786600
2025-03-18,103.0,103.0,69.0,88.0,86.05384063720703,10002600
2025-03-19,89.0,90.0,86.0,88.0,86.05384063720703,815900
2025-03-20,90.0,101.0,87.0,99.0,96.81057739257812,9106000
2025-03-21,100.0,101.0,96.0,96.0,93.87692260742188,2922900
2025-03-24,95.0,97.0,90.0,96.0,93.87692260742188,3050000
2025-03-25,97.0,97.0,91.0,93.0,90.94326782226562,527200
2025-03-26,94.0,100.0,91.0,96.0,93.87692260742188,2914200
2025-03-27,95.0,97.0,94.0,97.0,94.85480499267578,345800
2025-04-08,90.0,95.0,83.0,87.0,85.07595825195312,1458500
2025-04-09,85.0,89.0,84.0,86.0,84.09807586669922,588500
2025-04-10,86.0,94.0,86.0,87.0,85.07595825195312,465800
2025-04-11,87.0,90.0,85.0,87.0,85.07595825195312,357300
2025-04-14,87.0,88.0,87.0,88.0,86.05384063720703,143400
2025-04-15,86.0,92.0,86.0,91.0,88.98749542236328,475900
2025-04-16,90.0,97.0,90.0,97.0,94.85480499267578,5667500
2025-04-17,105.0,105.0,96.0,101.0,98.76634216308594,13096400
2025-04-21,100.0,103.0,97.0,102.0,99.74422454833984,5915700
2025-04-22,102.0,105.0,99.0,100.0,97.78845977783203,6204700
2025-04-23,101.0,110.0,100.0,108.0,105.61153411865234,7323700
2025-04-24,108.0,109.0,101.0,106.0,103.65576934814453,4419200
2025-04-25,106.0,108.0,102.0,103.0,100.72211456298828,4070600
2025-04-28,104.0,106.0,102.0,103.0,100.72211456298828,802600
2025-04-29,103.0,109.0,103.0,108.0,105.61153411865234,4124300
2025-04-30,108.0,109.0,106.0,109.0,106.58942413330078,2713800
2025-05-02,109.0,109.0,107.0,108.0,105.61153411865234,1451500
2025-05-05,109.0,113.0,107.0,107.0,104.63365173339844,4417600
2025-05-06,110.0,110.0,102.0,104.0,101.69999694824219,2724500
2025-05-07,103.0,106.0,101.0,103.0,100.72211456298828,1813000
2025-05-08,103.0,105.0,102.0,102.0,99.74422454833984,632100
2025-05-09,98.0,103.0,98.0,100.0,97.78845977783203,3038800
2025-05-14,100.0,104.0,98.0,100.0,97.78845977783203,3005700
2025-05-15,101.0,102.0,100.0,101.0,98.76634216308594,360300
2025-05-16,101.0,102.0,99.0,100.0,97.78845977783203,2083100
2025-05-19,100.0,101.0,99.0,101.0,98.76634216308594,381700
2025-05-20,101.0,108.0,100.0,102.0,99.74422454833984,3736700
2025-05-21,102.0,105.0,101.0,102.0,99.74422454833984,1022900
2025-05-22,102.0,106.0,101.0,105.0,102.6778793334961,1435200
2025-05-23,103.0,105.0,103.0,103.0,100.72211456298828,357000
2025-05-26,103.0,104.0,100.0,101.0,98.76634216308594,2922500
2025-05-27,102.0,105.0,100.0,102.0,99.74422454833984,428100
2025-05-28,102.0,104.0,100.0,103.0,100.72211456298828,742900
2025-06-02,103.0,105.0,100.0,103.0,100.72211456298828,962900
2025-06-03,103.0,105.0,101.0,105.0,102.6778793334961,248900
2025-06-04,105.0,107.0,104.0,105.0,102.6778793334961,1776000
2025-06-05,105.0,115.0,104.0,106.0,103.65576934814453,3064400
2025-06-10,106.0,110.0,105.0,106.0,103.65576934814453,742700
2025-06-11,106.0,107.0,102.0,104.0,101.69999694824219,1107100
2025-06-12,104.0,106.0,103.0,104.0,104.0,824300
2025-06-13,104.0,104.0,103.0,103.0,103.0,427300
2025-06-16,103.0,104.0,103.0,104.0,104.0,336900
2025-06-17,103.0,105.0,101.0,102.0,102.0,182500
2025-06-18,103.0,104.0,103.0,103.0,103.0,245400
2025-06-19,103.0,106.0,102.0,103.0,103.0,1406800
2025-06-20,103.0,104.0,102.0,103.0,103.0,448000
2025-06-23,103.0,103.0,96.0,100.0,100.0,3068300
2025-06-24,104.0,104.0,99.0,102.0,102.0,38600
2025-06-25,104.0,104.0,100.0,101.0,101.0,731100
2025-06-26,101.0,102.0,99.0,99.0,99.0,766700
2025-06-30,99.0,101.0,99.0,99.0,99.0,273600
2025-07-01,99.0,99.0,94.0,96.0,96.0,3615600
2025-07-02,100.0,107.0,97.0,103.0,103.0,12100700
2025-07-03,105.0,106.0,99.0,101.0,101.0,2669000
2025-07-04,100.0,100.0,97.0,98.0,98.0,1651900
2025-07-07,98.0,102.0,98.0,99.0,99.0,806900
2025-07-08,99.0,99.0,95.0,96.0,96.0,1792700
2025-07-09,97.0,99.0,96.0,97.0,97.0,1069600
2025-07-10,96.0,98.0,95.0,96.0,96.0,2263700
2025-07-11,96.0,98.0,94.0,97.0,97.0,3941400
2025-07-14,97.0,97.0,91.0,93.0,93.0,6801000
2025-07-15,94.0,94.0,90.0,91.0,91.0,1551500
