Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,280.0,282.0,276.0,278.0,278.0,303500
2025-03-04,280.0,280.0,250.0,270.0,270.0,2126500
2025-03-05,270.0,278.0,260.0,276.0,276.0,924600
2025-03-06,280.0,290.0,270.0,290.0,290.0,1221800
2025-03-07,290.0,292.0,280.0,286.0,286.0,574300
2025-03-10,286.0,286.0,276.0,280.0,280.0,106400
2025-03-11,276.0,276.0,268.0,270.0,270.0,477900
2025-03-12,272.0,282.0,262.0,268.0,268.0,682300
2025-03-13,270.0,278.0,256.0,266.0,266.0,1024300
2025-03-14,262.0,280.0,262.0,266.0,266.0,192700
2025-03-17,268.0,276.0,256.0,256.0,256.0,818000
2025-03-18,256.0,264.0,216.0,252.0,252.0,1919100
2025-03-19,250.0,270.0,248.0,258.0,258.0,385900
2025-03-20,258.0,266.0,250.0,254.0,254.0,656200
2025-03-21,252.0,258.0,252.0,256.0,256.0,134700
2025-03-24,256.0,256.0,244.0,248.0,248.0,531300
2025-03-25,250.0,268.0,246.0,250.0,250.0,490300
2025-03-26,258.0,270.0,244.0,250.0,250.0,1943200
2025-03-27,250.0,254.0,244.0,250.0,250.0,2920500
2025-04-08,234.0,242.0,214.0,238.0,238.0,1516300
2025-04-09,238.0,250.0,216.0,248.0,248.0,1392000
2025-04-10,248.0,254.0,230.0,252.0,252.0,555600
2025-04-11,246.0,252.0,240.0,240.0,240.0,114300
2025-04-14,242.0,258.0,240.0,252.0,252.0,674600
2025-04-15,252.0,256.0,242.0,252.0,252.0,2241800
2025-04-16,254.0,258.0,250.0,252.0,252.0,317000
2025-04-17,252.0,260.0,252.0,260.0,260.0,730100
2025-04-21,262.0,266.0,258.0,266.0,266.0,566000
2025-04-22,260.0,272.0,260.0,270.0,270.0,555400
2025-04-23,276.0,282.0,270.0,276.0,276.0,1096000
2025-04-24,276.0,292.0,276.0,286.0,286.0,1983900
2025-04-25,288.0,346.0,286.0,312.0,312.0,3349800
2025-04-28,330.0,338.0,306.0,308.0,308.0,4122400
