Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,585.0,625.0,585.0,615.0,615.0,3222600
2025-03-04,615.0,620.0,605.0,610.0,610.0,1688700
2025-03-05,610.0,630.0,605.0,630.0,630.0,2773800
2025-03-06,625.0,640.0,610.0,640.0,640.0,4260500
2025-03-07,645.0,695.0,640.0,670.0,670.0,3302800
2025-03-10,675.0,675.0,600.0,620.0,620.0,9285400
2025-03-11,610.0,640.0,600.0,625.0,625.0,6327800
2025-03-12,630.0,630.0,615.0,630.0,630.0,449500
2025-03-13,630.0,640.0,620.0,630.0,630.0,1066700
2025-03-14,630.0,630.0,620.0,620.0,620.0,1085600
2025-03-17,630.0,630.0,620.0,630.0,630.0,524900
2025-03-18,630.0,645.0,595.0,620.0,620.0,1351700
2025-03-19,620.0,630.0,610.0,615.0,615.0,2358000
2025-03-20,620.0,630.0,610.0,620.0,620.0,1257600
2025-03-21,620.0,625.0,610.0,610.0,610.0,982400
2025-03-24,610.0,620.0,595.0,595.0,595.0,2849000
2025-03-25,605.0,620.0,595.0,605.0,605.0,833000
2025-03-26,620.0,645.0,610.0,630.0,630.0,2405000
2025-03-27,635.0,640.0,620.0,625.0,625.0,604800
2025-04-08,595.0,610.0,550.0,595.0,595.0,3852200
2025-04-09,610.0,610.0,550.0,560.0,560.0,7529200
2025-04-10,575.0,595.0,550.0,565.0,565.0,7719000
2025-04-11,565.0,590.0,560.0,575.0,575.0,2752100
2025-04-14,590.0,600.0,580.0,595.0,595.0,2603800
2025-04-15,600.0,600.0,580.0,590.0,590.0,1346400
2025-04-16,600.0,610.0,585.0,600.0,600.0,1684900
2025-04-17,600.0,600.0,590.0,595.0,595.0,304000
2025-04-21,600.0,620.0,595.0,620.0,620.0,1204600
2025-04-22,635.0,750.0,630.0,640.0,640.0,18897300
2025-04-23,655.0,665.0,625.0,650.0,650.0,2956200
2025-04-24,650.0,670.0,645.0,650.0,650.0,1294000
2025-04-25,660.0,660.0,635.0,645.0,645.0,1106300
2025-04-28,655.0,655.0,625.0,640.0,640.0,1256300
2025-04-29,640.0,655.0,630.0,650.0,650.0,1171300
2025-04-30,645.0,660.0,635.0,635.0,635.0,1061300
2025-05-02,640.0,650.0,635.0,640.0,640.0,970800
2025-05-05,640.0,690.0,635.0,680.0,680.0,6898400
2025-05-06,680.0,685.0,665.0,675.0,675.0,1447900
2025-05-07,675.0,685.0,670.0,680.0,680.0,2044900
2025-05-08,680.0,680.0,660.0,670.0,670.0,1675300
2025-05-09,670.0,685.0,665.0,675.0,675.0,1593400
2025-05-14,680.0,690.0,675.0,685.0,685.0,3016900
2025-05-15,685.0,735.0,680.0,705.0,705.0,3767100
2025-05-16,710.0,710.0,690.0,700.0,700.0,1241300
2025-05-19,705.0,710.0,690.0,700.0,700.0,1564900
2025-05-20,705.0,715.0,700.0,710.0,710.0,4327300
2025-05-21,715.0,715.0,680.0,690.0,690.0,3466300
2025-05-22,690.0,700.0,680.0,690.0,690.0,1663400
2025-05-23,690.0,705.0,680.0,690.0,690.0,1039500
2025-05-26,695.0,710.0,690.0,695.0,695.0,1541100
2025-05-27,700.0,700.0,685.0,685.0,685.0,865800
2025-05-28,695.0,700.0,685.0,695.0,695.0,2370600
2025-06-02,700.0,705.0,690.0,700.0,700.0,2017400
2025-06-03,705.0,710.0,695.0,695.0,695.0,1400600
2025-06-04,695.0,710.0,695.0,700.0,700.0,1722600
2025-06-05,705.0,710.0,695.0,710.0,710.0,801700
2025-06-10,705.0,750.0,705.0,725.0,725.0,4593200
2025-06-11,725.0,740.0,710.0,715.0,715.0,1101400
2025-06-12,720.0,740.0,720.0,735.0,735.0,1095200
2025-06-13,735.0,735.0,710.0,730.0,730.0,2176500
2025-06-16,730.0,735.0,715.0,715.0,715.0,2373600
2025-06-17,725.0,730.0,710.0,715.0,715.0,822800
2025-06-18,725.0,725.0,705.0,720.0,720.0,1530800
2025-06-19,735.0,735.0,695.0,705.0,705.0,4569200
2025-06-20,710.0,715.0,690.0,690.0,690.0,2703900
2025-06-23,690.0,750.0,685.0,700.0,700.0,6642200
2025-06-24,710.0,730.0,695.0,720.0,720.0,3085300
2025-06-25,710.0,775.0,710.0,775.0,775.0,5605400
2025-06-26,800.0,920.0,785.0,800.0,800.0,112264300
2025-06-30,850.0,875.0,795.0,815.0,815.0,33208200
2025-07-01,840.0,860.0,770.0,780.0,780.0,41827300
2025-07-02,790.0,795.0,665.0,665.0,665.0,59245700
2025-07-03,595.0,645.0,585.0,615.0,615.0,51182900
2025-07-04,620.0,630.0,600.0,600.0,600.0,11408900
2025-07-07,605.0,615.0,580.0,585.0,585.0,18510100
2025-07-08,585.0,595.0,565.0,580.0,580.0,10213300
2025-07-09,580.0,585.0,570.0,580.0,580.0,5789400
2025-07-10,585.0,605.0,575.0,585.0,585.0,13883700
2025-07-11,595.0,595.0,575.0,580.0,580.0,7147400
2025-07-14,590.0,590.0,560.0,570.0,570.0,8357300
2025-07-15,560.0,590.0,550.0,590.0,590.0,15717500
2025-07-16,590.0,595.0,560.0,585.0,585.0,9505000
2025-07-17,585.0,585.0,565.0,580.0,580.0,4571100
2025-07-18,580.0,580.0,570.0,570.0,570.0,6421200
2025-07-21,575.0,580.0,555.0,560.0,560.0,9253600
2025-07-22,560.0,565.0,550.0,560.0,560.0,8900800
2025-07-23,560.0,560.0,550.0,555.0,555.0,5063700
2025-07-24,555.0,575.0,555.0,560.0,560.0,7047200
2025-07-25,565.0,565.0,555.0,555.0,555.0,3412300
2025-07-28,560.0,565.0,545.0,555.0,555.0,11003700
2025-07-29,555.0,555.0,525.0,535.0,535.0,21954100
2025-07-30,540.0,540.0,520.0,520.0,520.0,9158900
2025-07-31,520.0,530.0,505.0,520.0,520.0,5981600
2025-08-01,520.0,540.0,510.0,525.0,525.0,13504500
2025-08-04,525.0,535.0,510.0,530.0,530.0,7958600
2025-08-05,535.0,585.0,530.0,570.0,570.0,26501600
2025-08-06,570.0,580.0,550.0,550.0,550.0,6810800
2025-08-07,550.0,560.0,540.0,550.0,550.0,3841100
2025-08-08,550.0,550.0,530.0,530.0,530.0,4258800
2025-08-11,530.0,540.0,525.0,535.0,535.0,4858700
