Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,12.0,13.0,12.0,13.0,13.0,745500
2025-03-04,12.0,13.0,12.0,12.0,12.0,948400
2025-03-05,13.0,13.0,12.0,13.0,13.0,251700
2025-03-06,13.0,13.0,13.0,13.0,13.0,310700
2025-03-07,13.0,13.0,13.0,13.0,13.0,834700
2025-03-10,13.0,13.0,12.0,12.0,12.0,969200
2025-03-11,12.0,13.0,12.0,13.0,13.0,429700
2025-03-12,13.0,13.0,12.0,12.0,12.0,296200
2025-03-13,13.0,13.0,12.0,12.0,12.0,470400
2025-03-14,12.0,13.0,12.0,13.0,13.0,1351300
2025-03-17,13.0,13.0,13.0,13.0,13.0,174400
2025-03-18,12.0,13.0,12.0,12.0,12.0,515000
2025-03-19,12.0,12.0,12.0,12.0,12.0,1044300
2025-03-20,12.0,12.0,12.0,12.0,12.0,452300
2025-03-21,12.0,12.0,11.0,11.0,11.0,941500
2025-03-24,11.0,12.0,11.0,12.0,12.0,1784500
2025-03-25,12.0,12.0,11.0,11.0,11.0,1446500
2025-03-26,12.0,12.0,11.0,11.0,11.0,919100
2025-03-27,11.0,11.0,10.0,10.0,10.0,1347700
2025-04-08,9.0,10.0,9.0,10.0,10.0,2898600
2025-04-09,10.0,11.0,10.0,10.0,10.0,352600
2025-04-10,10.0,11.0,10.0,11.0,11.0,1318700
2025-04-11,11.0,11.0,11.0,11.0,11.0,1138800
2025-04-14,11.0,11.0,10.0,11.0,11.0,2531200
2025-04-15,11.0,11.0,10.0,11.0,11.0,7306800
2025-04-16,11.0,11.0,10.0,10.0,10.0,8217500
2025-04-17,10.0,11.0,10.0,11.0,11.0,1026100
2025-04-21,10.0,10.0,10.0,10.0,10.0,7380900
2025-04-22,10.0,11.0,10.0,10.0,10.0,2840100
2025-04-23,10.0,11.0,10.0,10.0,10.0,856400
2025-04-24,10.0,11.0,10.0,10.0,10.0,4735700
2025-04-25,10.0,10.0,10.0,10.0,10.0,2063200
2025-04-28,10.0,11.0,10.0,10.0,10.0,7046900
2025-04-29,10.0,10.0,10.0,10.0,10.0,12372000
2025-04-30,11.0,11.0,10.0,10.0,10.0,18743200
2025-05-02,11.0,11.0,11.0,11.0,11.0,13603500
2025-05-05,11.0,11.0,10.0,11.0,11.0,4094500
2025-05-06,10.0,12.0,10.0,12.0,12.0,12987600
