Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,630.0,640.0,630.0,640.0,640.0,6100
2025-03-04,640.0,640.0,635.0,635.0,635.0,19300
2025-03-05,605.0,640.0,605.0,635.0,635.0,66800
2025-03-06,640.0,645.0,635.0,635.0,635.0,11200
2025-03-07,635.0,635.0,635.0,635.0,635.0,200
2025-03-10,650.0,650.0,620.0,620.0,620.0,14900
2025-03-11,620.0,620.0,615.0,620.0,620.0,6000
2025-03-12,615.0,620.0,610.0,620.0,620.0,24400
2025-03-13,620.0,645.0,620.0,635.0,635.0,17600
2025-03-14,650.0,650.0,620.0,625.0,625.0,6000
2025-03-17,625.0,625.0,600.0,615.0,615.0,40700
2025-03-18,615.0,615.0,600.0,610.0,610.0,17500
2025-03-19,610.0,615.0,600.0,615.0,615.0,13700
2025-03-20,615.0,620.0,600.0,620.0,620.0,2500
2025-03-21,615.0,615.0,615.0,615.0,615.0,8200
2025-03-24,610.0,610.0,605.0,610.0,610.0,17200
2025-03-25,605.0,615.0,600.0,615.0,615.0,71200
2025-03-26,600.0,615.0,600.0,615.0,615.0,8400
2025-03-27,615.0,615.0,615.0,615.0,615.0,600
2025-04-08,605.0,610.0,600.0,610.0,610.0,53000
2025-04-09,600.0,610.0,585.0,610.0,610.0,71800
2025-04-10,610.0,610.0,595.0,610.0,610.0,11800
2025-04-11,605.0,605.0,605.0,605.0,605.0,1700
2025-04-14,600.0,600.0,585.0,600.0,600.0,39000
2025-04-15,610.0,610.0,595.0,600.0,600.0,404600
2025-04-16,600.0,600.0,595.0,600.0,600.0,3600
2025-04-17,590.0,600.0,590.0,600.0,600.0,17800
2025-04-21,600.0,600.0,595.0,600.0,600.0,61000
2025-04-22,595.0,600.0,590.0,600.0,600.0,32100
2025-04-23,600.0,600.0,590.0,600.0,600.0,8300
2025-04-24,605.0,610.0,600.0,610.0,610.0,10500
2025-04-25,605.0,610.0,605.0,610.0,610.0,1500
2025-04-28,610.0,610.0,595.0,610.0,610.0,104000
2025-04-29,610.0,610.0,605.0,605.0,605.0,2600
2025-04-30,600.0,610.0,600.0,605.0,605.0,11300
2025-05-02,605.0,610.0,600.0,605.0,605.0,31200
2025-05-05,600.0,605.0,595.0,605.0,605.0,29300
2025-05-06,605.0,605.0,600.0,605.0,605.0,3900
2025-05-07,600.0,605.0,600.0,605.0,605.0,19000
2025-05-08,600.0,605.0,595.0,605.0,605.0,6500
2025-05-09,605.0,605.0,600.0,605.0,605.0,27000
2025-05-14,600.0,605.0,600.0,605.0,605.0,67800
2025-05-15,600.0,605.0,600.0,605.0,605.0,42400
2025-05-16,605.0,615.0,600.0,610.0,610.0,88300
2025-05-19,610.0,615.0,610.0,615.0,615.0,48200
2025-05-20,615.0,640.0,615.0,630.0,630.0,50400
2025-05-21,620.0,630.0,620.0,630.0,630.0,13100
2025-05-22,625.0,640.0,620.0,640.0,640.0,28400
2025-05-23,640.0,640.0,625.0,625.0,625.0,22600
2025-05-26,625.0,635.0,625.0,625.0,625.0,6300
2025-05-27,625.0,625.0,610.0,625.0,625.0,2400
2025-05-28,630.0,630.0,610.0,620.0,620.0,34500
2025-06-02,610.0,620.0,605.0,615.0,615.0,5600
2025-06-03,615.0,620.0,600.0,615.0,615.0,10600
2025-06-04,615.0,630.0,615.0,630.0,630.0,16800
2025-06-05,620.0,620.0,600.0,615.0,615.0,7400
2025-06-10,615.0,620.0,615.0,620.0,620.0,1400
2025-06-11,610.0,620.0,610.0,620.0,620.0,2900
2025-06-12,625.0,640.0,620.0,620.0,620.0,6700
2025-06-13,640.0,640.0,620.0,630.0,630.0,25600
2025-06-16,630.0,630.0,610.0,630.0,630.0,56400
2025-06-17,630.0,635.0,610.0,615.0,615.0,26900
2025-06-18,615.0,615.0,605.0,610.0,610.0,34500
2025-06-19,610.0,625.0,605.0,620.0,620.0,11200
2025-06-20,600.0,620.0,600.0,620.0,620.0,15400
2025-06-23,620.0,620.0,605.0,610.0,610.0,2100
2025-06-24,605.0,625.0,605.0,625.0,625.0,10800
2025-06-25,625.0,625.0,610.0,625.0,625.0,6600
2025-06-26,625.0,625.0,620.0,625.0,625.0,13200
2025-06-30,625.0,625.0,620.0,625.0,625.0,22300
2025-07-01,600.0,630.0,600.0,605.0,605.0,33700
2025-07-02,610.0,610.0,605.0,610.0,610.0,11900
2025-07-03,610.0,635.0,600.0,635.0,635.0,20200
2025-07-04,600.0,630.0,600.0,625.0,625.0,11700
2025-07-07,605.0,625.0,600.0,605.0,605.0,34400
2025-07-08,605.0,605.0,605.0,605.0,605.0,18800
2025-07-09,600.0,620.0,600.0,620.0,620.0,3300
2025-07-10,620.0,620.0,605.0,615.0,615.0,3600
2025-07-11,615.0,615.0,600.0,615.0,615.0,12400
2025-07-14,605.0,615.0,600.0,610.0,610.0,38400
2025-07-15,610.0,610.0,605.0,605.0,605.0,10900
2025-07-16,605.0,620.0,605.0,620.0,620.0,29000
