Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,374.0,400.0,372.0,376.0,367.73626708984375,377000
2025-03-04,376.0,376.0,370.0,376.0,367.73626708984375,174400
2025-03-05,376.0,380.0,374.0,378.0,369.69232177734375,129600
2025-03-06,380.0,380.0,374.0,378.0,369.69232177734375,404000
2025-03-07,378.0,384.0,378.0,382.0,373.6044006347656,98300
2025-03-10,382.0,384.0,374.0,378.0,369.69232177734375,222300
2025-03-11,380.0,380.0,374.0,374.0,365.78021240234375,104400
2025-03-12,378.0,386.0,376.0,378.0,369.69232177734375,271100
2025-03-13,384.0,386.0,378.0,386.0,377.5164794921875,97600
2025-03-14,386.0,386.0,380.0,382.0,373.6044006347656,52300
2025-03-17,382.0,386.0,378.0,386.0,377.5164794921875,162900
2025-03-18,386.0,386.0,370.0,374.0,365.78021240234375,308500
2025-03-19,374.0,394.0,370.0,388.0,379.4725341796875,442700
2025-03-20,388.0,392.0,372.0,386.0,377.5164794921875,151500
2025-03-21,388.0,388.0,378.0,382.0,373.6044006347656,24700
2025-03-24,380.0,382.0,364.0,380.0,371.6483459472656,602900
2025-03-25,380.0,380.0,374.0,374.0,365.78021240234375,74000
2025-03-26,360.0,368.0,330.0,352.0,344.26373291015625,2641100
2025-03-27,354.0,364.0,348.0,362.0,354.0439453125,584900
2025-04-08,360.0,362.0,330.0,336.0,328.6153869628906,441800
2025-04-09,338.0,342.0,334.0,340.0,332.5274658203125,269400
2025-04-10,340.0,360.0,340.0,346.0,338.3955993652344,271600
2025-04-11,348.0,352.0,340.0,346.0,338.3955993652344,174800
2025-04-14,350.0,358.0,346.0,356.0,348.1758117675781,235300
2025-04-15,356.0,360.0,352.0,358.0,350.1318664550781,114400
2025-04-16,360.0,368.0,358.0,362.0,354.0439453125,709500
2025-04-17,364.0,364.0,356.0,360.0,352.0879211425781,126700
2025-04-21,360.0,362.0,354.0,358.0,350.1318664550781,127500
2025-04-22,358.0,360.0,354.0,356.0,348.1758117675781,239600
2025-04-23,358.0,366.0,356.0,366.0,357.9560546875,503600
2025-04-24,366.0,370.0,366.0,368.0,359.9120788574219,272900
2025-04-25,370.0,378.0,368.0,374.0,365.78021240234375,261000
2025-04-28,374.0,380.0,370.0,372.0,363.8241882324219,815200
2025-04-29,376.0,386.0,358.0,370.0,361.8681335449219,1039000
2025-04-30,368.0,374.0,360.0,370.0,361.8681335449219,343200
2025-05-02,370.0,378.0,362.0,370.0,361.8681335449219,273400
2025-05-05,370.0,372.0,362.0,370.0,361.8681335449219,224100
2025-05-06,370.0,370.0,362.0,368.0,359.9120788574219,314800
2025-05-07,368.0,370.0,344.0,352.0,344.26373291015625,3017400
2025-05-08,352.0,360.0,352.0,360.0,352.0879211425781,564500
2025-05-09,360.0,364.0,356.0,364.0,356.0,251200
2025-05-14,364.0,380.0,364.0,380.0,371.6483459472656,699500
2025-05-15,380.0,386.0,374.0,378.0,369.69232177734375,386900
2025-05-16,378.0,380.0,376.0,380.0,371.6483459472656,362700
2025-05-19,384.0,386.0,376.0,378.0,369.69232177734375,309300
2025-05-20,382.0,384.0,362.0,364.0,356.0,926800
2025-05-21,368.0,370.0,364.0,366.0,357.9560546875,212500
2025-05-22,366.0,370.0,366.0,368.0,359.9120788574219,271500
2025-05-23,368.0,374.0,364.0,368.0,359.9120788574219,331100
2025-05-26,368.0,372.0,360.0,364.0,356.0,471400
2025-05-27,364.0,370.0,364.0,370.0,361.8681335449219,287200
2025-05-28,370.0,372.0,364.0,364.0,356.0,1656800
2025-06-02,360.0,360.0,354.0,356.0,356.0,282800
2025-06-03,356.0,362.0,354.0,360.0,360.0,117300
2025-06-04,360.0,360.0,352.0,356.0,356.0,134600
2025-06-05,356.0,356.0,350.0,354.0,354.0,343900
2025-06-10,352.0,354.0,344.0,346.0,346.0,519000
2025-06-11,354.0,354.0,348.0,350.0,350.0,111900
2025-06-12,350.0,360.0,350.0,352.0,352.0,247800
2025-06-13,354.0,360.0,348.0,352.0,352.0,357600
2025-06-16,352.0,366.0,352.0,360.0,360.0,434500
2025-06-17,362.0,362.0,358.0,360.0,360.0,126200
2025-06-18,360.0,360.0,348.0,348.0,348.0,221100
2025-06-19,348.0,352.0,346.0,348.0,348.0,203900
2025-06-20,348.0,374.0,348.0,358.0,358.0,453100
2025-06-23,358.0,360.0,338.0,340.0,340.0,644200
2025-06-24,346.0,360.0,346.0,350.0,350.0,125200
2025-06-25,350.0,350.0,340.0,344.0,344.0,89900
2025-06-26,346.0,350.0,340.0,340.0,340.0,197300
2025-06-30,342.0,350.0,340.0,342.0,342.0,108200
2025-07-01,348.0,358.0,342.0,344.0,344.0,110000
2025-07-02,344.0,344.0,338.0,340.0,340.0,205700
2025-07-03,340.0,344.0,338.0,338.0,338.0,132600
2025-07-04,340.0,340.0,336.0,340.0,340.0,118300
2025-07-07,344.0,344.0,338.0,342.0,342.0,48700
2025-07-08,340.0,348.0,340.0,346.0,346.0,74900
2025-07-09,346.0,350.0,344.0,348.0,348.0,35600
2025-07-10,348.0,352.0,348.0,350.0,350.0,89700
2025-07-11,350.0,350.0,338.0,344.0,344.0,598600
2025-07-14,344.0,348.0,340.0,342.0,342.0,96800
2025-07-15,346.0,346.0,338.0,344.0,344.0,192800
2025-07-16,342.0,348.0,340.0,346.0,346.0,87300
2025-07-17,346.0,350.0,342.0,346.0,346.0,75400
2025-07-18,346.0,350.0,338.0,346.0,346.0,693000
2025-07-21,344.0,346.0,340.0,346.0,346.0,130000
2025-07-22,346.0,346.0,342.0,346.0,346.0,64000
2025-07-23,344.0,352.0,344.0,350.0,350.0,368900
2025-07-24,350.0,350.0,346.0,346.0,346.0,123900
2025-07-25,346.0,348.0,342.0,342.0,342.0,224900
2025-07-28,346.0,346.0,338.0,344.0,344.0,141200
2025-07-29,346.0,350.0,344.0,348.0,348.0,208100
2025-07-30,348.0,352.0,346.0,346.0,346.0,327200
2025-07-31,346.0,354.0,340.0,342.0,342.0,449500
2025-08-01,342.0,348.0,340.0,346.0,346.0,186800
2025-08-04,346.0,348.0,342.0,346.0,346.0,306700
2025-08-05,348.0,348.0,340.0,344.0,344.0,319200
2025-08-06,350.0,350.0,344.0,344.0,344.0,164100
2025-08-07,344.0,346.0,342.0,346.0,346.0,115400
2025-08-08,346.0,348.0,344.0,344.0,344.0,161700
2025-08-11,346.0,348.0,342.0,346.0,346.0,428800
