Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,26.0,26.0,26.0,26.0,26.0,2800
2025-03-04,26.0,26.0,26.0,26.0,26.0,3500
2025-03-05,26.0,26.0,26.0,26.0,26.0,140800
2025-03-06,25.0,26.0,25.0,26.0,26.0,12100
2025-03-07,26.0,26.0,26.0,26.0,26.0,2300
2025-03-10,26.0,26.0,25.0,25.0,25.0,86500
2025-03-11,26.0,26.0,25.0,26.0,26.0,502200
2025-03-12,25.0,25.0,25.0,25.0,25.0,427000
2025-03-13,25.0,25.0,25.0,25.0,25.0,10400
2025-03-14,25.0,25.0,25.0,25.0,25.0,144500
2025-03-17,25.0,26.0,25.0,25.0,25.0,45300
2025-03-18,25.0,25.0,25.0,25.0,25.0,128200
2025-03-19,25.0,25.0,25.0,25.0,25.0,150100
2025-03-20,26.0,26.0,26.0,26.0,26.0,13900
2025-03-21,26.0,26.0,26.0,26.0,26.0,3000
2025-03-24,25.0,25.0,25.0,25.0,25.0,76800
2025-03-25,25.0,25.0,25.0,25.0,25.0,13500
2025-03-26,25.0,25.0,25.0,25.0,25.0,76900
2025-03-27,25.0,25.0,25.0,25.0,25.0,6400
2025-04-08,25.0,25.0,24.0,25.0,25.0,136800
2025-04-09,25.0,25.0,25.0,25.0,25.0,120200
2025-04-10,25.0,25.0,25.0,25.0,25.0,137900
2025-04-11,25.0,25.0,25.0,25.0,25.0,5100
2025-04-14,25.0,25.0,25.0,25.0,25.0,203900
2025-04-15,26.0,26.0,26.0,26.0,26.0,2200
2025-04-16,26.0,26.0,26.0,26.0,26.0,300
2025-04-17,26.0,26.0,25.0,25.0,25.0,113400
2025-04-21,26.0,26.0,26.0,26.0,26.0,2700
2025-04-22,25.0,25.0,25.0,25.0,25.0,35200
2025-04-23,25.0,25.0,25.0,25.0,25.0,40900
2025-04-24,25.0,25.0,25.0,25.0,25.0,251800
2025-04-25,25.0,25.0,25.0,25.0,25.0,329400
2025-04-28,25.0,26.0,25.0,26.0,26.0,11800
2025-04-29,26.0,26.0,26.0,26.0,26.0,6600
2025-04-30,26.0,26.0,26.0,26.0,26.0,103900
2025-05-02,26.0,26.0,25.0,25.0,25.0,191600
2025-05-05,25.0,25.0,25.0,25.0,25.0,91600
2025-05-06,25.0,25.0,25.0,25.0,25.0,20100
2025-05-07,25.0,25.0,25.0,25.0,25.0,41200
2025-05-08,25.0,25.0,25.0,25.0,25.0,27000
2025-05-09,25.0,26.0,25.0,26.0,26.0,22300
2025-05-14,26.0,26.0,25.0,25.0,25.0,61400
2025-05-15,25.0,26.0,25.0,26.0,26.0,97200
2025-05-16,26.0,26.0,25.0,26.0,26.0,4000
2025-05-19,26.0,26.0,25.0,25.0,25.0,96100
2025-05-20,25.0,27.0,25.0,27.0,27.0,411100
2025-05-21,27.0,27.0,25.0,25.0,25.0,464400
2025-05-22,25.0,27.0,25.0,27.0,27.0,53900
2025-05-23,27.0,27.0,27.0,27.0,27.0,186400
2025-05-26,27.0,27.0,27.0,27.0,27.0,7300
2025-05-27,27.0,27.0,27.0,27.0,27.0,34100
2025-05-28,27.0,27.0,27.0,27.0,27.0,96400
2025-06-02,26.0,26.0,25.0,25.0,25.0,365100
2025-06-03,25.0,26.0,25.0,26.0,26.0,10200
2025-06-04,26.0,26.0,26.0,26.0,26.0,100
2025-06-05,26.0,26.0,26.0,26.0,26.0,300
2025-06-10,26.0,26.0,25.0,25.0,25.0,53100
2025-06-11,25.0,25.0,25.0,25.0,25.0,77200
2025-06-12,25.0,25.0,25.0,25.0,25.0,219900
2025-06-13,25.0,25.0,25.0,25.0,25.0,103200
2025-06-16,25.0,26.0,25.0,26.0,26.0,440900
2025-06-17,27.0,27.0,26.0,26.0,26.0,335600
2025-06-18,26.0,26.0,26.0,26.0,26.0,41000
2025-06-19,25.0,25.0,25.0,25.0,25.0,561600
2025-06-20,26.0,26.0,25.0,25.0,25.0,9000
2025-06-23,25.0,25.0,25.0,25.0,25.0,123700
2025-06-24,25.0,26.0,25.0,26.0,26.0,17200
2025-06-25,26.0,26.0,26.0,26.0,26.0,4700
2025-06-26,26.0,26.0,25.0,25.0,25.0,68800
2025-06-30,25.0,25.0,25.0,25.0,25.0,201800
2025-07-01,25.0,25.0,25.0,25.0,25.0,182300
2025-07-02,25.0,25.0,25.0,25.0,25.0,17600
2025-07-03,25.0,25.0,25.0,25.0,25.0,5100
2025-07-04,25.0,25.0,25.0,25.0,25.0,29700
2025-07-07,25.0,25.0,25.0,25.0,25.0,2800
2025-07-08,25.0,25.0,25.0,25.0,25.0,3500
2025-07-09,27.0,27.0,27.0,27.0,27.0,418300
2025-07-10,27.0,29.0,27.0,29.0,29.0,444800
2025-07-11,31.0,31.0,31.0,31.0,31.0,369900
2025-07-14,34.0,34.0,34.0,34.0,34.0,391300
2025-07-15,37.0,37.0,37.0,37.0,37.0,5960100
2025-07-16,40.0,40.0,40.0,40.0,40.0,1250600
2025-07-17,44.0,44.0,44.0,44.0,44.0,3228400
2025-07-18,48.0,48.0,48.0,48.0,48.0,12823300
2025-07-21,44.0,44.0,44.0,44.0,44.0,715800
2025-07-22,40.0,40.0,40.0,40.0,40.0,1222600
2025-07-23,36.0,36.0,36.0,36.0,36.0,2385000
