Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,181.0,181.0,178.0,179.0,171.1796112060547,428200
2025-03-04,178.0,181.0,177.0,177.0,169.26699829101562,201100
2025-03-05,177.0,189.0,177.0,181.0,173.0922393798828,404600
2025-03-06,181.0,182.0,176.0,180.0,172.13592529296875,634000
2025-03-07,183.0,183.0,179.0,180.0,172.13592529296875,126400
2025-03-10,180.0,184.0,178.0,181.0,173.0922393798828,122100
2025-03-11,181.0,181.0,175.0,177.0,169.26699829101562,324600
2025-03-12,177.0,178.0,173.0,176.0,168.31068420410156,223500
2025-03-13,176.0,179.0,173.0,174.0,166.39805603027344,152300
2025-03-14,176.0,177.0,174.0,174.0,166.39805603027344,146100
2025-03-17,176.0,184.0,174.0,177.0,169.26699829101562,459000
2025-03-18,177.0,180.0,160.0,174.0,166.39805603027344,546600
2025-03-19,174.0,179.0,172.0,173.0,165.44174194335938,114000
2025-03-20,173.0,176.0,172.0,173.0,165.44174194335938,40600
2025-03-21,175.0,182.0,174.0,175.0,167.3543701171875,191400
2025-03-24,175.0,179.0,152.0,172.0,164.48544311523438,84100
2025-03-25,175.0,177.0,171.0,175.0,167.3543701171875,53600
2025-03-26,175.0,177.0,175.0,176.0,168.31068420410156,93000
2025-03-27,177.0,186.0,175.0,178.0,170.22329711914062,236600
2025-04-08,176.0,176.0,152.0,155.0,148.2281494140625,1663500
2025-04-09,156.0,168.0,155.0,162.0,154.92233276367188,94200
2025-04-10,162.0,169.0,156.0,164.0,156.83494567871094,923300
2025-04-11,162.0,169.0,160.0,167.0,159.70388793945312,56000
2025-04-14,200.0,200.0,168.0,176.0,168.31068420410156,203100
2025-04-15,176.0,182.0,170.0,176.0,168.31068420410156,410800
2025-04-16,174.0,180.0,174.0,174.0,166.39805603027344,59500
2025-04-17,175.0,177.0,172.0,177.0,169.26699829101562,167700
2025-04-21,177.0,177.0,174.0,176.0,168.31068420410156,30300
2025-04-22,175.0,179.0,174.0,178.0,170.22329711914062,198500
2025-04-23,178.0,184.0,178.0,180.0,172.13592529296875,252800
2025-04-24,180.0,182.0,179.0,181.0,173.0922393798828,116000
2025-04-25,180.0,183.0,179.0,182.0,174.0485382080078,197300
2025-04-28,183.0,200.0,183.0,187.0,178.83009338378906,3359500
2025-04-29,197.0,197.0,187.0,191.0,182.65533447265625,2467300
2025-04-30,193.0,196.0,192.0,192.0,183.6116485595703,709000
2025-05-02,194.0,218.0,194.0,206.0,197.0,4324400
2025-05-05,197.0,197.0,186.0,191.0,191.0,1674400
2025-05-06,190.0,193.0,183.0,185.0,185.0,1030200
2025-05-07,185.0,188.0,185.0,187.0,187.0,186200
2025-05-08,187.0,188.0,183.0,185.0,185.0,82000
2025-05-09,185.0,204.0,183.0,188.0,188.0,2295300
2025-05-14,188.0,196.0,187.0,189.0,189.0,1334500
2025-05-15,191.0,193.0,187.0,190.0,190.0,733600
2025-05-16,191.0,192.0,189.0,189.0,189.0,18900
2025-05-19,188.0,189.0,183.0,185.0,185.0,457300
2025-05-20,185.0,187.0,185.0,185.0,185.0,112300
2025-05-21,185.0,187.0,183.0,186.0,186.0,113000
2025-05-22,186.0,186.0,184.0,186.0,186.0,43300
2025-05-23,186.0,187.0,183.0,185.0,185.0,53200
2025-05-26,185.0,187.0,184.0,185.0,185.0,97400
2025-05-27,184.0,204.0,184.0,186.0,186.0,4144200
2025-05-28,193.0,194.0,187.0,187.0,187.0,523400
2025-06-02,189.0,190.0,187.0,187.0,187.0,239200
2025-06-03,190.0,190.0,184.0,189.0,189.0,369200
2025-06-04,189.0,191.0,186.0,190.0,190.0,314800
2025-06-05,191.0,192.0,187.0,191.0,191.0,118900
2025-06-10,191.0,192.0,185.0,186.0,186.0,233000
2025-06-11,192.0,192.0,188.0,190.0,190.0,46400
2025-06-12,190.0,190.0,185.0,188.0,188.0,175900
2025-06-13,189.0,189.0,184.0,184.0,184.0,216300
2025-06-16,184.0,190.0,184.0,185.0,185.0,167100
2025-06-17,184.0,189.0,184.0,185.0,185.0,37700
2025-06-18,185.0,194.0,185.0,190.0,190.0,357000
2025-06-19,190.0,190.0,185.0,187.0,187.0,204900
2025-06-20,186.0,189.0,186.0,188.0,188.0,156500
2025-06-23,189.0,189.0,184.0,184.0,184.0,106400
2025-06-24,188.0,188.0,184.0,187.0,187.0,4200
2025-06-25,187.0,190.0,187.0,187.0,187.0,64000
2025-06-26,187.0,192.0,186.0,190.0,190.0,79400
2025-06-30,190.0,190.0,185.0,190.0,190.0,66700
2025-07-01,190.0,190.0,185.0,186.0,186.0,184300
2025-07-02,187.0,188.0,183.0,185.0,185.0,235200
2025-07-03,188.0,188.0,183.0,186.0,186.0,16500
2025-07-04,186.0,190.0,184.0,189.0,189.0,110900
2025-07-07,189.0,218.0,184.0,189.0,189.0,7323300
2025-07-08,189.0,192.0,186.0,187.0,187.0,221800
2025-07-09,187.0,190.0,187.0,189.0,189.0,222500
2025-07-10,191.0,191.0,187.0,187.0,187.0,270400
2025-07-11,190.0,190.0,187.0,188.0,188.0,47900
2025-07-14,190.0,196.0,190.0,191.0,191.0,564000
2025-07-15,192.0,192.0,189.0,192.0,192.0,26600
2025-07-16,192.0,193.0,189.0,192.0,192.0,18300
2025-07-17,194.0,195.0,188.0,192.0,192.0,78400
2025-07-18,192.0,194.0,190.0,192.0,192.0,33200
2025-07-21,192.0,192.0,187.0,192.0,192.0,348600
2025-07-22,192.0,194.0,187.0,193.0,193.0,78900
2025-07-23,193.0,193.0,185.0,192.0,192.0,58900
2025-07-24,190.0,193.0,189.0,191.0,191.0,45900
2025-07-25,193.0,193.0,188.0,188.0,188.0,63500
2025-07-28,190.0,192.0,188.0,188.0,188.0,89100
2025-07-29,190.0,190.0,187.0,188.0,188.0,156200
2025-07-30,189.0,189.0,187.0,188.0,188.0,37000
2025-07-31,187.0,198.0,185.0,188.0,188.0,467600
2025-08-01,188.0,193.0,183.0,188.0,188.0,298000
2025-08-04,189.0,198.0,185.0,187.0,187.0,694700
2025-08-05,187.0,192.0,182.0,187.0,187.0,869600
2025-08-06,187.0,191.0,185.0,187.0,187.0,154500
2025-08-07,186.0,188.0,185.0,187.0,187.0,151000
2025-08-08,188.0,190.0,186.0,187.0,187.0,141700
2025-08-11,187.0,190.0,187.0,190.0,190.0,315900
