Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,3300.0,3700.0,3020.0,3370.0,3370.0,92800
2025-03-04,3350.0,3350.0,3130.0,3190.0,3190.0,17800
2025-03-05,3150.0,3500.0,3150.0,3440.0,3440.0,29000
2025-03-06,3530.0,3900.0,3530.0,3610.0,3610.0,65000
2025-03-07,3640.0,4510.0,3640.0,4510.0,4510.0,937200
2025-03-10,4450.0,4450.0,3700.0,3750.0,3750.0,434400
2025-03-11,3600.0,4680.0,3500.0,4600.0,4600.0,923900
2025-03-12,4700.0,5375.0,4550.0,4670.0,4670.0,672500
2025-03-13,4700.0,5100.0,4670.0,4800.0,4800.0,120700
2025-03-14,4850.0,5050.0,4550.0,4650.0,4650.0,67400
2025-03-17,4650.0,4900.0,4200.0,4290.0,4290.0,57400
2025-03-18,4290.0,4900.0,3780.0,3930.0,3930.0,159500
2025-03-19,4000.0,4500.0,3720.0,4270.0,4270.0,85000
2025-03-20,4330.0,4520.0,4030.0,4170.0,4170.0,41300
2025-03-21,4180.0,4180.0,3750.0,3750.0,3750.0,51000
2025-03-24,3750.0,4270.0,3420.0,3730.0,3730.0,72700
2025-03-25,3730.0,4100.0,3650.0,3690.0,3690.0,53800
2025-03-26,3700.0,4050.0,3700.0,3780.0,3780.0,69400
2025-03-27,3780.0,3910.0,3690.0,3710.0,3710.0,25500
2025-04-08,3270.0,3430.0,3160.0,3160.0,3160.0,81100
2025-04-09,3160.0,3950.0,3160.0,3950.0,3950.0,261300
2025-04-10,3950.0,4710.0,3570.0,4000.0,4000.0,215100
2025-04-11,4000.0,4290.0,3850.0,3970.0,3970.0,76900
2025-04-14,3970.0,3970.0,3730.0,3900.0,3900.0,40300
2025-04-15,3880.0,4040.0,3800.0,3870.0,3870.0,40200
2025-04-16,4000.0,4350.0,3900.0,3950.0,3950.0,95900
2025-04-17,4090.0,4240.0,3850.0,3950.0,3950.0,123400
2025-04-21,3910.0,4090.0,3800.0,3900.0,3900.0,35100
2025-04-22,3900.0,3900.0,3730.0,3850.0,3850.0,21600
2025-04-23,3860.0,4250.0,3850.0,4030.0,4030.0,94500
2025-04-24,4050.0,4120.0,3890.0,3990.0,3990.0,33200
2025-04-25,3990.0,4000.0,3900.0,3960.0,3960.0,15700
2025-04-28,3960.0,4100.0,3920.0,4010.0,4010.0,28600
2025-04-29,4020.0,4090.0,3910.0,3940.0,3940.0,51400
2025-04-30,3920.0,4000.0,3900.0,3920.0,3920.0,25100
2025-05-02,3950.0,4050.0,3890.0,3920.0,3920.0,31400
2025-05-05,3910.0,4010.0,3890.0,3900.0,3900.0,20500
2025-05-06,3900.0,3950.0,3880.0,3880.0,3880.0,11900
2025-05-07,3910.0,3950.0,3790.0,3890.0,3890.0,61800
2025-05-08,3810.0,3940.0,3810.0,3890.0,3890.0,19300
2025-05-09,3930.0,3930.0,3810.0,3830.0,3830.0,13900
2025-05-14,3850.0,3880.0,3780.0,3790.0,3790.0,19100
2025-05-15,3790.0,3790.0,3740.0,3770.0,3770.0,20000
2025-05-16,3780.0,3790.0,3660.0,3790.0,3790.0,17300
2025-05-19,3790.0,3820.0,3700.0,3750.0,3750.0,17500
2025-05-20,3660.0,3850.0,3650.0,3750.0,3750.0,15100
2025-05-21,3750.0,3760.0,3670.0,3740.0,3740.0,3000
2025-05-22,3700.0,3700.0,3650.0,3700.0,3700.0,19800
2025-05-23,3710.0,3740.0,3700.0,3740.0,3740.0,2200
2025-05-26,3720.0,3990.0,3670.0,3760.0,3760.0,25600
2025-05-27,3700.0,3700.0,3620.0,3670.0,3670.0,5600
2025-05-28,3750.0,3760.0,3660.0,3700.0,3700.0,8400
2025-06-02,3700.0,3790.0,3630.0,3630.0,3630.0,5700
2025-06-03,3630.0,3700.0,3570.0,3590.0,3590.0,14400
2025-06-04,3500.0,3560.0,3500.0,3550.0,3550.0,6500
2025-06-05,3560.0,3600.0,3460.0,3470.0,3470.0,7200
2025-06-10,3470.0,3470.0,3380.0,3450.0,3450.0,4800
2025-06-11,3410.0,3740.0,3400.0,3700.0,3700.0,51200
2025-06-12,3730.0,3730.0,3550.0,3700.0,3700.0,7000
2025-06-13,3720.0,4000.0,3480.0,3520.0,3520.0,29900
2025-06-16,3530.0,3550.0,3450.0,3550.0,3550.0,12000
2025-06-17,3550.0,3690.0,3330.0,3460.0,3460.0,9300
2025-06-18,3550.0,3590.0,3360.0,3380.0,3380.0,29500
2025-06-19,3480.0,3490.0,3320.0,3330.0,3330.0,14500
2025-06-20,3320.0,3320.0,3260.0,3270.0,3270.0,7700
2025-06-23,3170.0,3400.0,3160.0,3310.0,3310.0,33400
2025-06-24,3390.0,3500.0,3050.0,3270.0,3270.0,25200
2025-06-25,3370.0,3390.0,3200.0,3220.0,3220.0,9000
2025-06-26,3350.0,3350.0,3180.0,3290.0,3290.0,13500
2025-06-30,3600.0,3700.0,3390.0,3420.0,3420.0,23600
2025-07-01,3440.0,3590.0,3350.0,3360.0,3360.0,17900
2025-07-02,3350.0,3350.0,3290.0,3300.0,3300.0,15300
2025-07-03,3290.0,3430.0,3280.0,3360.0,3360.0,32500
2025-07-04,3320.0,3470.0,3300.0,3390.0,3390.0,9600
2025-07-07,3390.0,3460.0,3290.0,3290.0,3290.0,8200
2025-07-08,3300.0,3380.0,3180.0,3270.0,3270.0,13200
2025-07-09,3200.0,3600.0,3200.0,3350.0,3350.0,42200
2025-07-10,3360.0,3360.0,3300.0,3350.0,3350.0,6200
2025-07-11,3350.0,3450.0,3290.0,3390.0,3390.0,26200
2025-07-14,3390.0,3390.0,3280.0,3310.0,3310.0,25800
2025-07-15,3300.0,3300.0,3260.0,3300.0,3300.0,12200
