Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,168.0,169.0,152.0,152.0,152.0,11023400
2025-03-04,152.0,152.0,137.0,137.0,137.0,448100
2025-03-05,137.0,142.0,129.0,138.0,138.0,122236400
2025-03-06,139.0,144.0,138.0,141.0,141.0,90954100
2025-03-07,142.0,146.0,140.0,145.0,145.0,73308400
2025-03-10,142.0,149.0,142.0,147.0,147.0,79895500
2025-03-11,147.0,149.0,145.0,146.0,146.0,20272400
2025-03-12,146.0,150.0,145.0,147.0,147.0,24744200
2025-03-13,147.0,150.0,145.0,147.0,147.0,26931800
2025-03-14,148.0,150.0,146.0,147.0,147.0,17187100
2025-03-17,147.0,148.0,146.0,147.0,147.0,3339400
2025-03-18,147.0,148.0,144.0,146.0,146.0,14828300
2025-03-19,146.0,154.0,146.0,151.0,151.0,71981200
2025-03-20,152.0,156.0,150.0,154.0,154.0,77443100
2025-03-21,155.0,159.0,151.0,151.0,151.0,43374800
2025-03-24,151.0,155.0,148.0,154.0,154.0,92650500
2025-03-25,154.0,159.0,152.0,157.0,157.0,79142500
2025-03-26,157.0,164.0,155.0,162.0,162.0,75679000
2025-03-27,162.0,168.0,160.0,167.0,167.0,81723000
2025-04-08,166.0,172.0,165.0,171.0,171.0,69313800
2025-04-09,171.0,176.0,169.0,173.0,173.0,96486500
2025-04-10,174.0,177.0,172.0,172.0,172.0,72421800
2025-04-11,172.0,179.0,170.0,178.0,178.0,87121800
2025-04-14,178.0,184.0,176.0,182.0,182.0,113222700
2025-04-15,182.0,186.0,178.0,182.0,182.0,75602300
2025-04-16,183.0,190.0,180.0,189.0,189.0,92631500
2025-04-17,189.0,196.0,187.0,193.0,193.0,81664700
2025-04-21,194.0,196.0,191.0,191.0,191.0,31503300
2025-04-22,190.0,195.0,189.0,195.0,195.0,30582300
2025-04-23,196.0,206.0,194.0,204.0,204.0,47846400
2025-04-24,202.0,210.0,198.0,198.0,198.0,29151600
2025-04-25,197.0,204.0,195.0,200.0,200.0,16430300
2025-04-28,200.0,206.0,198.0,204.0,204.0,17866100
2025-04-29,204.0,214.0,200.0,210.0,210.0,29271500
2025-04-30,208.0,218.0,204.0,204.0,204.0,21336600
2025-05-02,206.0,210.0,202.0,208.0,208.0,32113900
2025-05-05,208.0,212.0,206.0,210.0,210.0,27511000
2025-05-06,210.0,220.0,210.0,218.0,218.0,40174900
2025-05-07,216.0,224.0,214.0,214.0,214.0,37855800
2025-05-08,214.0,222.0,208.0,220.0,220.0,47850900
2025-05-09,220.0,230.0,216.0,216.0,216.0,54784100
2025-05-14,216.0,224.0,212.0,222.0,222.0,43825900
2025-05-15,222.0,226.0,218.0,218.0,218.0,21327000
2025-05-16,218.0,222.0,214.0,218.0,218.0,21912100
2025-05-19,218.0,232.0,216.0,232.0,232.0,31569000
