Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,133.0,142.0,130.0,137.0,137.0,1475100
2025-03-04,137.0,137.0,130.0,131.0,131.0,1177300
2025-03-05,131.0,135.0,131.0,132.0,132.0,388300
2025-03-06,135.0,140.0,132.0,134.0,134.0,1123400
2025-03-07,133.0,134.0,131.0,133.0,133.0,527300
2025-03-10,135.0,136.0,127.0,130.0,130.0,1042700
2025-03-11,128.0,132.0,127.0,131.0,131.0,607700
2025-03-12,129.0,140.0,129.0,131.0,131.0,2158800
2025-03-13,131.0,134.0,128.0,128.0,128.0,555700
2025-03-14,130.0,131.0,128.0,128.0,128.0,481000
2025-03-17,128.0,131.0,127.0,129.0,129.0,390800
2025-03-18,130.0,130.0,121.0,124.0,124.0,1149000
2025-03-19,124.0,126.0,121.0,123.0,123.0,333800
2025-03-20,124.0,125.0,120.0,123.0,123.0,1300700
2025-03-21,126.0,128.0,115.0,115.0,115.0,1005000
2025-03-24,111.0,115.0,103.0,103.0,103.0,1153400
2025-03-25,102.0,110.0,102.0,105.0,105.0,828100
2025-03-26,106.0,110.0,105.0,108.0,108.0,559400
2025-03-27,111.0,113.0,109.0,113.0,113.0,1264700
2025-04-08,110.0,111.0,100.0,107.0,107.0,541800
2025-04-09,109.0,110.0,106.0,109.0,109.0,241400
2025-04-10,109.0,116.0,108.0,109.0,109.0,462400
2025-04-11,109.0,111.0,108.0,108.0,108.0,222100
2025-04-14,108.0,113.0,108.0,110.0,110.0,266500
2025-04-15,110.0,124.0,110.0,118.0,118.0,1213300
2025-04-16,118.0,118.0,113.0,115.0,115.0,315800
2025-04-17,116.0,117.0,113.0,116.0,116.0,193600
2025-04-21,116.0,118.0,113.0,115.0,115.0,291100
2025-04-22,115.0,119.0,114.0,119.0,119.0,600300
2025-04-23,119.0,122.0,116.0,118.0,118.0,898600
2025-04-24,118.0,119.0,117.0,118.0,118.0,285900
2025-04-25,118.0,120.0,117.0,119.0,119.0,192500
2025-04-28,120.0,121.0,117.0,117.0,117.0,212700
2025-04-29,118.0,129.0,118.0,120.0,120.0,3164500
2025-04-30,122.0,122.0,118.0,118.0,118.0,247000
2025-05-02,118.0,121.0,117.0,119.0,119.0,308300
2025-05-05,122.0,123.0,118.0,120.0,120.0,324100
2025-05-06,119.0,123.0,119.0,121.0,121.0,451100
2025-05-07,121.0,123.0,119.0,121.0,121.0,234200
2025-05-08,120.0,121.0,119.0,120.0,120.0,116200
2025-05-09,120.0,121.0,118.0,120.0,120.0,264800
2025-05-14,120.0,121.0,119.0,121.0,121.0,187300
2025-05-15,121.0,121.0,118.0,119.0,119.0,380900
2025-05-16,120.0,128.0,119.0,120.0,120.0,2133800
2025-05-19,120.0,123.0,119.0,121.0,121.0,365600
2025-05-20,121.0,123.0,119.0,120.0,120.0,415600
2025-05-21,120.0,123.0,120.0,121.0,121.0,89200
2025-05-22,121.0,123.0,120.0,120.0,120.0,150100
2025-05-23,123.0,124.0,114.0,118.0,118.0,3615300
2025-05-26,118.0,120.0,117.0,120.0,120.0,312400
2025-05-27,121.0,122.0,120.0,120.0,120.0,480800
2025-05-28,122.0,122.0,120.0,121.0,121.0,260400
2025-06-02,121.0,122.0,120.0,120.0,120.0,702500
2025-06-03,133.0,162.0,133.0,162.0,162.0,65546000
2025-06-04,150.0,150.0,138.0,138.0,138.0,18104900
2025-06-05,134.0,146.0,133.0,137.0,137.0,8747900
2025-06-10,138.0,158.0,135.0,158.0,158.0,8672600
2025-06-11,172.0,199.0,154.0,158.0,158.0,66440100
2025-06-12,161.0,163.0,148.0,151.0,151.0,5072200
2025-06-13,153.0,154.0,149.0,150.0,150.0,1061200
2025-06-16,151.0,152.0,144.0,145.0,145.0,1208400
2025-06-17,149.0,195.0,143.0,195.0,195.0,66246300
2025-06-18,195.0,195.0,166.0,166.0,166.0,16069600
2025-06-19,155.0,163.0,147.0,151.0,151.0,19869300
2025-06-20,151.0,152.0,145.0,148.0,148.0,2714400
2025-06-23,148.0,168.0,140.0,140.0,140.0,21677100
2025-06-24,140.0,146.0,135.0,141.0,141.0,1957500
2025-06-25,141.0,163.0,140.0,151.0,151.0,22578400
