Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,80.0,81.0,70.0,80.0,80.0,1562600
2025-03-04,80.0,80.0,68.0,71.0,71.0,1554100
2025-03-05,73.0,75.0,70.0,74.0,74.0,295200
2025-03-06,74.0,82.0,71.0,76.0,76.0,418800
2025-03-07,77.0,78.0,75.0,77.0,77.0,1334000
2025-03-10,76.0,78.0,73.0,78.0,78.0,124900
2025-03-11,75.0,78.0,75.0,78.0,78.0,40100
2025-03-12,80.0,81.0,77.0,78.0,78.0,50500
2025-03-13,80.0,81.0,76.0,81.0,81.0,523400
2025-03-14,81.0,81.0,75.0,81.0,81.0,173400
2025-03-17,81.0,82.0,71.0,78.0,78.0,502600
2025-03-18,79.0,104.0,78.0,85.0,85.0,13105600
2025-03-19,85.0,90.0,79.0,83.0,83.0,920000
2025-03-20,82.0,84.0,79.0,80.0,80.0,684400
2025-03-21,83.0,83.0,75.0,77.0,77.0,1021100
2025-03-24,78.0,80.0,73.0,76.0,76.0,651500
2025-03-25,76.0,78.0,75.0,77.0,77.0,196700
2025-03-26,77.0,79.0,75.0,78.0,78.0,234000
2025-03-27,79.0,80.0,76.0,78.0,78.0,90200
2025-04-08,76.0,78.0,74.0,78.0,78.0,292900
2025-04-09,78.0,78.0,74.0,77.0,77.0,56600
2025-04-10,77.0,85.0,75.0,82.0,82.0,946000
2025-04-11,81.0,81.0,77.0,80.0,80.0,64300
2025-04-14,80.0,82.0,78.0,82.0,82.0,289800
2025-04-15,82.0,87.0,81.0,83.0,83.0,177300
2025-04-16,83.0,87.0,80.0,86.0,86.0,270600
2025-04-17,86.0,86.0,81.0,82.0,82.0,146300
2025-04-21,83.0,85.0,73.0,82.0,82.0,478700
2025-04-22,79.0,82.0,79.0,79.0,79.0,94100
2025-04-23,82.0,99.0,82.0,93.0,93.0,13102600
2025-04-24,96.0,96.0,88.0,90.0,90.0,1647500
2025-04-25,90.0,90.0,85.0,86.0,86.0,1642500
2025-04-28,87.0,92.0,87.0,88.0,88.0,659200
2025-04-29,88.0,91.0,88.0,90.0,90.0,217600
2025-04-30,88.0,93.0,88.0,91.0,91.0,957700
2025-05-02,93.0,110.0,92.0,99.0,99.0,7788000
2025-05-05,99.0,100.0,94.0,99.0,99.0,888100
2025-05-06,100.0,103.0,97.0,97.0,97.0,385500
2025-05-07,97.0,101.0,91.0,99.0,99.0,2240200
2025-05-08,96.0,98.0,96.0,98.0,98.0,326800
2025-05-09,97.0,100.0,96.0,97.0,97.0,409400
2025-05-14,97.0,98.0,85.0,92.0,92.0,3508600
2025-05-15,92.0,93.0,89.0,90.0,90.0,2305500
2025-05-16,91.0,92.0,90.0,91.0,91.0,311400
2025-05-19,91.0,92.0,89.0,92.0,92.0,425500
2025-05-20,99.0,122.0,99.0,118.0,118.0,55735200
2025-05-21,119.0,122.0,106.0,112.0,112.0,9302300
2025-05-22,113.0,113.0,105.0,108.0,108.0,2711100
2025-05-23,105.0,106.0,103.0,105.0,105.0,987100
2025-05-26,105.0,112.0,104.0,104.0,104.0,1488500
2025-05-27,105.0,106.0,104.0,105.0,105.0,465600
2025-05-28,105.0,107.0,104.0,104.0,104.0,934500
2025-06-02,104.0,105.0,92.0,103.0,103.0,2543500
2025-06-03,103.0,104.0,102.0,103.0,103.0,1018600
2025-06-04,116.0,127.0,105.0,105.0,105.0,33070400
2025-06-05,106.0,113.0,106.0,106.0,106.0,1999300
2025-06-10,106.0,108.0,103.0,105.0,105.0,1139200
2025-06-11,107.0,107.0,102.0,104.0,104.0,896600
2025-06-12,105.0,106.0,103.0,105.0,105.0,494500
2025-06-13,105.0,105.0,103.0,105.0,105.0,468400
2025-06-16,105.0,105.0,101.0,103.0,103.0,559000
2025-06-17,103.0,103.0,101.0,102.0,102.0,250600
2025-06-18,102.0,105.0,101.0,103.0,103.0,416700
2025-06-19,103.0,103.0,99.0,99.0,99.0,560900
2025-06-20,99.0,104.0,99.0,101.0,101.0,293100
2025-06-23,100.0,101.0,96.0,97.0,97.0,579900
2025-06-24,98.0,106.0,97.0,99.0,99.0,413000
2025-06-25,100.0,102.0,98.0,100.0,100.0,174100
2025-06-26,100.0,102.0,98.0,100.0,100.0,158000
2025-06-30,100.0,101.0,99.0,99.0,99.0,86900
2025-07-01,99.0,104.0,99.0,99.0,99.0,113000
2025-07-02,98.0,101.0,98.0,99.0,99.0,486100
2025-07-03,99.0,100.0,98.0,99.0,99.0,266100
2025-07-04,102.0,121.0,100.0,103.0,103.0,13344500
2025-07-07,103.0,107.0,101.0,104.0,104.0,1367600
2025-07-08,104.0,107.0,102.0,105.0,105.0,353700
2025-07-09,106.0,108.0,105.0,108.0,108.0,2352000
2025-07-10,108.0,108.0,105.0,105.0,105.0,469200
2025-07-11,106.0,106.0,103.0,104.0,104.0,328900
2025-07-14,104.0,104.0,99.0,100.0,100.0,940000
2025-07-15,103.0,113.0,100.0,102.0,102.0,801300
2025-07-16,102.0,106.0,100.0,102.0,102.0,817600
2025-07-17,105.0,105.0,101.0,104.0,104.0,271800
2025-07-18,104.0,104.0,100.0,102.0,102.0,1242400
2025-07-21,102.0,109.0,102.0,106.0,106.0,2753000
2025-07-22,107.0,109.0,103.0,103.0,103.0,2099000
2025-07-23,102.0,108.0,102.0,102.0,102.0,448900
2025-07-24,103.0,103.0,101.0,102.0,102.0,581000
2025-07-25,102.0,104.0,100.0,102.0,102.0,995300
2025-07-28,103.0,104.0,101.0,102.0,102.0,712900
2025-07-29,105.0,105.0,101.0,104.0,104.0,540800
2025-07-30,104.0,104.0,101.0,102.0,102.0,424700
2025-07-31,103.0,104.0,102.0,104.0,104.0,146000
2025-08-01,104.0,104.0,100.0,101.0,101.0,1148600
2025-08-04,103.0,103.0,100.0,102.0,102.0,358600
2025-08-05,102.0,102.0,101.0,102.0,102.0,415200
2025-08-06,102.0,104.0,98.0,101.0,101.0,1674600
2025-08-07,103.0,103.0,96.0,98.0,98.0,2700800
2025-08-08,99.0,100.0,95.0,96.0,96.0,1498400
2025-08-11,96.0,100.0,96.0,98.0,98.0,484200
