Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,15.0,15.0,15.0,15.0,15.0,432400
2025-03-04,15.0,16.0,15.0,16.0,16.0,138000
2025-03-05,16.0,16.0,15.0,16.0,16.0,184300
2025-03-06,16.0,16.0,16.0,16.0,16.0,67900
2025-03-07,16.0,16.0,16.0,16.0,16.0,158000
2025-03-10,15.0,16.0,15.0,16.0,16.0,75700
2025-03-11,16.0,16.0,15.0,15.0,15.0,377500
2025-03-12,15.0,15.0,14.0,15.0,15.0,424200
2025-03-13,15.0,15.0,15.0,15.0,15.0,109900
2025-03-14,14.0,14.0,14.0,14.0,14.0,470600
2025-03-17,15.0,15.0,14.0,14.0,14.0,699600
2025-03-18,15.0,15.0,15.0,15.0,15.0,265800
2025-03-19,15.0,15.0,15.0,15.0,15.0,38300
2025-03-20,15.0,15.0,14.0,14.0,14.0,104400
2025-03-21,14.0,14.0,14.0,14.0,14.0,578400
2025-03-24,14.0,14.0,13.0,13.0,13.0,1125600
2025-03-25,12.0,13.0,12.0,13.0,13.0,577500
2025-03-26,13.0,14.0,13.0,14.0,14.0,368100
2025-03-27,14.0,14.0,14.0,14.0,14.0,118400
2025-04-08,13.0,13.0,13.0,13.0,13.0,305600
2025-04-09,12.0,13.0,12.0,13.0,13.0,114300
2025-04-10,13.0,13.0,13.0,13.0,13.0,247500
2025-04-11,13.0,13.0,13.0,13.0,13.0,133000
2025-04-14,13.0,13.0,13.0,13.0,13.0,415800
2025-04-15,13.0,13.0,13.0,13.0,13.0,197600
2025-04-16,13.0,13.0,12.0,13.0,13.0,191600
2025-04-17,13.0,13.0,13.0,13.0,13.0,254700
2025-04-21,13.0,13.0,13.0,13.0,13.0,856200
2025-04-22,12.0,13.0,12.0,13.0,13.0,231700
2025-04-23,13.0,13.0,13.0,13.0,13.0,1117000
2025-04-24,13.0,13.0,13.0,13.0,13.0,309100
2025-04-25,13.0,13.0,13.0,13.0,13.0,952600
2025-04-28,13.0,13.0,13.0,13.0,13.0,1590500
2025-04-29,13.0,13.0,13.0,13.0,13.0,1056800
2025-04-30,13.0,14.0,13.0,14.0,14.0,3462000
2025-05-02,15.0,15.0,15.0,15.0,15.0,1579300
2025-05-05,16.0,16.0,16.0,16.0,16.0,3809700
2025-05-06,15.0,15.0,15.0,15.0,15.0,3816900
2025-05-07,15.0,15.0,15.0,15.0,15.0,434600
2025-05-08,15.0,15.0,15.0,15.0,15.0,311000
2025-05-09,15.0,15.0,15.0,15.0,15.0,420200
2025-05-14,15.0,15.0,14.0,15.0,15.0,1680100
2025-05-15,15.0,15.0,14.0,15.0,15.0,1668500
