Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,122.0,130.0,122.0,127.0,127.0,186326600
2025-03-04,125.0,125.0,103.0,108.0,108.0,492336200
2025-03-05,109.0,113.0,107.0,111.0,111.0,208679700
2025-03-06,112.0,119.0,112.0,114.0,114.0,209962000
2025-03-07,115.0,118.0,112.0,116.0,116.0,236035300
2025-03-10,116.0,116.0,107.0,108.0,108.0,237780000
2025-03-11,106.0,106.0,98.0,99.0,99.0,288880400
2025-03-12,99.0,102.0,97.0,100.0,100.0,146274300
2025-03-13,101.0,105.0,99.0,103.0,103.0,255441900
2025-03-14,103.0,104.0,97.0,98.0,98.0,88932800
2025-03-17,98.0,100.0,91.0,93.0,93.0,223164000
2025-03-18,93.0,94.0,85.0,91.0,91.0,215238900
2025-03-19,91.0,95.0,89.0,92.0,92.0,204358800
2025-03-20,93.0,95.0,87.0,89.0,89.0,283844000
2025-03-21,89.0,89.0,82.0,83.0,83.0,233120800
2025-03-24,84.0,84.0,75.0,80.0,80.0,168211100
2025-03-25,81.0,82.0,78.0,80.0,80.0,97347400
2025-03-26,80.0,85.0,80.0,85.0,85.0,194001000
2025-03-27,85.0,86.0,82.0,85.0,85.0,101610300
2025-04-08,77.0,77.0,73.0,75.0,75.0,158427400
2025-04-09,73.0,78.0,70.0,73.0,73.0,114934500
2025-04-10,80.0,82.0,74.0,80.0,80.0,103294100
2025-04-11,79.0,87.0,77.0,82.0,82.0,199947800
2025-04-14,83.0,87.0,82.0,85.0,85.0,156458000
2025-04-15,85.0,91.0,84.0,86.0,86.0,282308300
2025-04-16,86.0,87.0,82.0,83.0,83.0,225663400
2025-04-17,83.0,85.0,82.0,84.0,84.0,80718600
2025-04-21,84.0,85.0,81.0,82.0,82.0,122747500
2025-04-22,82.0,85.0,82.0,84.0,84.0,242918700
2025-04-23,85.0,90.0,84.0,88.0,88.0,239601200
2025-04-24,88.0,89.0,83.0,85.0,85.0,285252300
2025-04-25,85.0,88.0,84.0,87.0,87.0,165389300
2025-04-28,87.0,93.0,86.0,91.0,91.0,362101600
2025-04-29,93.0,93.0,88.0,90.0,90.0,205380400
2025-04-30,90.0,90.0,87.0,88.0,88.0,166866100
2025-05-02,88.0,89.0,85.0,87.0,87.0,129601700
2025-05-05,88.0,90.0,86.0,90.0,90.0,369856000
2025-05-06,90.0,91.0,88.0,89.0,89.0,187675500
2025-05-07,89.0,90.0,86.0,87.0,87.0,166101600
2025-05-08,88.0,88.0,82.0,85.0,85.0,263813500
2025-05-09,85.0,90.0,85.0,87.0,87.0,103936800
2025-05-14,89.0,90.0,87.0,88.0,88.0,137617500
2025-05-15,89.0,90.0,87.0,88.0,88.0,58434200
2025-05-16,88.0,89.0,84.0,86.0,86.0,420589300
2025-05-19,85.0,85.0,82.0,84.0,84.0,104420600
2025-05-20,84.0,86.0,82.0,84.0,84.0,232606300
2025-05-21,84.0,84.0,81.0,83.0,83.0,224598800
2025-05-22,83.0,84.0,78.0,80.0,80.0,345405100
2025-05-23,81.0,82.0,80.0,81.0,81.0,40022000
2025-05-26,82.0,82.0,79.0,81.0,81.0,87348400
2025-05-27,81.0,81.0,79.0,80.0,80.0,30339400
2025-05-28,80.0,80.0,79.0,80.0,80.0,38972700
