Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,8.0,8.0,8.0,8.0,8.0,0
2025-03-04,8.0,8.0,8.0,8.0,8.0,0
2025-03-05,8.0,8.0,8.0,8.0,8.0,0
2025-03-06,8.0,8.0,8.0,8.0,8.0,0
2025-03-07,8.0,8.0,8.0,8.0,8.0,0
2025-03-10,8.0,8.0,8.0,8.0,8.0,0
2025-03-11,8.0,8.0,8.0,8.0,8.0,0
2025-03-12,8.0,8.0,8.0,8.0,8.0,0
2025-03-13,8.0,8.0,8.0,8.0,8.0,0
2025-03-14,8.0,8.0,8.0,8.0,8.0,0
2025-03-17,8.0,8.0,8.0,8.0,8.0,0
2025-03-18,8.0,8.0,8.0,8.0,8.0,0
2025-03-19,8.0,8.0,8.0,8.0,8.0,0
2025-03-20,8.0,8.0,8.0,8.0,8.0,0
2025-03-21,8.0,8.0,8.0,8.0,8.0,0
2025-03-24,8.0,8.0,8.0,8.0,8.0,0
2025-03-25,8.0,8.0,8.0,8.0,8.0,0
2025-03-26,8.0,8.0,8.0,8.0,8.0,0
2025-03-27,8.0,8.0,8.0,8.0,8.0,0
2025-04-08,8.0,8.0,8.0,8.0,8.0,0
2025-04-09,8.0,8.0,8.0,8.0,8.0,0
2025-04-10,8.0,8.0,8.0,8.0,8.0,0
2025-04-11,8.0,8.0,8.0,8.0,8.0,0
2025-04-14,8.0,8.0,8.0,8.0,8.0,0
2025-04-15,8.0,8.0,8.0,8.0,8.0,0
2025-04-16,8.0,8.0,8.0,8.0,8.0,0
2025-04-17,8.0,8.0,8.0,8.0,8.0,0
2025-04-21,8.0,8.0,8.0,8.0,8.0,0
2025-04-22,8.0,8.0,8.0,8.0,8.0,0
2025-04-23,8.0,8.0,8.0,8.0,8.0,0
2025-04-24,8.0,8.0,8.0,8.0,8.0,0
2025-04-25,8.0,8.0,8.0,8.0,8.0,0
2025-04-28,8.0,8.0,8.0,8.0,8.0,0
2025-04-29,8.0,8.0,8.0,8.0,8.0,0
2025-04-30,8.0,8.0,8.0,8.0,8.0,0
2025-05-02,8.0,8.0,8.0,8.0,8.0,0
2025-05-05,8.0,8.0,8.0,8.0,8.0,0
2025-05-06,8.0,8.0,8.0,8.0,8.0,0
2025-05-07,8.0,8.0,8.0,8.0,8.0,0
2025-05-08,8.0,8.0,8.0,8.0,8.0,0
2025-05-09,8.0,8.0,8.0,8.0,8.0,0
2025-05-14,8.0,8.0,8.0,8.0,8.0,0
2025-05-15,8.0,8.0,8.0,8.0,8.0,0
2025-05-16,8.0,8.0,8.0,8.0,8.0,0
2025-05-19,8.0,8.0,8.0,8.0,8.0,0
2025-05-20,8.0,8.0,8.0,8.0,8.0,0
2025-05-21,8.0,8.0,8.0,8.0,8.0,0
2025-05-22,8.0,8.0,8.0,8.0,8.0,0
2025-05-23,8.0,8.0,8.0,8.0,8.0,0
2025-05-26,8.0,8.0,8.0,8.0,8.0,0
2025-05-27,8.0,8.0,8.0,8.0,8.0,0
2025-05-28,8.0,8.0,8.0,8.0,8.0,0
2025-06-02,8.0,8.0,8.0,8.0,8.0,0
2025-06-03,8.0,8.0,8.0,8.0,8.0,0
2025-06-04,8.0,8.0,8.0,8.0,8.0,0
2025-06-05,8.0,8.0,8.0,8.0,8.0,0
2025-06-10,8.0,8.0,8.0,8.0,8.0,0
2025-06-11,8.0,8.0,8.0,8.0,8.0,0
2025-06-12,8.0,8.0,8.0,8.0,8.0,0
2025-06-13,8.0,8.0,8.0,8.0,8.0,0
2025-06-16,8.0,8.0,8.0,8.0,8.0,0
2025-06-17,8.0,8.0,8.0,8.0,8.0,0
2025-06-18,8.0,8.0,8.0,8.0,8.0,0
2025-06-19,8.0,8.0,8.0,8.0,8.0,0
2025-06-20,8.0,8.0,8.0,8.0,8.0,0
2025-06-23,8.0,8.0,8.0,8.0,8.0,0
2025-06-24,8.0,8.0,8.0,8.0,8.0,0
2025-06-25,8.0,8.0,8.0,8.0,8.0,0
2025-06-26,8.0,8.0,8.0,8.0,8.0,0
2025-06-30,8.0,8.0,8.0,8.0,8.0,0
2025-07-01,8.0,8.0,8.0,8.0,8.0,0
2025-07-02,8.0,8.0,8.0,8.0,8.0,0
2025-07-03,8.0,8.0,8.0,8.0,8.0,0
2025-07-04,8.0,8.0,8.0,8.0,8.0,0
2025-07-07,8.0,8.0,8.0,8.0,8.0,0
2025-07-08,8.0,8.0,8.0,8.0,8.0,0
2025-07-09,9.0,9.0,9.0,9.0,9.0,970300
2025-07-10,10.0,10.0,10.0,10.0,10.0,4991900
2025-07-11,11.0,11.0,11.0,11.0,11.0,18847400
2025-07-14,12.0,12.0,12.0,12.0,12.0,8536100
2025-07-15,13.0,13.0,13.0,13.0,13.0,20436800
2025-07-16,14.0,14.0,14.0,14.0,14.0,82876500
2025-07-17,15.0,15.0,15.0,15.0,15.0,136086200
2025-07-18,15.0,15.0,14.0,14.0,14.0,178010300
2025-07-21,13.0,13.0,13.0,13.0,13.0,14026000
2025-07-22,12.0,12.0,12.0,12.0,12.0,32430900
2025-07-23,12.0,12.0,11.0,11.0,11.0,28834600
2025-07-24,11.0,12.0,11.0,12.0,12.0,6195100
2025-07-25,12.0,12.0,11.0,11.0,11.0,2989600
2025-07-28,11.0,11.0,11.0,11.0,11.0,13689500
2025-07-29,11.0,11.0,11.0,11.0,11.0,5391800
2025-07-30,11.0,11.0,11.0,11.0,11.0,6399800
2025-07-31,12.0,12.0,12.0,12.0,12.0,8799000
