Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,9.0,9.0,8.0,9.0,8.954999923706055,1737200
2025-03-04,8.0,9.0,8.0,9.0,8.954999923706055,2310000
2025-03-05,9.0,9.0,8.0,9.0,8.954999923706055,974900
2025-03-06,9.0,9.0,8.0,8.0,7.960000038146973,681200
2025-03-07,8.0,9.0,8.0,9.0,8.954999923706055,330500
2025-03-10,9.0,9.0,8.0,9.0,8.954999923706055,745100
2025-03-11,8.0,9.0,8.0,8.0,7.960000038146973,699300
2025-03-12,8.0,9.0,8.0,8.0,7.960000038146973,893500
2025-03-13,8.0,9.0,8.0,9.0,8.954999923706055,1449900
2025-03-14,9.0,9.0,8.0,9.0,8.954999923706055,532200
2025-03-17,8.0,9.0,8.0,8.0,7.960000038146973,1400700
2025-03-18,8.0,9.0,8.0,8.0,7.960000038146973,8800600
2025-03-19,8.0,8.0,8.0,8.0,7.960000038146973,6822100
2025-03-20,8.0,9.0,8.0,9.0,8.954999923706055,2016300
2025-03-21,9.0,9.0,8.0,8.0,7.960000038146973,3212600
2025-03-24,9.0,9.0,8.0,8.0,7.960000038146973,6537400
2025-03-25,8.0,8.0,8.0,8.0,7.960000038146973,1993600
2025-03-26,8.0,9.0,8.0,8.0,7.960000038146973,1174400
2025-03-27,9.0,9.0,8.0,8.0,7.960000038146973,1479800
2025-04-08,8.0,8.0,7.0,7.0,6.965000152587891,17588500
2025-04-09,7.0,7.0,7.0,7.0,6.965000152587891,9883500
2025-04-10,7.0,8.0,7.0,7.0,6.965000152587891,4887700
2025-04-11,7.0,8.0,7.0,7.0,6.965000152587891,1113000
2025-04-14,7.0,8.0,7.0,8.0,7.960000038146973,3038200
2025-04-15,8.0,8.0,7.0,7.0,6.965000152587891,2564900
2025-04-16,8.0,8.0,7.0,7.0,6.965000152587891,638600
2025-04-17,7.0,8.0,7.0,8.0,7.960000038146973,1081200
2025-04-21,8.0,8.0,7.0,7.0,6.965000152587891,2666400
2025-04-22,7.0,8.0,7.0,7.0,6.965000152587891,1747000
2025-04-23,8.0,8.0,8.0,8.0,7.960000038146973,13229500
2025-04-24,8.0,8.0,7.0,7.0,6.965000152587891,59132400
2025-04-25,7.0,7.0,6.0,6.0,5.970000267028809,61107800
2025-04-28,7.0,7.0,7.0,7.0,6.965000152587891,27757400
2025-04-29,7.0,8.0,7.0,7.0,6.965000152587891,9645500
2025-04-30,7.0,8.0,7.0,8.0,7.960000038146973,3519300
2025-05-02,8.0,8.0,8.0,8.0,7.960000038146973,29950100
2025-05-05,8.0,8.0,7.0,8.0,7.960000038146973,3950200
2025-05-06,8.0,8.0,7.0,7.0,6.965000152587891,5462600
2025-05-07,8.0,8.0,8.0,8.0,7.960000038146973,13000400
2025-05-08,8.0,8.0,8.0,8.0,7.960000038146973,7547500
2025-05-09,8.0,8.0,8.0,8.0,7.960000038146973,1922800
2025-05-14,8.0,9.0,8.0,9.0,8.954999923706055,3990200
2025-05-15,9.0,9.0,9.0,9.0,8.954999923706055,5255800
2025-05-16,9.0,9.0,9.0,9.0,8.954999923706055,7966600
2025-05-19,9.0,9.0,9.0,9.0,8.954999923706055,9970600
2025-05-20,9.0,10.0,9.0,10.0,9.949999809265137,15222000
2025-05-21,10.0,10.0,10.0,10.0,9.949999809265137,17995000
2025-05-22,10.0,11.0,10.0,11.0,10.944999694824219,29422500
2025-05-23,12.0,12.0,12.0,12.0,11.940000534057617,21610200
2025-05-26,13.0,13.0,11.0,11.0,10.944999694824219,72347800
2025-05-27,10.0,10.0,10.0,10.0,9.949999809265137,6586700
2025-05-28,9.0,10.0,9.0,10.0,9.949999809265137,26416400
2025-06-02,11.0,11.0,11.0,11.0,11.0,23897900
2025-06-03,11.0,11.0,10.0,10.0,10.0,20291500
2025-06-04,10.0,10.0,10.0,10.0,10.0,14290800
2025-06-05,10.0,11.0,10.0,10.0,10.0,2317300
2025-06-10,10.0,10.0,10.0,10.0,10.0,12212400
2025-06-11,10.0,10.0,10.0,10.0,10.0,3923700
2025-06-12,10.0,10.0,9.0,9.0,9.0,6911100
2025-06-13,9.0,9.0,9.0,9.0,9.0,13250000
2025-06-16,10.0,10.0,10.0,10.0,10.0,2776100
2025-06-17,10.0,10.0,9.0,9.0,9.0,2401500
2025-06-18,9.0,9.0,9.0,9.0,9.0,3438000
2025-06-19,10.0,10.0,9.0,9.0,9.0,16771800
2025-06-20,10.0,10.0,9.0,9.0,9.0,6470100
2025-06-23,9.0,9.0,9.0,9.0,9.0,4037300
2025-06-24,9.0,9.0,9.0,9.0,9.0,2221100
2025-06-25,9.0,10.0,9.0,10.0,10.0,3266700
2025-06-26,9.0,9.0,9.0,9.0,9.0,2502200
2025-06-30,9.0,9.0,9.0,9.0,9.0,2469300
2025-07-01,9.0,9.0,9.0,9.0,9.0,1599100
2025-07-02,9.0,9.0,9.0,9.0,9.0,2074000
2025-07-03,9.0,10.0,9.0,9.0,9.0,2752500
2025-07-04,9.0,10.0,9.0,10.0,10.0,2691700
2025-07-07,10.0,10.0,9.0,9.0,9.0,1073800
2025-07-08,9.0,10.0,9.0,10.0,10.0,3400300
2025-07-09,10.0,10.0,9.0,9.0,9.0,1663200
2025-07-10,9.0,10.0,9.0,10.0,10.0,3527100
2025-07-11,10.0,10.0,9.0,9.0,9.0,10412500
2025-07-14,9.0,9.0,9.0,9.0,9.0,22942100
2025-07-15,9.0,9.0,9.0,9.0,9.0,6050100
2025-07-16,9.0,9.0,9.0,9.0,9.0,1877200
2025-07-17,9.0,9.0,9.0,9.0,9.0,4694300
2025-07-18,9.0,9.0,9.0,9.0,9.0,4741000
2025-07-21,10.0,10.0,9.0,9.0,9.0,3114500
2025-07-22,9.0,10.0,9.0,9.0,9.0,1412700
2025-07-23,9.0,9.0,9.0,9.0,9.0,5528900
2025-07-24,9.0,9.0,9.0,9.0,9.0,9603200
2025-07-25,9.0,9.0,9.0,9.0,9.0,5348700
2025-07-28,9.0,9.0,9.0,9.0,9.0,3560200
2025-07-29,9.0,9.0,9.0,9.0,9.0,4986000
2025-07-30,9.0,9.0,9.0,9.0,9.0,3400000
2025-07-31,9.0,9.0,9.0,9.0,9.0,1759700
2025-08-01,9.0,9.0,9.0,9.0,9.0,3438500
2025-08-04,9.0,9.0,9.0,9.0,9.0,5473200
2025-08-05,9.0,10.0,9.0,10.0,10.0,20619900
2025-08-06,10.0,10.0,10.0,10.0,10.0,3819300
2025-08-07,10.0,10.0,10.0,10.0,10.0,18769700
2025-08-08,11.0,11.0,11.0,11.0,11.0,29757100
2025-08-11,12.0,12.0,12.0,12.0,12.0,52978600
