Datetime,Open,High,Low,Close,Adj Close,Volume
2025-05-22 09:45:00+07:00,22.0,22.0,22.0,22.0,22.0,0
2025-05-22 10:45:00+07:00,22.0,22.0,22.0,22.0,22.0,585700
2025-05-22 11:45:00+07:00,21.0,21.0,21.0,21.0,21.0,5683500
2025-05-22 14:45:00+07:00,21.0,21.0,21.0,21.0,21.0,75500
2025-05-23 09:45:00+07:00,21.0,21.0,21.0,21.0,21.0,0
2025-05-23 11:15:00+07:00,21.0,21.0,21.0,21.0,21.0,882500
2025-05-23 14:45:00+07:00,22.0,22.0,22.0,22.0,22.0,122800
2025-05-26 09:45:00+07:00,23.0,23.0,23.0,23.0,23.0,0
2025-05-26 10:45:00+07:00,23.0,23.0,23.0,23.0,23.0,308700
2025-05-26 11:45:00+07:00,24.0,24.0,24.0,24.0,24.0,363800
2025-05-26 14:45:00+07:00,24.0,24.0,24.0,24.0,24.0,901600
2025-05-27 09:45:00+07:00,26.0,26.0,26.0,26.0,26.0,0
2025-05-27 10:45:00+07:00,26.0,26.0,26.0,26.0,26.0,234300
2025-05-27 11:45:00+07:00,26.0,26.0,26.0,26.0,26.0,1300
2025-05-27 14:45:00+07:00,26.0,26.0,26.0,26.0,26.0,67400
2025-05-28 09:45:00+07:00,28.0,28.0,28.0,28.0,28.0,0
2025-05-28 10:45:00+07:00,28.0,28.0,28.0,28.0,28.0,162900
2025-05-28 11:45:00+07:00,28.0,28.0,28.0,28.0,28.0,153900
2025-05-28 14:45:00+07:00,28.0,28.0,28.0,28.0,28.0,1034500
2025-06-02 09:45:00+07:00,30.0,30.0,30.0,30.0,30.0,0
2025-06-02 10:45:00+07:00,30.0,30.0,30.0,30.0,30.0,500
2025-06-02 11:45:00+07:00,30.0,30.0,30.0,30.0,30.0,347900
2025-06-02 14:45:00+07:00,30.0,30.0,30.0,30.0,30.0,500
2025-06-03 09:45:00+07:00,27.0,27.0,27.0,27.0,27.0,0
2025-06-03 10:45:00+07:00,27.0,27.0,27.0,27.0,27.0,22100
2025-06-03 11:45:00+07:00,27.0,27.0,27.0,27.0,27.0,51200
2025-06-03 14:45:00+07:00,27.0,27.0,27.0,27.0,27.0,2115000
2025-06-04 09:45:00+07:00,25.0,25.0,25.0,25.0,25.0,0
2025-06-04 10:45:00+07:00,25.0,25.0,25.0,25.0,25.0,0
2025-06-04 11:45:00+07:00,25.0,25.0,25.0,25.0,25.0,6000
2025-06-04 14:45:00+07:00,25.0,25.0,25.0,25.0,25.0,1827500
2025-06-05 09:45:00+07:00,25.0,25.0,25.0,25.0,25.0,0
2025-06-05 10:45:00+07:00,26.0,26.0,26.0,26.0,26.0,457500
2025-06-05 11:45:00+07:00,26.0,26.0,26.0,26.0,26.0,192900
2025-06-05 14:45:00+07:00,27.0,27.0,27.0,27.0,27.0,0
2025-06-10 09:45:00+07:00,26.0,26.0,26.0,26.0,26.0,0
2025-06-10 10:45:00+07:00,26.0,26.0,26.0,26.0,26.0,3000
2025-06-10 11:45:00+07:00,26.0,26.0,26.0,26.0,26.0,893200
2025-06-10 14:45:00+07:00,26.0,26.0,26.0,26.0,26.0,200
2025-06-11 09:45:00+07:00,26.0,26.0,26.0,26.0,26.0,0
2025-06-11 10:45:00+07:00,27.0,27.0,27.0,27.0,27.0,588700
2025-06-11 11:45:00+07:00,27.0,27.0,27.0,27.0,27.0,97600
2025-06-11 14:45:00+07:00,27.0,27.0,27.0,27.0,27.0,158600
2025-06-12 09:45:00+07:00,28.0,28.0,28.0,28.0,28.0,0
2025-06-12 10:45:00+07:00,28.0,28.0,28.0,28.0,28.0,68900
2025-06-12 11:45:00+07:00,28.0,28.0,28.0,28.0,28.0,20700
2025-06-12 14:45:00+07:00,29.0,29.0,29.0,29.0,29.0,98000
2025-06-13 09:45:00+07:00,29.0,29.0,29.0,29.0,29.0,0
2025-06-13 11:15:00+07:00,30.0,30.0,30.0,30.0,30.0,398600
2025-06-13 14:45:00+07:00,30.0,30.0,30.0,30.0,30.0,597200
2025-06-16 09:45:00+07:00,33.0,33.0,33.0,33.0,33.0,0
2025-06-16 10:45:00+07:00,34.0,34.0,34.0,34.0,34.0,117200
2025-06-16 11:45:00+07:00,34.0,34.0,34.0,34.0,34.0,1032400
2025-06-16 14:45:00+07:00,34.0,34.0,34.0,34.0,34.0,45000
2025-06-17 09:45:00+07:00,35.0,35.0,35.0,35.0,35.0,10919700
2025-06-17 10:45:00+07:00,36.0,36.0,36.0,36.0,36.0,12167000
2025-06-17 11:45:00+07:00,37.0,37.0,37.0,37.0,37.0,10405800
2025-06-17 14:45:00+07:00,37.0,37.0,37.0,37.0,37.0,300
2025-06-18 09:45:00+07:00,38.0,38.0,38.0,38.0,38.0,0
2025-06-18 10:45:00+07:00,39.0,39.0,39.0,39.0,39.0,5709200
2025-06-18 11:45:00+07:00,39.0,39.0,39.0,39.0,39.0,200000
2025-06-18 14:45:00+07:00,40.0,40.0,40.0,40.0,40.0,4353200
2025-06-19 09:45:00+07:00,36.0,36.0,36.0,36.0,36.0,0
2025-06-19 10:45:00+07:00,37.0,37.0,37.0,37.0,37.0,16173300
2025-06-19 11:45:00+07:00,38.0,38.0,38.0,38.0,38.0,3103500
2025-06-19 14:45:00+07:00,42.0,42.0,42.0,42.0,42.0,16347500
2025-06-20 09:45:00+07:00,43.0,43.0,43.0,43.0,43.0,0
2025-06-20 11:15:00+07:00,44.0,44.0,44.0,44.0,44.0,11034000
2025-06-20 14:45:00+07:00,45.0,45.0,45.0,45.0,45.0,4885000
