Datetime,Open,High,Low,Close,Adj Close,Volume
2025-05-22 09:00:00+07:00,68.0,72.0,67.0,70.0,70.0,0
2025-05-22 09:05:00+07:00,70.0,71.0,69.0,70.0,70.0,8762500
2025-05-22 09:10:00+07:00,70.0,70.0,68.0,69.0,69.0,39574900
2025-05-22 09:15:00+07:00,69.0,70.0,68.0,69.0,69.0,4318000
2025-05-22 09:20:00+07:00,69.0,69.0,68.0,68.0,68.0,186100
2025-05-22 09:25:00+07:00,68.0,69.0,68.0,69.0,69.0,1088900
2025-05-22 09:30:00+07:00,68.0,68.0,68.0,68.0,68.0,1008200
2025-05-22 09:35:00+07:00,68.0,68.0,68.0,68.0,68.0,226500
2025-05-22 09:40:00+07:00,68.0,68.0,66.0,66.0,66.0,5951600
2025-05-22 09:45:00+07:00,66.0,66.0,62.0,64.0,64.0,16966300
2025-05-22 09:50:00+07:00,65.0,68.0,64.0,67.0,67.0,24080300
2025-05-22 09:55:00+07:00,67.0,68.0,66.0,67.0,67.0,10993400
2025-05-22 10:00:00+07:00,67.0,67.0,64.0,65.0,65.0,23408800
2025-05-22 10:05:00+07:00,65.0,65.0,64.0,65.0,65.0,5121200
2025-05-22 10:10:00+07:00,64.0,66.0,64.0,65.0,65.0,8101100
2025-05-22 10:15:00+07:00,65.0,65.0,63.0,64.0,64.0,7824400
2025-05-22 10:20:00+07:00,65.0,65.0,63.0,64.0,64.0,571200
2025-05-22 10:25:00+07:00,63.0,64.0,63.0,64.0,64.0,1179000
2025-05-22 10:30:00+07:00,63.0,67.0,63.0,66.0,66.0,14604800
2025-05-22 10:35:00+07:00,66.0,66.0,65.0,65.0,65.0,7120800
2025-05-22 10:40:00+07:00,64.0,65.0,64.0,64.0,64.0,1944600
2025-05-22 10:45:00+07:00,65.0,66.0,65.0,65.0,65.0,13807600
2025-05-22 10:50:00+07:00,65.0,65.0,64.0,64.0,64.0,6102100
2025-05-22 10:55:00+07:00,64.0,65.0,64.0,65.0,65.0,621900
2025-05-22 11:00:00+07:00,65.0,65.0,64.0,65.0,65.0,40800
2025-05-22 11:05:00+07:00,64.0,64.0,63.0,64.0,64.0,889200
2025-05-22 11:10:00+07:00,64.0,65.0,64.0,64.0,64.0,105500
2025-05-22 11:15:00+07:00,65.0,65.0,64.0,65.0,65.0,0
2025-05-22 11:20:00+07:00,65.0,66.0,65.0,66.0,66.0,17279200
2025-05-22 11:25:00+07:00,65.0,67.0,63.0,65.0,65.0,35936800
2025-05-22 11:30:00+07:00,65.0,67.0,64.0,66.0,66.0,27537000
2025-05-22 11:35:00+07:00,66.0,66.0,64.0,64.0,64.0,19230500
2025-05-22 11:40:00+07:00,65.0,65.0,64.0,65.0,65.0,395300
2025-05-22 11:45:00+07:00,64.0,65.0,64.0,65.0,65.0,342500
2025-05-22 11:50:00+07:00,65.0,65.0,65.0,65.0,65.0,35900
2025-05-22 11:55:00+07:00,65.0,66.0,64.0,66.0,66.0,19179200
2025-05-22 13:30:00+07:00,66.0,68.0,65.0,67.0,67.0,21194700
2025-05-22 13:35:00+07:00,67.0,68.0,66.0,66.0,66.0,6741400
2025-05-22 13:40:00+07:00,67.0,68.0,66.0,67.0,67.0,1888100
2025-05-22 13:45:00+07:00,67.0,67.0,64.0,65.0,65.0,20410600
2025-05-22 13:50:00+07:00,65.0,66.0,64.0,64.0,64.0,8284900
2025-05-22 13:55:00+07:00,64.0,65.0,64.0,64.0,64.0,34000
2025-05-22 14:00:00+07:00,65.0,65.0,64.0,64.0,64.0,27400
2025-05-22 14:05:00+07:00,64.0,65.0,64.0,65.0,65.0,204500
2025-05-22 14:10:00+07:00,65.0,65.0,64.0,65.0,65.0,1624700
2025-05-22 14:15:00+07:00,65.0,65.0,64.0,65.0,65.0,214800
2025-05-22 14:20:00+07:00,65.0,65.0,64.0,65.0,65.0,218500
2025-05-22 14:25:00+07:00,65.0,65.0,64.0,65.0,65.0,35200
2025-05-22 14:30:00+07:00,65.0,65.0,64.0,65.0,65.0,47000
2025-05-22 14:35:00+07:00,65.0,65.0,65.0,65.0,65.0,248300
2025-05-22 14:40:00+07:00,65.0,65.0,65.0,65.0,65.0,0
2025-05-22 14:45:00+07:00,65.0,65.0,64.0,64.0,64.0,77800
2025-05-22 14:50:00+07:00,65.0,65.0,64.0,65.0,65.0,123300
2025-05-22 14:55:00+07:00,65.0,65.0,64.0,64.0,64.0,433500
2025-05-22 15:00:00+07:00,64.0,65.0,64.0,65.0,65.0,252400
2025-05-22 15:05:00+07:00,64.0,65.0,64.0,65.0,65.0,6200
2025-05-22 15:10:00+07:00,65.0,65.0,65.0,65.0,65.0,62400
2025-05-22 15:15:00+07:00,64.0,65.0,64.0,65.0,65.0,1264100
2025-05-22 15:20:00+07:00,65.0,65.0,63.0,64.0,64.0,1506400
2025-05-22 15:25:00+07:00,64.0,65.0,64.0,64.0,64.0,309200
2025-05-22 15:30:00+07:00,64.0,64.0,64.0,64.0,64.0,474300
2025-05-22 15:35:00+07:00,64.0,64.0,63.0,64.0,64.0,100600
2025-05-22 15:40:00+07:00,64.0,64.0,63.0,64.0,64.0,264400
2025-05-22 15:45:00+07:00,64.0,65.0,64.0,65.0,65.0,608700
2025-05-23 09:00:00+07:00,65.0,66.0,65.0,66.0,66.0,0
2025-05-23 09:05:00+07:00,66.0,66.0,64.0,65.0,65.0,797200
2025-05-23 09:10:00+07:00,65.0,65.0,63.0,64.0,64.0,1483200
2025-05-23 09:15:00+07:00,64.0,64.0,63.0,64.0,64.0,391300
2025-05-23 09:20:00+07:00,64.0,64.0,63.0,63.0,63.0,328800
2025-05-23 09:25:00+07:00,64.0,64.0,63.0,64.0,64.0,575800
2025-05-23 09:30:00+07:00,64.0,64.0,63.0,63.0,63.0,1626200
2025-05-23 09:35:00+07:00,63.0,64.0,63.0,64.0,64.0,26800
2025-05-23 09:40:00+07:00,64.0,64.0,63.0,64.0,64.0,2117800
2025-05-23 09:45:00+07:00,64.0,64.0,63.0,63.0,63.0,1025600
2025-05-23 09:50:00+07:00,63.0,64.0,63.0,63.0,63.0,574000
2025-05-23 09:55:00+07:00,63.0,64.0,63.0,63.0,63.0,936000
2025-05-23 10:00:00+07:00,63.0,63.0,62.0,63.0,63.0,980800
2025-05-23 10:05:00+07:00,63.0,64.0,63.0,63.0,63.0,673200
2025-05-23 10:10:00+07:00,63.0,63.0,63.0,63.0,63.0,0
2025-05-23 10:15:00+07:00,64.0,64.0,64.0,64.0,64.0,0
2025-05-23 10:20:00+07:00,64.0,64.0,64.0,64.0,64.0,10000
