Datetime,Open,High,Low,Close,Adj Close,Volume
2025-05-22 09:00:00+07:00,57.0,57.0,55.0,56.0,56.0,0
2025-05-22 09:05:00+07:00,55.0,57.0,55.0,57.0,57.0,644200
2025-05-22 09:10:00+07:00,57.0,57.0,56.0,57.0,57.0,703400
2025-05-22 09:15:00+07:00,56.0,57.0,56.0,56.0,56.0,538300
2025-05-22 09:20:00+07:00,56.0,56.0,56.0,56.0,56.0,254500
2025-05-22 09:25:00+07:00,56.0,56.0,55.0,55.0,55.0,784100
2025-05-22 09:30:00+07:00,56.0,56.0,55.0,55.0,55.0,39500
2025-05-22 09:35:00+07:00,56.0,56.0,55.0,56.0,56.0,28200
2025-05-22 09:40:00+07:00,56.0,56.0,55.0,56.0,56.0,105200
2025-05-22 09:45:00+07:00,55.0,56.0,55.0,56.0,56.0,383000
2025-05-22 09:50:00+07:00,56.0,56.0,55.0,56.0,56.0,239300
2025-05-22 09:55:00+07:00,55.0,56.0,55.0,56.0,56.0,341300
2025-05-22 10:00:00+07:00,56.0,56.0,55.0,55.0,55.0,164900
2025-05-22 10:05:00+07:00,56.0,56.0,55.0,56.0,56.0,536100
2025-05-22 10:10:00+07:00,56.0,56.0,55.0,55.0,55.0,156000
2025-05-22 10:15:00+07:00,56.0,56.0,55.0,56.0,56.0,131000
2025-05-22 10:20:00+07:00,56.0,56.0,55.0,56.0,56.0,241800
2025-05-22 10:25:00+07:00,55.0,56.0,55.0,56.0,56.0,144900
2025-05-22 10:30:00+07:00,56.0,56.0,55.0,56.0,56.0,133400
2025-05-22 10:35:00+07:00,56.0,56.0,56.0,56.0,56.0,82600
2025-05-22 10:40:00+07:00,56.0,56.0,55.0,56.0,56.0,68400
2025-05-22 10:45:00+07:00,56.0,56.0,55.0,56.0,56.0,231900
2025-05-22 10:50:00+07:00,55.0,56.0,55.0,56.0,56.0,304600
2025-05-22 10:55:00+07:00,56.0,56.0,55.0,56.0,56.0,63000
2025-05-22 11:00:00+07:00,56.0,56.0,55.0,56.0,56.0,110200
2025-05-22 11:05:00+07:00,56.0,56.0,55.0,56.0,56.0,200000
2025-05-22 11:10:00+07:00,56.0,56.0,55.0,55.0,55.0,118700
2025-05-22 11:15:00+07:00,56.0,56.0,55.0,55.0,55.0,1152100
2025-05-22 11:20:00+07:00,56.0,56.0,55.0,56.0,56.0,34200
2025-05-22 11:25:00+07:00,56.0,56.0,55.0,55.0,55.0,201400
2025-05-22 11:30:00+07:00,56.0,56.0,55.0,55.0,55.0,2000
2025-05-22 11:35:00+07:00,56.0,56.0,55.0,55.0,55.0,437500
2025-05-22 11:40:00+07:00,56.0,56.0,55.0,55.0,55.0,0
2025-05-22 11:45:00+07:00,55.0,56.0,55.0,56.0,56.0,152500
2025-05-22 11:55:00+07:00,56.0,56.0,56.0,56.0,56.0,54000
2025-05-22 13:30:00+07:00,56.0,56.0,55.0,56.0,56.0,869100
2025-05-22 13:35:00+07:00,56.0,56.0,55.0,55.0,55.0,110700
2025-05-22 13:40:00+07:00,56.0,56.0,55.0,55.0,55.0,792200
2025-05-22 13:45:00+07:00,56.0,56.0,55.0,55.0,55.0,13000
2025-05-22 13:50:00+07:00,56.0,56.0,55.0,56.0,56.0,98200
2025-05-22 13:55:00+07:00,56.0,56.0,55.0,56.0,56.0,35700
2025-05-22 14:00:00+07:00,55.0,56.0,55.0,56.0,56.0,548900
2025-05-22 14:05:00+07:00,56.0,56.0,55.0,56.0,56.0,71800
2025-05-22 14:10:00+07:00,56.0,56.0,55.0,56.0,56.0,27200
2025-05-22 14:15:00+07:00,56.0,56.0,55.0,55.0,55.0,177400
2025-05-22 14:20:00+07:00,56.0,56.0,55.0,56.0,56.0,82500
2025-05-22 14:25:00+07:00,56.0,56.0,55.0,56.0,56.0,1090700
2025-05-22 14:30:00+07:00,55.0,56.0,55.0,56.0,56.0,50600
2025-05-22 14:35:00+07:00,56.0,56.0,56.0,56.0,56.0,2000
2025-05-22 14:40:00+07:00,56.0,56.0,55.0,56.0,56.0,8678200
2025-05-22 14:45:00+07:00,55.0,56.0,55.0,56.0,56.0,1113000
2025-05-22 14:50:00+07:00,55.0,55.0,54.0,55.0,55.0,879200
2025-05-22 14:55:00+07:00,55.0,56.0,55.0,56.0,56.0,807700
2025-05-22 15:00:00+07:00,56.0,56.0,56.0,56.0,56.0,36700
2025-05-22 15:05:00+07:00,55.0,56.0,55.0,56.0,56.0,1233300
2025-05-22 15:10:00+07:00,55.0,56.0,55.0,55.0,55.0,111400
2025-05-22 15:15:00+07:00,55.0,55.0,55.0,55.0,55.0,550400
2025-05-22 15:20:00+07:00,55.0,56.0,55.0,56.0,56.0,157100
2025-05-22 15:25:00+07:00,55.0,56.0,55.0,56.0,56.0,74100
2025-05-22 15:30:00+07:00,56.0,56.0,55.0,56.0,56.0,873500
2025-05-22 15:35:00+07:00,55.0,56.0,55.0,55.0,55.0,486000
2025-05-22 15:40:00+07:00,55.0,55.0,55.0,55.0,55.0,250700
2025-05-22 15:45:00+07:00,54.0,55.0,54.0,55.0,55.0,2476400
2025-05-23 09:00:00+07:00,55.0,55.0,54.0,55.0,55.0,0
2025-05-23 09:05:00+07:00,55.0,56.0,55.0,56.0,56.0,3161300
2025-05-23 09:10:00+07:00,56.0,56.0,55.0,55.0,55.0,4331800
2025-05-23 09:15:00+07:00,55.0,56.0,55.0,56.0,56.0,1389800
2025-05-23 09:20:00+07:00,56.0,56.0,55.0,55.0,55.0,120300
2025-05-23 09:25:00+07:00,56.0,56.0,56.0,56.0,56.0,3900
2025-05-23 09:30:00+07:00,56.0,56.0,55.0,55.0,55.0,850000
2025-05-23 09:35:00+07:00,56.0,56.0,55.0,55.0,55.0,338400
2025-05-23 09:40:00+07:00,55.0,56.0,55.0,55.0,55.0,408500
2025-05-23 09:45:00+07:00,56.0,56.0,55.0,55.0,55.0,201500
2025-05-23 09:50:00+07:00,55.0,56.0,55.0,56.0,56.0,201300
2025-05-23 09:55:00+07:00,56.0,56.0,55.0,56.0,56.0,45300
2025-05-23 10:00:00+07:00,56.0,56.0,55.0,55.0,55.0,1272900
2025-05-23 10:05:00+07:00,55.0,56.0,55.0,55.0,55.0,16300
2025-05-23 10:10:00+07:00,55.0,56.0,55.0,55.0,55.0,10900
2025-05-23 10:15:00+07:00,55.0,56.0,55.0,56.0,56.0,64400
2025-05-23 10:20:00+07:00,55.0,56.0,55.0,56.0,56.0,1341400
2025-05-23 10:25:00+07:00,56.0,56.0,56.0,56.0,56.0,0
2025-05-23 10:30:00+07:00,56.0,56.0,55.0,55.0,55.0,38800
2025-05-23 10:35:00+07:00,56.0,56.0,56.0,56.0,56.0,367400
2025-05-23 10:40:00+07:00,56.0,56.0,56.0,56.0,56.0,2423100
2025-05-23 10:45:00+07:00,56.0,56.0,55.0,56.0,56.0,394200
2025-05-23 10:50:00+07:00,56.0,56.0,55.0,56.0,56.0,337000
2025-05-23 10:55:00+07:00,56.0,56.0,55.0,55.0,55.0,215000
2025-05-23 11:00:00+07:00,55.0,55.0,55.0,55.0,55.0,52600
2025-05-23 11:05:00+07:00,56.0,56.0,55.0,56.0,56.0,0
2025-05-23 11:10:00+07:00,56.0,56.0,55.0,55.0,55.0,183400
2025-05-23 11:15:00+07:00,56.0,56.0,55.0,55.0,55.0,33700
2025-05-23 11:20:00+07:00,56.0,56.0,55.0,55.0,55.0,26800
2025-05-23 11:25:00+07:00,56.0,56.0,55.0,56.0,56.0,817500
2025-05-23 14:00:00+07:00,56.0,56.0,55.0,56.0,56.0,1582400
2025-05-23 14:05:00+07:00,56.0,56.0,55.0,56.0,56.0,412200
2025-05-23 14:10:00+07:00,56.0,56.0,55.0,56.0,56.0,1733600
2025-05-23 14:15:00+07:00,56.0,56.0,55.0,55.0,55.0,169000
2025-05-23 14:20:00+07:00,55.0,56.0,55.0,55.0,55.0,11100
