Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,50.0,50.0,50.0,50.0,50.0,454900
2025-05-14,50.0,50.0,50.0,50.0,50.0,162900
2025-05-15,50.0,50.0,50.0,50.0,50.0,73200
2025-05-16,50.0,50.0,50.0,50.0,50.0,63700
2025-05-19,50.0,50.0,50.0,50.0,50.0,44300
2025-05-20,50.0,50.0,50.0,50.0,50.0,189000
2025-05-21,50.0,50.0,50.0,50.0,50.0,180400
2025-05-22,50.0,50.0,50.0,50.0,50.0,47100
2025-05-23,50.0,50.0,50.0,50.0,50.0,2500
2025-05-26,50.0,50.0,50.0,50.0,50.0,254200
2025-05-27,50.0,50.0,50.0,50.0,50.0,43100
2025-05-28,50.0,50.0,50.0,50.0,50.0,40800
2025-06-02,50.0,50.0,50.0,50.0,50.0,74500
2025-06-03,50.0,50.0,50.0,50.0,50.0,22300
2025-06-04,50.0,50.0,50.0,50.0,50.0,126900
2025-06-05,50.0,50.0,50.0,50.0,50.0,8100
2025-06-10,50.0,50.0,50.0,50.0,50.0,26400
2025-06-11,50.0,50.0,50.0,50.0,50.0,353000
2025-06-12,50.0,50.0,50.0,50.0,50.0,37000
2025-06-13,50.0,50.0,50.0,50.0,50.0,200700
2025-06-16,50.0,50.0,50.0,50.0,50.0,97200
2025-06-17,50.0,50.0,50.0,50.0,50.0,7000
2025-06-18,50.0,50.0,50.0,50.0,50.0,144000
2025-06-19,50.0,50.0,50.0,50.0,50.0,8000
2025-06-20,50.0,50.0,50.0,50.0,50.0,17800
2025-06-23,50.0,50.0,50.0,50.0,50.0,26500
2025-06-24,50.0,50.0,50.0,50.0,50.0,7700
2025-06-25,50.0,50.0,50.0,50.0,50.0,19900
2025-06-26,50.0,50.0,50.0,50.0,50.0,15700
2025-06-30,50.0,50.0,50.0,50.0,50.0,89000
2025-07-01,50.0,50.0,50.0,50.0,50.0,29900
2025-07-02,50.0,50.0,50.0,50.0,50.0,233800
2025-07-03,50.0,50.0,50.0,50.0,50.0,29600
2025-07-04,50.0,50.0,50.0,50.0,50.0,36700
2025-07-07,50.0,50.0,50.0,50.0,50.0,10000
2025-07-08,50.0,50.0,50.0,50.0,50.0,45200
2025-07-09,50.0,50.0,50.0,50.0,50.0,26000
2025-07-10,50.0,50.0,50.0,50.0,50.0,19900
2025-07-11,50.0,50.0,50.0,50.0,50.0,100200
2025-07-14,50.0,50.0,50.0,50.0,50.0,59600
2025-07-15,50.0,50.0,50.0,50.0,50.0,25100
2025-07-16,50.0,50.0,50.0,50.0,50.0,122400
2025-07-17,50.0,50.0,50.0,50.0,50.0,35900
2025-07-18,50.0,50.0,50.0,50.0,50.0,48400
2025-07-21,50.0,50.0,50.0,50.0,50.0,53300
2025-07-22,50.0,50.0,50.0,50.0,50.0,34800
2025-07-23,50.0,50.0,50.0,50.0,50.0,53700
2025-07-24,50.0,50.0,50.0,50.0,50.0,64400
2025-07-25,50.0,50.0,50.0,50.0,50.0,20400
2025-07-28,50.0,50.0,50.0,50.0,50.0,69700
2025-07-29,50.0,50.0,50.0,50.0,50.0,10500
2025-07-30,50.0,50.0,50.0,50.0,50.0,25500
2025-07-31,50.0,50.0,50.0,50.0,50.0,216900
2025-08-01,50.0,50.0,50.0,50.0,50.0,21200
2025-08-04,50.0,50.0,50.0,50.0,50.0,28000
2025-08-05,50.0,50.0,50.0,50.0,50.0,105900
2025-08-06,50.0,50.0,50.0,50.0,50.0,109700
2025-08-07,50.0,50.0,50.0,50.0,50.0,128200
2025-08-08,50.0,50.0,50.0,50.0,50.0,69600
2025-08-11,50.0,50.0,50.0,50.0,50.0,1200700
