Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,492.0,498.0,486.0,486.0,485.5080871582031,276300
2025-05-14,486.0,490.0,480.0,490.0,489.5040588378906,18600
2025-05-15,490.0,492.0,490.0,490.0,489.5040588378906,199900
2025-05-16,490.0,498.0,486.0,490.0,489.5040588378906,288200
2025-05-19,490.0,490.0,486.0,490.0,489.5040588378906,158700
2025-05-20,486.0,498.0,484.0,490.0,489.5040588378906,63200
2025-05-21,484.0,490.0,476.0,482.0,481.51214599609375,53100
2025-05-22,482.0,500.0,480.0,490.0,489.5040588378906,103200
2025-05-23,490.0,490.0,482.0,482.0,481.51214599609375,116100
2025-05-26,482.0,498.0,470.0,482.0,481.51214599609375,147700
2025-05-27,482.0,490.0,482.0,490.0,489.5040588378906,34900
2025-05-28,488.0,498.0,488.0,496.0,495.49798583984375,56600
2025-06-02,488.0,500.0,488.0,498.0,497.4959411621094,402000
2025-06-03,498.0,498.0,488.0,490.0,489.5040588378906,184200
2025-06-04,490.0,498.0,490.0,498.0,497.4959411621094,48300
2025-06-05,498.0,500.0,496.0,496.0,495.49798583984375,104800
2025-06-10,496.0,496.0,494.0,494.0,493.5,243600
2025-06-11,494.0,498.0,488.0,498.0,497.4959411621094,457900
2025-06-12,490.0,498.0,490.0,498.0,497.4959411621094,201900
2025-06-13,498.0,498.0,492.0,498.0,497.4959411621094,124700
2025-06-16,490.0,498.0,490.0,498.0,497.4959411621094,43200
2025-06-17,498.0,498.0,492.0,492.0,491.50201416015625,4500
2025-06-18,492.0,492.0,492.0,492.0,491.50201416015625,3400
2025-06-19,492.0,494.0,484.0,494.0,493.5,49800
2025-06-20,494.0,500.0,494.0,494.0,493.5,125100
2025-06-23,494.0,498.0,494.0,498.0,498.0,22600
2025-06-24,494.0,498.0,494.0,498.0,498.0,42200
2025-06-25,498.0,500.0,490.0,500.0,500.0,27800
2025-06-26,492.0,492.0,492.0,492.0,492.0,4200
2025-06-30,492.0,498.0,490.0,498.0,498.0,119600
2025-07-01,498.0,498.0,498.0,498.0,498.0,0
2025-07-02,496.0,496.0,494.0,496.0,496.0,3300
2025-07-03,496.0,496.0,488.0,490.0,490.0,5500
2025-07-04,490.0,494.0,490.0,492.0,492.0,7500
2025-07-07,492.0,498.0,486.0,490.0,490.0,176800
2025-07-08,490.0,494.0,490.0,492.0,492.0,7900
2025-07-09,492.0,498.0,492.0,492.0,492.0,64100
2025-07-10,492.0,498.0,490.0,492.0,492.0,33700
2025-07-11,492.0,498.0,492.0,498.0,498.0,44900
2025-07-14,490.0,498.0,490.0,492.0,492.0,226100
2025-07-15,494.0,498.0,490.0,498.0,498.0,30900
2025-07-16,492.0,498.0,490.0,490.0,490.0,30300
2025-07-17,490.0,500.0,490.0,498.0,498.0,70600
2025-07-18,494.0,498.0,490.0,490.0,490.0,20600
2025-07-21,490.0,500.0,488.0,490.0,490.0,101000
2025-07-22,490.0,610.0,490.0,525.0,525.0,1260200
2025-07-23,525.0,535.0,480.0,492.0,492.0,1396300
2025-07-24,490.0,498.0,490.0,496.0,496.0,57500
2025-07-25,490.0,496.0,490.0,492.0,492.0,13200
2025-07-28,492.0,498.0,490.0,490.0,490.0,130100
2025-07-29,490.0,498.0,490.0,490.0,490.0,179500
2025-07-30,490.0,498.0,490.0,490.0,490.0,179500
2025-07-31,492.0,500.0,488.0,490.0,490.0,511100
2025-08-01,490.0,500.0,490.0,498.0,498.0,56200
2025-08-04,498.0,500.0,492.0,492.0,492.0,63500
2025-08-05,492.0,500.0,492.0,500.0,500.0,54000
2025-08-06,492.0,500.0,490.0,494.0,494.0,216800
2025-08-07,492.0,498.0,492.0,492.0,492.0,48600
2025-08-08,492.0,498.0,492.0,498.0,498.0,32000
2025-08-11,498.0,498.0,492.0,492.0,492.0,3900
