Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,2140.0,2180.0,2040.0,2180.0,2145.75,2300.0
2025-05-14,2140.0,2150.0,2100.0,2150.0,2116.221435546875,1700.0
2025-05-15,2120.0,2120.0,2060.0,2110.0,2076.849853515625,1300.0
2025-05-16,2070.0,2190.0,2070.0,2190.0,2155.5927734375,500.0
2025-05-19,2190.0,2190.0,2090.0,2120.0,2086.692626953125,3400.0
2025-05-20,2140.0,2190.0,2120.0,2140.0,2106.37841796875,900.0
2025-05-21,2150.0,2150.0,2150.0,2150.0,2116.221435546875,100.0
2025-05-22,2150.0,2150.0,2060.0,2140.0,2106.37841796875,400.0
2025-05-23,2070.0,2130.0,2070.0,2130.0,2096.53564453125,500.0
2025-05-26,2140.0,2140.0,2050.0,2140.0,2106.37841796875,1200.0
2025-05-27,2050.0,2110.0,2050.0,2080.0,2047.321044921875,800.0
2025-05-28,2050.0,2100.0,2000.0,2030.0,1998.106689453125,600.0
2025-06-02,2150.0,2150.0,2030.0,2140.0,2106.37841796875,3600.0
2025-06-03,2100.0,2180.0,2100.0,2180.0,2145.75,18300.0
2025-06-04,2100.0,2170.0,2100.0,2170.0,2135.9072265625,400.0
2025-06-05,2170.0,2170.0,2170.0,2170.0,2135.9072265625,100.0
2025-06-10,2170.0,2170.0,2170.0,2170.0,2135.9072265625,100.0
2025-06-11,2010.0,2180.0,2000.0,2180.0,2145.75,1200.0
2025-06-12,2100.0,2200.0,2100.0,2200.0,2165.435791015625,3000.0
2025-06-13,2190.0,2260.0,2190.0,2260.0,2224.4931640625,5500.0
2025-06-16,2240.0,2240.0,2200.0,2200.0,2165.435791015625,1400.0
2025-06-17,2200.0,2200.0,2160.0,2190.0,2155.5927734375,1400.0
2025-06-18,2190.0,2190.0,2190.0,2190.0,2155.5927734375,0.0
2025-06-19,2180.0,2190.0,2100.0,2190.0,2155.5927734375,700.0
2025-06-20,2080.0,2180.0,2080.0,2180.0,2145.75,1300.0
2025-06-23,2180.0,2180.0,2180.0,2180.0,2145.75,0.0
2025-06-24,2180.0,2270.0,2180.0,2200.0,2165.435791015625,5600.0
2025-06-25,2100.0,2180.0,2100.0,2180.0,2145.75,1200.0
2025-06-26,2170.0,2180.0,2100.0,2170.0,2135.9072265625,800.0
2025-06-30,2300.0,2300.0,2100.0,2180.0,2145.75,13600.0
2025-07-01,2100.0,2130.0,2050.0,2120.0,2120.0,15900.0
2025-07-02,2100.0,2140.0,2100.0,2140.0,2140.0,200.0
2025-07-03,2140.0,2140.0,2140.0,2140.0,2140.0,0.0
2025-07-04,2050.0,2130.0,2040.0,2130.0,2130.0,2200.0
2025-07-07,2130.0,2130.0,2130.0,2130.0,2130.0,0.0
2025-07-08,2070.0,2120.0,2070.0,2120.0,2120.0,1300.0
2025-07-09,2070.0,2120.0,2060.0,2120.0,2120.0,1700.0
2025-07-10,2110.0,2110.0,2070.0,2080.0,2080.0,500.0
2025-07-11,2070.0,2080.0,2050.0,2080.0,2080.0,1500.0
2025-07-14,2050.0,2140.0,2050.0,2090.0,2090.0,7100.0
2025-07-15,2200.0,2200.0,2050.0,2110.0,2110.0,6100.0
2025-07-16,2110.0,2190.0,2100.0,2180.0,2180.0,10200.0
2025-07-17,2100.0,2200.0,2100.0,2200.0,2200.0,200.0
2025-07-18,2200.0,2200.0,2120.0,2200.0,2200.0,1300.0
2025-07-21,2100.0,2180.0,2100.0,2180.0,2180.0,400.0
2025-07-22,2180.0,2200.0,2130.0,2200.0,2200.0,1500.0
2025-07-23,2180.0,2200.0,2130.0,2200.0,2200.0,1400.0
2025-07-24,2190.0,2190.0,2110.0,2120.0,2120.0,1000.0
2025-07-25,2160.0,2180.0,2160.0,2180.0,2180.0,300.0
2025-07-28,2190.0,2200.0,2140.0,2190.0,2190.0,400.0
2025-07-29,2140.0,2170.0,2090.0,2150.0,2150.0,20000.0
2025-07-30,2150.0,2170.0,2100.0,2170.0,2170.0,1400.0
2025-07-31,2140.0,2200.0,2110.0,2190.0,2190.0,4800.0
2025-08-01,2180.0,2180.0,2170.0,2170.0,2170.0,300.0
2025-08-04,2120.0,2160.0,2100.0,2150.0,2150.0,378200.0
2025-08-05,2100.0,2160.0,2100.0,2160.0,2160.0,13000.0
2025-08-06,2150.0,2190.0,2100.0,2130.0,2130.0,6500.0
2025-08-07,2090.0,2090.0,2090.0,2090.0,2090.0,1900.0
2025-08-08,2130.0,2130.0,2080.0,2110.0,2110.0,1500.0
