Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,78.0,81.0,77.0,78.0,78.0,307423500
2025-05-14,79.0,80.0,76.0,76.0,76.0,509932700
2025-05-15,77.0,77.0,72.0,72.0,72.0,308283400
2025-05-16,73.0,74.0,65.0,67.0,67.0,392239100
2025-05-19,68.0,73.0,66.0,69.0,69.0,365337100
2025-05-20,70.0,74.0,69.0,70.0,70.0,454852600
2025-05-21,70.0,72.0,67.0,67.0,67.0,115076600
2025-05-22,67.0,72.0,62.0,65.0,65.0,423953700
2025-05-23,63.0,64.0,62.0,62.0,62.0,6858700
2025-05-26,63.0,68.0,57.0,57.0,57.0,440103800
2025-05-27,57.0,60.0,55.0,57.0,57.0,70226600
2025-05-28,57.0,58.0,54.0,54.0,54.0,300820700
2025-06-02,54.0,55.0,52.0,53.0,53.0,8381500
2025-06-03,53.0,56.0,52.0,54.0,54.0,12994000
2025-06-04,54.0,57.0,54.0,55.0,55.0,14154400
2025-06-05,55.0,59.0,54.0,57.0,57.0,54368800
2025-06-10,57.0,58.0,56.0,56.0,56.0,14736800
2025-06-11,56.0,57.0,55.0,56.0,56.0,6495900
2025-06-12,56.0,57.0,55.0,56.0,56.0,20143100
2025-06-13,57.0,57.0,55.0,56.0,56.0,3268500
2025-06-16,56.0,56.0,54.0,55.0,55.0,7431200
2025-06-17,55.0,59.0,54.0,57.0,57.0,45167500
2025-06-18,57.0,57.0,55.0,56.0,56.0,7794200
2025-06-19,56.0,57.0,54.0,54.0,54.0,18971900
2025-06-20,55.0,56.0,54.0,54.0,54.0,8601700
2025-06-23,54.0,54.0,52.0,54.0,54.0,16418600
2025-06-24,54.0,55.0,51.0,52.0,52.0,29429500
2025-06-25,52.0,53.0,51.0,51.0,51.0,12327600
2025-06-26,52.0,55.0,51.0,54.0,54.0,43105200
2025-06-30,54.0,56.0,53.0,55.0,55.0,6705900
2025-07-01,55.0,55.0,53.0,55.0,55.0,7175000
2025-07-02,54.0,55.0,53.0,54.0,54.0,35160100
2025-07-03,54.0,56.0,53.0,55.0,55.0,29618900
2025-07-04,55.0,55.0,54.0,54.0,54.0,25109800
2025-07-07,55.0,55.0,53.0,54.0,54.0,38561100
2025-07-08,54.0,55.0,53.0,55.0,55.0,38353700
2025-07-09,55.0,57.0,54.0,57.0,57.0,57273300
2025-07-10,57.0,63.0,57.0,60.0,60.0,53298100
2025-07-11,59.0,61.0,57.0,58.0,58.0,28500500
2025-07-14,59.0,59.0,55.0,56.0,56.0,31334000
2025-07-15,57.0,57.0,55.0,56.0,56.0,14659400
2025-07-16,56.0,57.0,55.0,56.0,56.0,42728000
2025-07-17,56.0,56.0,55.0,55.0,55.0,11090900
2025-07-18,55.0,56.0,54.0,55.0,55.0,42473300
2025-07-21,55.0,56.0,54.0,56.0,56.0,30171500
2025-07-22,56.0,56.0,55.0,56.0,56.0,31646500
2025-07-23,56.0,59.0,55.0,55.0,55.0,51539900
2025-07-24,56.0,56.0,55.0,55.0,55.0,8096600
2025-07-25,55.0,56.0,54.0,55.0,55.0,29419000
2025-07-28,55.0,55.0,54.0,54.0,54.0,4283100
2025-07-29,54.0,56.0,54.0,55.0,55.0,24007300
2025-07-30,56.0,56.0,54.0,55.0,55.0,6940000
2025-07-31,55.0,55.0,54.0,55.0,55.0,12992300
2025-08-01,55.0,56.0,53.0,55.0,55.0,39141200
2025-08-04,55.0,58.0,53.0,56.0,56.0,81870900
2025-08-05,56.0,73.0,54.0,69.0,69.0,465558500
2025-08-06,69.0,69.0,61.0,62.0,62.0,189765400
2025-08-07,62.0,67.0,60.0,63.0,63.0,183347200
2025-08-08,65.0,65.0,60.0,63.0,63.0,54161900
2025-08-11,63.0,63.0,61.0,61.0,61.0,24818000
