Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,484.0,484.0,484.0,484.0,484.0,14000
2025-05-14,484.0,484.0,484.0,484.0,484.0,0
2025-05-15,484.0,484.0,484.0,484.0,484.0,8000
2025-05-16,484.0,484.0,484.0,484.0,484.0,100
2025-05-19,484.0,484.0,484.0,484.0,484.0,200
2025-05-20,484.0,484.0,484.0,484.0,484.0,1200
2025-05-21,484.0,484.0,484.0,484.0,484.0,9900
2025-05-22,484.0,484.0,484.0,484.0,484.0,8700
2025-05-23,484.0,484.0,484.0,484.0,484.0,1500
2025-05-26,484.0,484.0,484.0,484.0,484.0,16100
2025-05-27,530.0,530.0,530.0,530.0,530.0,47100
2025-05-28,530.0,530.0,530.0,530.0,530.0,3300
2025-06-02,580.0,580.0,580.0,580.0,580.0,30300
2025-06-03,615.0,620.0,615.0,620.0,620.0,28400
2025-06-04,680.0,680.0,680.0,680.0,680.0,74800
2025-06-05,745.0,745.0,745.0,745.0,745.0,110300
2025-06-10,815.0,815.0,815.0,815.0,815.0,154800
2025-06-11,870.0,870.0,735.0,735.0,735.0,101900
2025-06-12,730.0,730.0,710.0,710.0,710.0,26700
2025-06-13,695.0,695.0,640.0,640.0,640.0,24500
2025-06-16,640.0,640.0,600.0,600.0,600.0,6000
2025-06-17,595.0,595.0,580.0,580.0,580.0,2000
2025-06-18,575.0,575.0,575.0,575.0,575.0,2200
2025-06-19,575.0,575.0,575.0,575.0,575.0,0
2025-06-20,570.0,570.0,565.0,565.0,565.0,27100
2025-06-23,565.0,565.0,560.0,560.0,560.0,10200
2025-06-24,560.0,560.0,560.0,560.0,560.0,11300
2025-06-25,560.0,615.0,560.0,615.0,615.0,25500
2025-06-26,615.0,615.0,610.0,610.0,610.0,14400
2025-06-30,610.0,610.0,610.0,610.0,610.0,20000
2025-07-01,670.0,670.0,600.0,600.0,600.0,5500
2025-07-02,600.0,600.0,600.0,600.0,600.0,100
2025-07-03,600.0,600.0,600.0,600.0,600.0,0
2025-07-04,540.0,540.0,540.0,540.0,540.0,100
2025-07-07,540.0,540.0,540.0,540.0,540.0,12800
2025-07-08,515.0,515.0,515.0,515.0,515.0,22700
2025-07-09,515.0,515.0,515.0,515.0,515.0,5800
2025-07-10,515.0,515.0,515.0,515.0,515.0,9600
2025-07-11,515.0,515.0,515.0,515.0,515.0,2000
2025-07-14,515.0,515.0,515.0,515.0,515.0,500
2025-07-15,515.0,515.0,515.0,515.0,515.0,5300
2025-07-16,515.0,565.0,515.0,565.0,565.0,6300
2025-07-17,620.0,620.0,615.0,615.0,615.0,6100
2025-07-18,615.0,615.0,615.0,615.0,615.0,11900
2025-07-21,615.0,660.0,615.0,615.0,615.0,5100
2025-07-22,615.0,615.0,615.0,615.0,615.0,200
2025-07-23,615.0,615.0,615.0,615.0,615.0,0
2025-07-24,615.0,615.0,615.0,615.0,615.0,200
2025-07-25,615.0,615.0,615.0,615.0,615.0,200
2025-07-28,615.0,615.0,615.0,615.0,615.0,0
2025-07-29,615.0,615.0,615.0,615.0,615.0,0
2025-07-30,615.0,615.0,615.0,615.0,615.0,0
2025-07-31,575.0,575.0,575.0,575.0,575.0,200
2025-08-01,580.0,580.0,575.0,575.0,575.0,13200
2025-08-04,565.0,565.0,565.0,565.0,565.0,2000
2025-08-05,550.0,550.0,550.0,550.0,550.0,23800
2025-08-06,550.0,550.0,550.0,550.0,550.0,1100
2025-08-07,550.0,550.0,550.0,550.0,550.0,2000
2025-08-08,550.0,550.0,550.0,550.0,550.0,0
2025-08-11,550.0,550.0,550.0,550.0,550.0,800
