Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,6.0,6.0,5.0,5.0,5.0,83420300
2025-05-14,6.0,6.0,6.0,6.0,6.0,350059900
2025-05-15,7.0,7.0,6.0,6.0,6.0,293170800
2025-05-16,6.0,7.0,6.0,7.0,7.0,160331700
2025-05-19,7.0,7.0,6.0,6.0,6.0,117878700
2025-05-20,6.0,6.0,6.0,6.0,6.0,224414400
2025-05-21,6.0,7.0,6.0,7.0,7.0,67273600
2025-05-22,7.0,7.0,6.0,6.0,6.0,43078400
2025-05-23,7.0,7.0,6.0,7.0,7.0,42319800
2025-05-26,6.0,7.0,6.0,6.0,6.0,442063500
2025-05-27,6.0,6.0,6.0,6.0,6.0,119397600
2025-05-28,6.0,7.0,6.0,6.0,6.0,139854800
2025-06-02,6.0,6.0,6.0,6.0,6.0,49835200
2025-06-03,6.0,6.0,6.0,6.0,6.0,19782200
2025-06-04,6.0,6.0,5.0,5.0,5.0,15098700
2025-06-05,6.0,6.0,6.0,6.0,6.0,16858600
2025-06-10,6.0,6.0,5.0,6.0,6.0,26699600
2025-06-11,5.0,5.0,5.0,5.0,5.0,49830800
2025-06-12,5.0,6.0,5.0,6.0,6.0,35322300
2025-06-13,6.0,6.0,5.0,5.0,5.0,28966600
2025-06-16,5.0,6.0,5.0,6.0,6.0,43288900
2025-06-17,6.0,6.0,5.0,5.0,5.0,34959700
2025-06-18,6.0,6.0,5.0,6.0,6.0,26984200
2025-06-19,6.0,6.0,5.0,5.0,5.0,181180600
2025-06-20,5.0,6.0,5.0,5.0,5.0,18704100
2025-06-23,5.0,6.0,5.0,5.0,5.0,33567000
2025-06-24,5.0,5.0,5.0,5.0,5.0,24285600
2025-06-25,5.0,5.0,5.0,5.0,5.0,46166300
2025-06-26,5.0,5.0,5.0,5.0,5.0,37380100
2025-06-30,5.0,5.0,5.0,5.0,5.0,21151800
2025-07-01,5.0,5.0,5.0,5.0,5.0,24555000
2025-07-02,5.0,6.0,5.0,5.0,5.0,36657800
2025-07-03,5.0,5.0,5.0,5.0,5.0,41445500
2025-07-04,5.0,5.0,5.0,5.0,5.0,23953300
2025-07-07,5.0,5.0,4.0,5.0,5.0,36968900
2025-07-08,5.0,5.0,4.0,5.0,5.0,43041800
2025-07-09,5.0,6.0,5.0,5.0,5.0,77809200
2025-07-10,5.0,5.0,5.0,5.0,5.0,26414400
2025-07-11,5.0,6.0,5.0,6.0,6.0,12265300
2025-07-14,6.0,6.0,5.0,6.0,6.0,20646400
2025-07-15,6.0,6.0,5.0,5.0,5.0,38019100
2025-07-16,5.0,5.0,5.0,5.0,5.0,13734300
2025-07-17,5.0,6.0,5.0,6.0,6.0,28490400
2025-07-18,6.0,6.0,5.0,5.0,5.0,44023600
2025-07-21,5.0,5.0,5.0,5.0,5.0,83817700
2025-07-22,5.0,5.0,5.0,5.0,5.0,11755600
2025-07-23,5.0,5.0,5.0,5.0,5.0,4187300
2025-07-24,5.0,5.0,5.0,5.0,5.0,34770700
2025-07-25,5.0,5.0,5.0,5.0,5.0,22471900
2025-07-28,5.0,6.0,5.0,6.0,6.0,26479100
2025-07-29,5.0,6.0,5.0,5.0,5.0,51227500
2025-07-30,5.0,5.0,5.0,5.0,5.0,24929200
2025-07-31,5.0,6.0,5.0,5.0,5.0,31682200
2025-08-01,5.0,5.0,5.0,5.0,5.0,126953500
2025-08-04,5.0,5.0,5.0,5.0,5.0,67513000
2025-08-05,5.0,5.0,5.0,5.0,5.0,72820800
2025-08-06,5.0,5.0,5.0,5.0,5.0,34024000
2025-08-07,5.0,5.0,5.0,5.0,5.0,95468500
2025-08-08,5.0,5.0,5.0,5.0,5.0,58017000
2025-08-11,5.0,5.0,5.0,5.0,5.0,44168000
