Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,151.0,151.0,145.0,146.0,146.0,15529900
2025-05-14,146.0,149.0,142.0,143.0,143.0,30310900
2025-05-15,143.0,145.0,142.0,143.0,143.0,16918500
2025-05-16,143.0,145.0,142.0,142.0,142.0,9030300
2025-05-19,142.0,143.0,139.0,143.0,143.0,19075700
2025-05-20,143.0,149.0,142.0,146.0,146.0,32673900
2025-05-21,149.0,154.0,147.0,149.0,149.0,61586100
2025-05-22,150.0,151.0,147.0,147.0,147.0,11242700
2025-05-23,147.0,148.0,146.0,147.0,147.0,2966600
2025-05-26,147.0,148.0,141.0,143.0,143.0,20784800
2025-05-27,145.0,145.0,141.0,143.0,143.0,14272200
2025-05-28,143.0,143.0,141.0,142.0,142.0,10992300
2025-06-02,142.0,143.0,137.0,138.0,138.0,18322400
2025-06-03,138.0,140.0,136.0,139.0,139.0,6381400
2025-06-04,139.0,140.0,138.0,140.0,140.0,6717000
2025-06-05,140.0,140.0,137.0,137.0,137.0,11696900
2025-06-10,137.0,140.0,137.0,138.0,138.0,8584300
2025-06-11,138.0,138.0,134.0,137.0,137.0,26501900
2025-06-12,137.0,140.0,137.0,138.0,138.0,8735800
2025-06-13,138.0,139.0,134.0,136.0,136.0,16959600
2025-06-16,136.0,136.0,131.0,133.0,133.0,14501200
2025-06-17,133.0,135.0,131.0,134.0,134.0,6252500
2025-06-18,135.0,135.0,133.0,133.0,133.0,4033400
2025-06-19,133.0,133.0,125.0,127.0,127.0,25131600
2025-06-20,126.0,130.0,123.0,127.0,127.0,14741000
2025-06-23,126.0,126.0,118.0,123.0,123.0,21835000
2025-06-24,121.0,128.0,121.0,125.0,125.0,12100800
2025-06-25,127.0,127.0,123.0,124.0,124.0,3429200
2025-06-26,124.0,126.0,123.0,125.0,125.0,6379200
2025-06-30,125.0,125.0,124.0,125.0,125.0,11594500
2025-07-01,125.0,128.0,124.0,127.0,127.0,7668600
2025-07-02,127.0,129.0,125.0,125.0,125.0,3739800
2025-07-03,126.0,127.0,125.0,126.0,126.0,4367500
2025-07-04,126.0,126.0,125.0,125.0,125.0,3541700
2025-07-07,125.0,126.0,124.0,125.0,125.0,3252400
2025-07-08,125.0,125.0,118.0,123.0,123.0,16558400
2025-07-09,123.0,126.0,118.0,126.0,126.0,18518500
2025-07-10,126.0,128.0,124.0,127.0,127.0,8019500
2025-07-11,127.0,130.0,126.0,130.0,130.0,7419200
2025-07-14,130.0,132.0,127.0,127.0,127.0,10836800
2025-07-15,128.0,131.0,125.0,131.0,131.0,14244300
2025-07-16,131.0,136.0,129.0,131.0,131.0,19514300
2025-07-17,131.0,132.0,127.0,127.0,127.0,11303100
2025-07-18,127.0,130.0,127.0,128.0,128.0,10874000
2025-07-21,128.0,131.0,127.0,129.0,129.0,10647100
2025-07-22,129.0,129.0,127.0,127.0,127.0,9301600
2025-07-23,127.0,131.0,127.0,129.0,129.0,21998600
2025-07-24,129.0,132.0,129.0,132.0,132.0,17951400
2025-07-25,132.0,135.0,130.0,130.0,130.0,13791800
2025-07-28,130.0,135.0,130.0,135.0,135.0,23693500
2025-07-29,134.0,136.0,132.0,134.0,134.0,15137300
2025-07-30,134.0,134.0,129.0,130.0,130.0,24223700
2025-07-31,130.0,130.0,124.0,126.0,126.0,23122200
2025-08-01,126.0,128.0,124.0,126.0,126.0,10673900
2025-08-04,126.0,129.0,121.0,127.0,127.0,12205300
2025-08-05,128.0,130.0,127.0,129.0,129.0,9516100
2025-08-06,130.0,131.0,128.0,130.0,130.0,6893800
2025-08-07,127.0,132.0,127.0,131.0,131.0,14205500
2025-08-08,131.0,131.0,128.0,128.0,128.0,3705800
2025-08-11,129.0,133.0,129.0,133.0,133.0,22063100
