Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,3920.0,3960.0,3890.0,3950.0,3950.0,24500
2025-05-14,4050.0,4050.0,3860.0,3950.0,3950.0,74700
2025-05-15,3950.0,3960.0,3910.0,3940.0,3940.0,17900
2025-05-16,3940.0,3970.0,3940.0,3970.0,3970.0,37900
2025-05-19,3970.0,3970.0,3900.0,3940.0,3940.0,34400
2025-05-20,3960.0,3960.0,3890.0,3900.0,3900.0,62100
2025-05-21,3910.0,3960.0,3910.0,3940.0,3940.0,11000
2025-05-22,3960.0,3960.0,3910.0,3950.0,3950.0,19400
2025-05-23,3950.0,3960.0,3940.0,3960.0,3960.0,12200
2025-05-26,3970.0,3970.0,3910.0,3950.0,3950.0,32300
2025-05-27,3950.0,3970.0,3920.0,3930.0,3930.0,27300
2025-05-28,3920.0,3970.0,3880.0,3930.0,3930.0,54700
2025-06-02,3920.0,3930.0,3890.0,3920.0,3920.0,32700
2025-06-03,3890.0,3910.0,3850.0,3900.0,3900.0,31200
2025-06-04,3870.0,3890.0,3870.0,3880.0,3880.0,19500
2025-06-05,3880.0,3910.0,3860.0,3890.0,3890.0,17100
2025-06-10,3880.0,4020.0,3880.0,3980.0,3980.0,40000
2025-06-11,3990.0,3990.0,3930.0,3990.0,3990.0,20400
2025-06-12,3980.0,4040.0,3890.0,3910.0,3910.0,47600
2025-06-13,3920.0,3960.0,3870.0,3920.0,3920.0,15800
2025-06-16,3890.0,3950.0,3870.0,3890.0,3890.0,10200
2025-06-17,3890.0,3930.0,3860.0,3920.0,3920.0,52000
2025-06-18,3920.0,4000.0,3870.0,3910.0,3910.0,35300
2025-06-19,3900.0,3930.0,3790.0,3820.0,3820.0,50300
2025-06-20,3820.0,3820.0,3710.0,3810.0,3810.0,27000
2025-06-23,3790.0,3790.0,3600.0,3720.0,3720.0,29900
2025-06-24,3720.0,3810.0,3720.0,3750.0,3750.0,7900
2025-06-25,3750.0,3770.0,3700.0,3750.0,3750.0,4200
2025-06-26,3750.0,3750.0,3700.0,3710.0,3710.0,7600
2025-06-30,3710.0,3850.0,3700.0,3760.0,3760.0,25900
2025-07-01,3780.0,3840.0,3760.0,3780.0,3780.0,23000
2025-07-02,3780.0,3820.0,3750.0,3790.0,3790.0,18000
2025-07-03,3790.0,3810.0,3750.0,3770.0,3770.0,14300
2025-07-04,3780.0,3800.0,3780.0,3800.0,3800.0,9200
2025-07-07,3800.0,3900.0,3790.0,3840.0,3840.0,11800
2025-07-08,3840.0,3930.0,3840.0,3920.0,3920.0,17400
2025-07-09,3910.0,3940.0,3900.0,3910.0,3910.0,9900
2025-07-10,3930.0,3930.0,3900.0,3900.0,3900.0,14400
2025-07-11,3870.0,3930.0,3870.0,3900.0,3900.0,11600
2025-07-14,3930.0,3940.0,3870.0,3900.0,3900.0,123700
2025-07-15,3900.0,3900.0,3810.0,3850.0,3850.0,23700
2025-07-16,3890.0,4810.0,3850.0,4810.0,4810.0,428000
2025-07-17,5100.0,5725.0,4500.0,5175.0,5175.0,2200200
2025-07-18,5175.0,5275.0,4550.0,4640.0,4640.0,793700
2025-07-21,4610.0,4970.0,4560.0,4850.0,4850.0,311700
2025-07-22,4850.0,4900.0,4610.0,4620.0,4620.0,125800
2025-07-23,4790.0,4960.0,4550.0,4640.0,4640.0,367600
2025-07-24,4670.0,4750.0,4600.0,4650.0,4650.0,125700
2025-07-25,4690.0,4750.0,4690.0,4740.0,4740.0,49300
2025-07-28,4780.0,4900.0,4710.0,4780.0,4780.0,77000
2025-07-29,4800.0,4820.0,4600.0,4640.0,4640.0,135400
2025-07-30,4640.0,4690.0,4550.0,4550.0,4550.0,80500
2025-07-31,4550.0,4600.0,4350.0,4440.0,4440.0,66300
2025-08-01,4370.0,4440.0,4360.0,4400.0,4400.0,38300
2025-08-04,4400.0,4400.0,4300.0,4390.0,4390.0,28600
2025-08-05,4390.0,4390.0,4110.0,4340.0,4340.0,47700
2025-08-06,4400.0,4510.0,4150.0,4320.0,4320.0,56500
2025-08-07,4320.0,4350.0,4260.0,4340.0,4340.0,30500
2025-08-08,4340.0,4340.0,4230.0,4230.0,4230.0,48500
2025-08-11,4230.0,4380.0,4220.0,4350.0,4350.0,48300
