Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,354.0,360.0,350.0,354.0,354.0,104200
2025-05-14,354.0,360.0,352.0,356.0,356.0,112600
2025-05-15,356.0,356.0,350.0,356.0,356.0,56200
2025-05-16,356.0,356.0,352.0,356.0,356.0,142800
2025-05-19,356.0,356.0,350.0,352.0,352.0,111700
2025-05-20,352.0,352.0,346.0,350.0,350.0,197700
2025-05-21,350.0,350.0,348.0,350.0,350.0,27800
2025-05-22,352.0,352.0,350.0,352.0,352.0,71700
2025-05-23,352.0,354.0,352.0,354.0,354.0,8400
2025-05-26,354.0,354.0,348.0,354.0,354.0,116700
2025-05-27,354.0,354.0,350.0,354.0,354.0,34200
2025-05-28,352.0,352.0,350.0,352.0,352.0,61800
2025-06-02,352.0,352.0,346.0,352.0,352.0,726900
2025-06-03,352.0,352.0,350.0,352.0,352.0,493100
2025-06-04,352.0,352.0,350.0,352.0,352.0,98900
2025-06-05,352.0,352.0,350.0,352.0,352.0,403100
2025-06-10,352.0,352.0,350.0,352.0,352.0,288100
2025-06-11,350.0,352.0,350.0,352.0,352.0,359400
2025-06-12,352.0,352.0,348.0,352.0,352.0,392900
2025-06-13,352.0,354.0,350.0,354.0,354.0,133000
2025-06-16,354.0,358.0,354.0,358.0,358.0,124300
2025-06-17,358.0,360.0,350.0,350.0,350.0,566100
2025-06-18,352.0,354.0,350.0,352.0,352.0,48700
2025-06-19,352.0,352.0,348.0,352.0,352.0,265300
2025-06-20,352.0,352.0,350.0,352.0,352.0,526600
2025-06-23,352.0,352.0,346.0,352.0,352.0,223900
2025-06-24,352.0,352.0,350.0,352.0,352.0,462200
2025-06-25,352.0,352.0,350.0,350.0,350.0,44000
2025-06-26,352.0,352.0,350.0,350.0,350.0,29200
2025-06-30,350.0,352.0,350.0,352.0,352.0,138400
2025-07-01,352.0,354.0,350.0,354.0,354.0,260400
2025-07-02,354.0,354.0,350.0,354.0,354.0,146800
2025-07-03,354.0,354.0,352.0,354.0,354.0,213800
2025-07-04,354.0,354.0,352.0,354.0,354.0,80400
2025-07-07,354.0,354.0,342.0,352.0,352.0,269300
2025-07-08,352.0,352.0,350.0,350.0,350.0,143600
2025-07-09,352.0,352.0,350.0,352.0,352.0,49300
2025-07-10,352.0,352.0,350.0,352.0,352.0,55700
2025-07-11,352.0,352.0,350.0,352.0,352.0,51800
2025-07-14,350.0,352.0,350.0,352.0,352.0,116200
2025-07-15,352.0,352.0,350.0,352.0,352.0,191800
2025-07-16,352.0,352.0,348.0,352.0,352.0,85700
2025-07-17,352.0,352.0,350.0,352.0,352.0,69200
2025-07-18,352.0,352.0,350.0,352.0,352.0,142600
2025-07-21,352.0,352.0,350.0,352.0,352.0,61900
2025-07-22,350.0,352.0,350.0,352.0,352.0,127600
2025-07-23,352.0,352.0,350.0,352.0,352.0,32700
2025-07-24,352.0,352.0,348.0,352.0,352.0,107000
2025-07-25,352.0,352.0,342.0,342.0,342.0,329200
2025-07-28,344.0,352.0,332.0,332.0,332.0,401500
2025-07-29,350.0,356.0,344.0,344.0,344.0,1047400
2025-07-30,346.0,348.0,340.0,348.0,348.0,146400
2025-07-31,348.0,350.0,346.0,348.0,348.0,96300
2025-08-01,348.0,348.0,340.0,340.0,340.0,570200
2025-08-04,346.0,348.0,330.0,330.0,330.0,352600
2025-08-05,336.0,336.0,330.0,330.0,330.0,394900
2025-08-06,336.0,336.0,322.0,322.0,322.0,446900
2025-08-07,334.0,334.0,312.0,320.0,320.0,743600
2025-08-08,320.0,330.0,320.0,320.0,320.0,331800
2025-08-11,320.0,326.0,312.0,312.0,312.0,416500
