Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,10.0,10.0,10.0,10.0,10.0,49035200
2025-05-14,10.0,10.0,10.0,10.0,10.0,39165100
2025-05-15,10.0,10.0,10.0,10.0,10.0,44976500
2025-05-16,10.0,10.0,9.0,9.0,9.0,12498600
2025-05-19,10.0,10.0,9.0,10.0,10.0,11923500
2025-05-20,9.0,10.0,9.0,9.0,9.0,51940900
2025-05-21,9.0,10.0,9.0,10.0,10.0,9455900
2025-05-22,9.0,10.0,9.0,10.0,10.0,8042100
2025-05-23,9.0,10.0,9.0,10.0,10.0,3128500
2025-05-26,10.0,10.0,10.0,10.0,10.0,19649700
2025-05-27,10.0,10.0,9.0,10.0,10.0,4835400
2025-05-28,10.0,10.0,10.0,10.0,10.0,10432000
2025-06-02,10.0,10.0,9.0,9.0,9.0,8849800
2025-06-03,9.0,10.0,9.0,10.0,10.0,5608400
2025-06-04,10.0,10.0,9.0,10.0,10.0,9723500
2025-06-05,9.0,10.0,9.0,10.0,10.0,10687000
2025-06-10,10.0,10.0,9.0,10.0,10.0,7985300
2025-06-11,10.0,11.0,10.0,10.0,10.0,45196500
2025-06-12,11.0,11.0,10.0,10.0,10.0,31488800
2025-06-13,10.0,10.0,10.0,10.0,10.0,22984600
2025-06-16,10.0,11.0,10.0,11.0,11.0,13776800
2025-06-17,11.0,11.0,10.0,10.0,10.0,47407400
2025-06-18,10.0,11.0,10.0,11.0,11.0,13597500
2025-06-19,10.0,10.0,10.0,10.0,10.0,30960600
2025-06-20,10.0,10.0,10.0,10.0,10.0,1872900
2025-06-23,10.0,10.0,9.0,10.0,10.0,2007400
2025-06-24,10.0,10.0,10.0,10.0,10.0,4784100
2025-06-25,9.0,10.0,9.0,10.0,10.0,12041500
2025-06-26,9.0,10.0,9.0,10.0,10.0,23032800
2025-06-30,10.0,10.0,9.0,10.0,10.0,3950600
2025-07-01,10.0,10.0,9.0,10.0,10.0,894100
2025-07-02,9.0,10.0,9.0,10.0,10.0,2148300
2025-07-03,10.0,10.0,9.0,10.0,10.0,10981100
2025-07-04,9.0,10.0,9.0,9.0,9.0,23296300
2025-07-07,9.0,10.0,9.0,10.0,10.0,18435900
2025-07-08,10.0,10.0,10.0,10.0,10.0,118051300
2025-07-09,10.0,11.0,10.0,11.0,11.0,20134500
2025-07-10,11.0,11.0,10.0,10.0,10.0,81223500
2025-07-11,10.0,10.0,10.0,10.0,10.0,4219800
2025-07-14,10.0,10.0,10.0,10.0,10.0,17008000
2025-07-15,10.0,11.0,10.0,10.0,10.0,39769600
2025-07-16,10.0,10.0,10.0,10.0,10.0,61364500
2025-07-17,10.0,10.0,10.0,10.0,10.0,48875000
2025-07-18,10.0,11.0,10.0,11.0,11.0,17347000
2025-07-21,11.0,11.0,10.0,10.0,10.0,6386000
2025-07-22,10.0,11.0,10.0,11.0,11.0,86659700
2025-07-23,10.0,11.0,10.0,10.0,10.0,4018400
2025-07-24,10.0,11.0,10.0,11.0,11.0,7593000
2025-07-25,10.0,11.0,10.0,11.0,11.0,5360000
2025-07-28,11.0,11.0,10.0,11.0,11.0,6324000
2025-07-29,10.0,10.0,10.0,10.0,10.0,12893000
2025-07-30,10.0,11.0,10.0,10.0,10.0,11939600
2025-07-31,10.0,10.0,10.0,10.0,10.0,12277700
2025-08-01,10.0,10.0,10.0,10.0,10.0,18231800
2025-08-04,10.0,10.0,10.0,10.0,10.0,14774200
2025-08-05,10.0,10.0,10.0,10.0,10.0,11061900
2025-08-06,10.0,11.0,10.0,11.0,11.0,8167700
2025-08-07,11.0,11.0,10.0,10.0,10.0,46447000
2025-08-08,11.0,11.0,11.0,11.0,11.0,40996200
2025-08-11,11.0,11.0,11.0,11.0,11.0,32268200
