Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,10.0,10.0,10.0,10.0,10.0,546100
2025-05-14,9.0,10.0,9.0,10.0,10.0,1806200
2025-05-15,10.0,10.0,10.0,10.0,10.0,1537000
2025-05-16,10.0,10.0,10.0,10.0,10.0,741900
2025-05-19,11.0,11.0,11.0,11.0,11.0,3582100
2025-05-20,12.0,12.0,12.0,12.0,12.0,6556800
2025-05-21,12.0,12.0,12.0,12.0,12.0,3495400
2025-05-22,12.0,13.0,12.0,12.0,12.0,5140600
2025-05-23,12.0,12.0,12.0,12.0,12.0,4087400
2025-05-26,11.0,12.0,11.0,12.0,12.0,437900
2025-05-27,12.0,12.0,11.0,11.0,11.0,2871300
2025-05-28,11.0,12.0,11.0,12.0,12.0,796800
2025-06-02,11.0,11.0,11.0,11.0,11.0,1205800
2025-06-03,11.0,11.0,10.0,10.0,10.0,1312400
2025-06-04,10.0,11.0,10.0,11.0,11.0,843100
2025-06-05,11.0,11.0,10.0,10.0,10.0,532900
2025-06-10,10.0,11.0,10.0,11.0,11.0,1453600
2025-06-11,11.0,12.0,10.0,12.0,12.0,3265300
2025-06-12,12.0,12.0,12.0,12.0,12.0,222700
2025-06-13,11.0,12.0,11.0,12.0,12.0,3497600
2025-06-16,12.0,12.0,11.0,12.0,12.0,968900
2025-06-17,12.0,12.0,11.0,12.0,12.0,227400
2025-06-18,11.0,12.0,11.0,12.0,12.0,402100
2025-06-19,12.0,12.0,11.0,11.0,11.0,1345200
2025-06-20,11.0,11.0,11.0,11.0,11.0,394400
2025-06-23,11.0,11.0,11.0,11.0,11.0,143900
2025-06-24,11.0,12.0,11.0,12.0,12.0,5378000
2025-06-25,12.0,12.0,11.0,12.0,12.0,629400
2025-06-26,12.0,12.0,12.0,12.0,12.0,838000
2025-06-30,12.0,13.0,11.0,13.0,13.0,3986200
2025-07-01,13.0,13.0,13.0,13.0,13.0,2570200
2025-07-02,13.0,13.0,13.0,13.0,13.0,1859900
2025-07-03,13.0,13.0,12.0,12.0,12.0,3330900
2025-07-04,12.0,12.0,12.0,12.0,12.0,752000
2025-07-07,12.0,12.0,12.0,12.0,12.0,607600
2025-07-08,12.0,12.0,12.0,12.0,12.0,291600
2025-07-09,12.0,12.0,11.0,12.0,12.0,797900
2025-07-10,12.0,13.0,12.0,12.0,12.0,271500
2025-07-11,12.0,12.0,12.0,12.0,12.0,169900
2025-07-14,12.0,12.0,12.0,12.0,12.0,793100
2025-07-15,12.0,12.0,11.0,12.0,12.0,523300
2025-07-16,12.0,12.0,12.0,12.0,12.0,1020400
2025-07-17,12.0,12.0,12.0,12.0,12.0,82300
2025-07-18,11.0,12.0,11.0,12.0,12.0,2869900
2025-07-21,12.0,12.0,12.0,12.0,12.0,3093600
2025-07-22,12.0,12.0,11.0,12.0,12.0,799700
2025-07-23,11.0,12.0,11.0,12.0,12.0,1223000
2025-07-24,12.0,12.0,11.0,12.0,12.0,1455100
2025-07-25,12.0,12.0,11.0,12.0,12.0,232600
2025-07-28,12.0,12.0,11.0,12.0,12.0,1225100
2025-07-29,12.0,12.0,12.0,12.0,12.0,9092800
2025-07-30,12.0,12.0,12.0,12.0,12.0,1052900
2025-07-31,12.0,13.0,12.0,13.0,13.0,1967700
2025-08-01,13.0,13.0,12.0,12.0,12.0,3795400
2025-08-04,12.0,13.0,12.0,13.0,13.0,2908600
2025-08-05,13.0,14.0,13.0,14.0,14.0,1811500
2025-08-06,14.0,14.0,13.0,13.0,13.0,3870300
2025-08-07,13.0,13.0,13.0,13.0,13.0,2556700
2025-08-08,13.0,14.0,13.0,14.0,14.0,1184400
2025-08-11,14.0,15.0,14.0,15.0,15.0,2106300
