Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,96.0,96.0,96.0,96.0,96.0,0
2025-05-14,96.0,96.0,96.0,96.0,96.0,800
2025-05-15,96.0,96.0,96.0,96.0,96.0,100
2025-05-16,96.0,96.0,96.0,96.0,96.0,0
2025-05-19,96.0,96.0,96.0,96.0,96.0,0
2025-05-20,96.0,96.0,96.0,96.0,96.0,3000
2025-05-21,96.0,96.0,96.0,96.0,96.0,0
2025-05-22,87.0,96.0,87.0,96.0,96.0,700
2025-05-23,96.0,96.0,96.0,96.0,96.0,200
2025-05-26,96.0,96.0,96.0,96.0,96.0,0
2025-05-27,96.0,96.0,96.0,96.0,96.0,0
2025-05-28,96.0,96.0,96.0,96.0,96.0,0
2025-06-02,96.0,96.0,96.0,96.0,96.0,30000
2025-06-03,96.0,96.0,96.0,96.0,96.0,22800
2025-06-04,96.0,96.0,96.0,96.0,96.0,0
2025-06-05,96.0,96.0,96.0,96.0,96.0,0
2025-06-10,95.0,95.0,95.0,95.0,95.0,1100
2025-06-11,95.0,95.0,95.0,95.0,95.0,0
2025-06-12,94.0,94.0,94.0,94.0,94.0,300
2025-06-13,94.0,94.0,94.0,94.0,94.0,1100
2025-06-16,94.0,94.0,94.0,94.0,94.0,0
2025-06-17,94.0,94.0,94.0,94.0,94.0,0
2025-06-18,93.0,93.0,92.0,92.0,92.0,900
2025-06-19,92.0,92.0,92.0,92.0,92.0,100
2025-06-20,92.0,92.0,92.0,92.0,92.0,0
2025-06-23,92.0,92.0,92.0,92.0,92.0,100
2025-06-24,92.0,92.0,92.0,92.0,92.0,0
2025-06-25,92.0,92.0,92.0,92.0,92.0,0
2025-06-26,92.0,92.0,92.0,92.0,92.0,0
2025-06-30,92.0,92.0,92.0,92.0,92.0,0
2025-07-01,92.0,92.0,92.0,92.0,92.0,0
2025-07-02,92.0,92.0,92.0,92.0,92.0,0
2025-07-03,92.0,92.0,92.0,92.0,92.0,5400
2025-07-04,92.0,92.0,92.0,92.0,92.0,0
2025-07-07,92.0,92.0,92.0,92.0,92.0,0
2025-07-08,91.0,91.0,83.0,90.0,90.0,600
2025-07-09,90.0,90.0,90.0,90.0,90.0,15000
2025-07-10,90.0,90.0,90.0,90.0,90.0,300
2025-07-11,90.0,90.0,90.0,90.0,90.0,100
2025-07-14,81.0,82.0,81.0,81.0,81.0,6200
2025-07-15,73.0,73.0,73.0,73.0,73.0,27400
2025-07-16,66.0,67.0,66.0,67.0,67.0,34500
2025-07-17,63.0,63.0,61.0,61.0,61.0,68300
2025-07-18,61.0,61.0,55.0,61.0,61.0,34100
2025-07-21,55.0,56.0,55.0,55.0,55.0,48600
2025-07-22,54.0,60.0,53.0,60.0,60.0,102200
2025-07-23,60.0,66.0,60.0,66.0,66.0,118500
2025-07-24,72.0,72.0,72.0,72.0,72.0,132500
2025-07-25,79.0,79.0,79.0,79.0,79.0,24200
2025-07-28,86.0,86.0,86.0,86.0,86.0,26900
2025-07-29,94.0,94.0,94.0,94.0,94.0,38200
2025-07-30,103.0,103.0,103.0,103.0,103.0,215200
2025-07-31,113.0,113.0,112.0,113.0,113.0,826700
2025-08-01,113.0,113.0,113.0,113.0,113.0,5400
2025-08-04,113.0,113.0,102.0,102.0,102.0,20100
2025-08-05,92.0,92.0,92.0,92.0,92.0,4000
2025-08-06,83.0,83.0,83.0,83.0,83.0,21500
2025-08-07,75.0,76.0,75.0,76.0,76.0,55300
2025-08-08,69.0,76.0,69.0,76.0,76.0,221500
2025-08-11,76.0,76.0,76.0,76.0,76.0,63200
