Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,55.0,56.0,51.0,53.0,51.980770111083984,3192800
2025-05-14,53.0,58.0,52.0,57.0,55.903846740722656,3515700
2025-05-15,56.0,58.0,54.0,55.0,53.94230651855469,2204300
2025-05-16,53.0,55.0,53.0,54.0,52.9615364074707,3417000
2025-05-19,54.0,57.0,53.0,57.0,55.903846740722656,2460100
2025-05-20,54.0,59.0,53.0,55.0,53.94230651855469,2915200
2025-05-21,54.0,58.0,53.0,56.0,54.92307662963867,3399100
2025-05-22,56.0,60.0,54.0,56.0,54.92307662963867,3825900
2025-05-23,53.0,55.0,52.0,53.0,51.980770111083984,1283300
2025-05-26,52.0,54.0,51.0,53.0,51.980770111083984,3022900
2025-05-27,53.0,56.0,52.0,53.0,51.980770111083984,2784100
2025-05-28,53.0,55.0,52.0,53.0,51.980770111083984,1622400
2025-06-02,54.0,55.0,52.0,53.0,51.980770111083984,1675700
2025-06-03,53.0,54.0,52.0,52.0,51.0,2239400
2025-06-04,52.0,54.0,50.0,53.0,53.0,2094400
2025-06-05,51.0,53.0,50.0,53.0,53.0,315900
2025-06-10,53.0,54.0,50.0,51.0,51.0,2218100
2025-06-11,51.0,52.0,50.0,50.0,50.0,1310600
2025-06-12,51.0,51.0,49.0,49.0,49.0,1088200
2025-06-13,49.0,51.0,49.0,51.0,51.0,367000
2025-06-16,51.0,51.0,48.0,50.0,50.0,1304300
2025-06-17,50.0,50.0,48.0,49.0,49.0,1179700
2025-06-18,50.0,50.0,47.0,48.0,48.0,2705100
2025-06-19,48.0,49.0,46.0,46.0,46.0,2425100
2025-06-20,47.0,50.0,47.0,50.0,50.0,2618100
2025-06-23,55.0,55.0,51.0,55.0,55.0,11633300
2025-06-24,55.0,60.0,52.0,54.0,54.0,5940400
2025-06-25,52.0,56.0,52.0,53.0,53.0,3492000
2025-06-26,52.0,53.0,49.0,50.0,50.0,2491700
2025-06-30,52.0,52.0,48.0,50.0,50.0,2684300
2025-07-01,50.0,50.0,48.0,50.0,50.0,3230600
2025-07-02,50.0,51.0,49.0,50.0,50.0,1347600
2025-07-03,51.0,51.0,49.0,50.0,50.0,159000
2025-07-04,50.0,55.0,50.0,53.0,53.0,17992400
2025-07-07,53.0,53.0,49.0,51.0,51.0,7101300
2025-07-08,51.0,51.0,50.0,51.0,51.0,1662800
2025-07-09,50.0,50.0,48.0,49.0,49.0,3919000
2025-07-10,48.0,50.0,48.0,49.0,49.0,2466700
2025-07-11,49.0,49.0,48.0,49.0,49.0,955500
2025-07-14,49.0,50.0,48.0,49.0,49.0,659700
2025-07-15,49.0,50.0,48.0,50.0,50.0,2257800
2025-07-16,49.0,54.0,48.0,50.0,50.0,10819400
2025-07-17,49.0,50.0,49.0,50.0,50.0,264300
2025-07-18,50.0,50.0,48.0,50.0,50.0,2935000
2025-07-21,50.0,51.0,48.0,48.0,48.0,1472200
2025-07-22,49.0,49.0,47.0,47.0,47.0,2452800
2025-07-23,47.0,49.0,47.0,48.0,48.0,1179600
2025-07-24,48.0,48.0,47.0,47.0,47.0,1684700
2025-07-25,47.0,48.0,47.0,47.0,47.0,283700
2025-07-28,47.0,48.0,47.0,48.0,48.0,1444300
2025-07-29,47.0,48.0,46.0,47.0,47.0,1312200
2025-07-30,47.0,48.0,46.0,47.0,47.0,1682600
2025-07-31,46.0,47.0,46.0,46.0,46.0,2982000
2025-08-01,46.0,47.0,46.0,46.0,46.0,728200
2025-08-04,47.0,47.0,46.0,46.0,46.0,441300
2025-08-05,46.0,47.0,45.0,46.0,46.0,6221300
2025-08-06,46.0,47.0,45.0,46.0,46.0,2358700
2025-08-07,47.0,47.0,46.0,46.0,46.0,345000
2025-08-08,46.0,48.0,46.0,48.0,48.0,1485800
2025-08-11,48.0,48.0,46.0,47.0,47.0,741100
