Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,195.0,196.0,193.0,194.0,194.0,8002100
2025-05-14,195.0,195.0,192.0,194.0,194.0,3802300
2025-05-15,194.0,196.0,193.0,195.0,195.0,8399700
2025-05-16,195.0,196.0,193.0,196.0,196.0,9028500
2025-05-19,196.0,197.0,194.0,197.0,197.0,7038300
2025-05-20,197.0,200.0,197.0,198.0,198.0,20945000
2025-05-21,198.0,202.0,197.0,199.0,199.0,8400500
2025-05-22,200.0,200.0,197.0,198.0,198.0,16431700
2025-05-23,200.0,200.0,197.0,199.0,199.0,5565700
2025-05-26,199.0,199.0,195.0,195.0,195.0,13422400
2025-05-27,196.0,196.0,195.0,196.0,196.0,10421600
2025-05-28,196.0,197.0,195.0,195.0,195.0,12217000
2025-06-02,195.0,196.0,193.0,194.0,194.0,10454400
2025-06-03,194.0,195.0,193.0,195.0,195.0,9327400
2025-06-04,195.0,195.0,193.0,195.0,195.0,2988800
2025-06-05,195.0,195.0,193.0,194.0,194.0,4034600
2025-06-10,194.0,195.0,193.0,194.0,194.0,5024100
2025-06-11,193.0,194.0,191.0,194.0,194.0,6610400
2025-06-12,194.0,197.0,192.0,196.0,196.0,17771500
2025-06-13,196.0,199.0,195.0,196.0,196.0,16050700
2025-06-16,196.0,202.0,196.0,199.0,199.0,16342700
2025-06-17,202.0,204.0,198.0,200.0,200.0,10172800
2025-06-18,200.0,202.0,197.0,197.0,197.0,10856600
2025-06-19,197.0,198.0,194.0,194.0,194.0,10477700
2025-06-20,194.0,195.0,192.0,194.0,194.0,7860200
2025-06-23,193.0,194.0,191.0,193.0,193.0,11613300
2025-06-24,194.0,195.0,192.0,192.0,192.0,7289300
2025-06-25,193.0,195.0,186.0,189.0,189.0,13603300
2025-06-26,188.0,189.0,185.0,188.0,188.0,9448000
2025-06-30,188.0,190.0,187.0,187.0,187.0,5998200
2025-07-01,187.0,188.0,186.0,187.0,187.0,6537300
2025-07-02,187.0,188.0,185.0,186.0,186.0,5733400
2025-07-03,186.0,189.0,186.0,186.0,186.0,7245400
2025-07-04,187.0,188.0,186.0,188.0,188.0,5185500
2025-07-07,188.0,188.0,186.0,186.0,186.0,510600
2025-07-08,186.0,188.0,185.0,186.0,186.0,748200
2025-07-09,186.0,188.0,184.0,187.0,187.0,706800
2025-07-10,187.0,189.0,186.0,189.0,189.0,1452700
2025-07-11,189.0,192.0,189.0,192.0,192.0,747800
2025-07-14,192.0,192.0,189.0,189.0,189.0,1022000
2025-07-15,190.0,191.0,188.0,188.0,188.0,714500
2025-07-16,188.0,190.0,188.0,190.0,190.0,308200
2025-07-17,190.0,191.0,189.0,190.0,190.0,571100
2025-07-18,191.0,193.0,190.0,192.0,192.0,861700
2025-07-21,193.0,193.0,190.0,192.0,192.0,1102800
2025-07-22,191.0,194.0,190.0,190.0,190.0,1817000
2025-07-23,190.0,193.0,190.0,192.0,192.0,1001900
2025-07-24,192.0,192.0,191.0,192.0,192.0,380200
2025-07-25,192.0,192.0,190.0,191.0,191.0,491300
2025-07-28,191.0,192.0,190.0,191.0,191.0,446600
2025-07-29,192.0,192.0,187.0,188.0,188.0,2694400
2025-07-30,188.0,189.0,188.0,189.0,189.0,1054500
2025-07-31,189.0,189.0,186.0,187.0,187.0,1591400
2025-08-01,186.0,188.0,185.0,187.0,187.0,745200
2025-08-04,187.0,190.0,186.0,187.0,187.0,2090500
2025-08-05,189.0,190.0,187.0,190.0,190.0,858400
2025-08-06,190.0,190.0,188.0,189.0,189.0,1086400
2025-08-07,189.0,190.0,186.0,188.0,188.0,1896500
2025-08-08,188.0,188.0,185.0,187.0,187.0,829700
2025-08-11,187.0,190.0,187.0,189.0,189.0,560200
