Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,184.0,190.0,181.0,181.0,176.31088256835938,105300
2025-05-14,181.0,181.0,170.0,178.0,173.3885955810547,38600
2025-05-15,178.0,178.0,173.0,176.0,171.44041442871094,30600
2025-05-16,176.0,178.0,170.0,174.0,169.4922332763672,54800
2025-05-19,173.0,206.0,167.0,206.0,200.6632080078125,3455100
2025-05-20,206.0,208.0,180.0,180.0,175.3367919921875,1630300
2025-05-21,185.0,191.0,177.0,184.0,179.233154296875,761900
2025-05-22,185.0,188.0,181.0,186.0,181.1813507080078,92200
2025-05-23,186.0,186.0,182.0,186.0,181.1813507080078,77100
2025-05-26,186.0,186.0,168.0,182.0,177.28497314453125,210300
2025-05-27,182.0,182.0,172.0,180.0,175.3367919921875,281400
2025-05-28,179.0,185.0,176.0,180.0,175.3367919921875,56500
2025-06-02,191.0,222.0,187.0,192.0,187.02590942382812,5229100
2025-06-03,187.0,199.0,185.0,196.0,190.92227172851562,724400
2025-06-04,196.0,206.0,189.0,190.0,185.0777130126953,758400
2025-06-05,189.0,200.0,187.0,190.0,185.0777130126953,174700
2025-06-10,188.0,197.0,188.0,191.0,186.05181884765625,74400
2025-06-11,188.0,197.0,186.0,191.0,186.05181884765625,117200
2025-06-12,189.0,196.0,188.0,194.0,188.97409057617188,180400
2025-06-13,192.0,193.0,186.0,190.0,185.0777130126953,211800
2025-06-16,194.0,194.0,183.0,188.0,183.12953186035156,122600
2025-06-17,188.0,192.0,185.0,189.0,184.10362243652344,179900
2025-06-18,186.0,189.0,185.0,186.0,181.1813507080078,40300
2025-06-19,182.0,189.0,182.0,182.0,177.28497314453125,81500
2025-06-20,187.0,188.0,182.0,188.0,183.12953186035156,29600
2025-06-23,182.0,188.0,182.0,185.0,180.20726013183594,1100
2025-06-24,184.0,189.0,184.0,184.0,179.233154296875,64200
2025-06-25,184.0,189.0,184.0,185.0,180.20726013183594,13600
2025-06-26,185.0,195.0,185.0,190.0,185.0777130126953,214200
2025-06-30,190.0,198.0,182.0,192.0,187.02590942382812,277200
2025-07-01,192.0,198.0,188.0,195.0,189.94818115234375,530800
2025-07-02,195.0,212.0,188.0,196.0,190.92227172851562,1437800
2025-07-03,196.0,208.0,192.0,193.0,188.0,1047300
2025-07-04,194.0,200.0,188.0,193.0,188.0,201600
2025-07-07,189.0,216.0,186.0,204.0,204.0,2223600
2025-07-08,206.0,206.0,193.0,197.0,197.0,114400
2025-07-09,199.0,204.0,196.0,200.0,200.0,103000
2025-07-10,196.0,216.0,196.0,206.0,206.0,826900
2025-07-11,206.0,206.0,196.0,200.0,200.0,84700
2025-07-14,204.0,208.0,193.0,199.0,199.0,202600
2025-07-15,199.0,202.0,191.0,191.0,191.0,108700
2025-07-16,195.0,204.0,195.0,200.0,200.0,117700
2025-07-17,200.0,200.0,193.0,195.0,195.0,10500
2025-07-18,195.0,216.0,194.0,206.0,206.0,273300
2025-07-21,206.0,206.0,199.0,200.0,200.0,47600
2025-07-22,199.0,202.0,186.0,199.0,199.0,40800
2025-07-23,199.0,202.0,192.0,202.0,202.0,139300
2025-07-24,204.0,204.0,197.0,204.0,204.0,20400
2025-07-25,208.0,210.0,186.0,206.0,206.0,192800
2025-07-28,206.0,218.0,206.0,214.0,214.0,1493300
2025-07-29,214.0,220.0,212.0,214.0,214.0,449800
2025-07-30,214.0,222.0,210.0,218.0,218.0,671200
2025-07-31,220.0,232.0,220.0,228.0,228.0,1159700
2025-08-01,224.0,226.0,208.0,224.0,224.0,100600
2025-08-04,224.0,232.0,206.0,220.0,220.0,872800
2025-08-05,224.0,226.0,214.0,218.0,218.0,423300
2025-08-06,218.0,220.0,210.0,216.0,216.0,171800
2025-08-07,212.0,220.0,206.0,210.0,210.0,216100
2025-08-08,210.0,214.0,208.0,214.0,214.0,257000
2025-08-11,214.0,230.0,212.0,220.0,220.0,956400
