Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,31.0,31.0,31.0,31.0,31.0,2090200
2025-05-14,34.0,34.0,28.0,28.0,28.0,7780200
2025-05-15,26.0,26.0,26.0,26.0,26.0,4901000
2025-05-16,26.0,27.0,26.0,27.0,27.0,3439600
2025-05-19,28.0,28.0,26.0,27.0,27.0,2226200
2025-05-20,27.0,28.0,27.0,28.0,28.0,79100
2025-05-21,27.0,27.0,26.0,26.0,26.0,287200
2025-05-22,26.0,27.0,26.0,27.0,27.0,497300
2025-05-23,27.0,27.0,26.0,26.0,26.0,242400
2025-05-26,25.0,27.0,25.0,27.0,27.0,325100
2025-05-27,28.0,28.0,27.0,27.0,27.0,234700
2025-05-28,27.0,27.0,26.0,26.0,26.0,104500
2025-06-02,26.0,26.0,25.0,25.0,25.0,486300
2025-06-03,25.0,27.0,25.0,26.0,26.0,270800
2025-06-04,25.0,26.0,25.0,25.0,25.0,141600
2025-06-05,25.0,25.0,25.0,25.0,25.0,62400
2025-06-10,25.0,25.0,25.0,25.0,25.0,317800
2025-06-11,25.0,25.0,24.0,24.0,24.0,90500
2025-06-12,24.0,24.0,24.0,24.0,24.0,503100
2025-06-13,24.0,24.0,24.0,24.0,24.0,10000
2025-06-16,24.0,24.0,23.0,23.0,23.0,239100
2025-06-17,23.0,23.0,23.0,23.0,23.0,210200
2025-06-18,22.0,22.0,21.0,21.0,21.0,587000
2025-06-19,21.0,21.0,21.0,21.0,21.0,289500
2025-06-20,23.0,23.0,22.0,22.0,22.0,108800
2025-06-23,22.0,22.0,22.0,22.0,22.0,213500
2025-06-24,21.0,21.0,20.0,20.0,20.0,693200
2025-06-25,20.0,21.0,20.0,21.0,21.0,305900
2025-06-26,21.0,21.0,20.0,21.0,21.0,111900
2025-06-30,21.0,22.0,21.0,22.0,22.0,36300
2025-07-01,22.0,22.0,21.0,22.0,22.0,85400
2025-07-02,22.0,22.0,21.0,22.0,22.0,58300
2025-07-03,22.0,22.0,21.0,21.0,21.0,312100
2025-07-04,21.0,21.0,20.0,20.0,20.0,273900
2025-07-07,21.0,22.0,21.0,21.0,21.0,129200
2025-07-08,22.0,23.0,22.0,23.0,23.0,693700
2025-07-09,25.0,25.0,25.0,25.0,25.0,843500
2025-07-10,25.0,25.0,24.0,25.0,25.0,17500
2025-07-11,25.0,25.0,24.0,24.0,24.0,167100
2025-07-14,24.0,24.0,24.0,24.0,24.0,132600
2025-07-15,24.0,24.0,23.0,23.0,23.0,148700
2025-07-16,23.0,24.0,23.0,23.0,23.0,150100
2025-07-17,23.0,24.0,23.0,24.0,24.0,224000
2025-07-18,24.0,24.0,24.0,24.0,24.0,288200
2025-07-21,24.0,24.0,23.0,23.0,23.0,619500
2025-07-22,23.0,23.0,23.0,23.0,23.0,490900
2025-07-23,23.0,23.0,21.0,23.0,23.0,624700
2025-07-24,23.0,23.0,23.0,23.0,23.0,62800
2025-07-25,23.0,23.0,23.0,23.0,23.0,16200
2025-07-28,23.0,23.0,23.0,23.0,23.0,34600
2025-07-29,23.0,23.0,23.0,23.0,23.0,750200
2025-07-30,23.0,23.0,23.0,23.0,23.0,108000
2025-07-31,23.0,24.0,23.0,24.0,24.0,570000
2025-08-01,24.0,24.0,24.0,24.0,24.0,356700
2025-08-04,23.0,25.0,23.0,25.0,25.0,638600
2025-08-05,26.0,27.0,26.0,27.0,27.0,1289600
2025-08-06,29.0,29.0,29.0,29.0,29.0,876800
2025-08-07,30.0,31.0,30.0,31.0,31.0,1570300
2025-08-08,31.0,31.0,31.0,31.0,31.0,399700
2025-08-11,30.0,30.0,28.0,28.0,28.0,532100
