Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,104.0,105.0,103.0,103.0,103.0,121800
2025-05-14,103.0,104.0,102.0,104.0,104.0,132800
2025-05-15,104.0,104.0,100.0,102.0,102.0,569100
2025-05-16,101.0,104.0,101.0,104.0,104.0,91400
2025-05-19,102.0,105.0,102.0,104.0,104.0,188300
2025-05-20,104.0,104.0,102.0,103.0,103.0,177500
2025-05-21,103.0,105.0,102.0,105.0,105.0,159400
2025-05-22,105.0,106.0,103.0,106.0,106.0,332100
2025-05-23,108.0,110.0,107.0,108.0,108.0,413300
2025-05-26,108.0,109.0,106.0,106.0,106.0,424500
2025-05-27,107.0,107.0,105.0,105.0,105.0,171700
2025-05-28,106.0,108.0,105.0,106.0,106.0,462900
2025-06-02,106.0,119.0,105.0,108.0,108.0,4441400
2025-06-03,108.0,108.0,104.0,105.0,105.0,860500
2025-06-04,105.0,106.0,102.0,106.0,106.0,367200
2025-06-05,106.0,106.0,104.0,106.0,106.0,247700
2025-06-10,106.0,107.0,104.0,104.0,104.0,299300
2025-06-11,105.0,120.0,104.0,119.0,119.0,4331600
2025-06-12,106.0,110.0,106.0,108.0,108.0,3952500
2025-06-13,109.0,114.0,108.0,110.0,110.0,2043400
2025-06-16,110.0,112.0,108.0,109.0,109.0,1083700
2025-06-17,109.0,112.0,109.0,109.0,109.0,412400
2025-06-18,109.0,117.0,108.0,113.0,113.0,3353000
2025-06-19,113.0,115.0,108.0,109.0,109.0,1139900
2025-06-20,110.0,112.0,109.0,111.0,111.0,361200
2025-06-23,126.0,139.0,108.0,123.0,123.0,30469900
2025-06-24,123.0,136.0,116.0,126.0,126.0,12349400
2025-06-25,126.0,135.0,123.0,135.0,135.0,13450400
2025-06-26,122.0,160.0,121.0,153.0,153.0,17637600
2025-06-30,171.0,175.0,131.0,134.0,134.0,37128900
2025-07-01,136.0,165.0,132.0,145.0,145.0,48351500
2025-07-02,140.0,154.0,137.0,149.0,149.0,10989300
2025-07-03,146.0,178.0,142.0,178.0,178.0,52715600
2025-07-04,182.0,191.0,152.0,152.0,152.0,37307300
2025-07-07,154.0,158.0,130.0,130.0,130.0,27293000
2025-07-08,130.0,140.0,124.0,128.0,128.0,9865100
2025-07-09,127.0,149.0,126.0,145.0,145.0,18359100
2025-07-10,146.0,160.0,124.0,129.0,129.0,36258500
2025-07-11,130.0,131.0,126.0,126.0,126.0,2891200
2025-07-14,127.0,129.0,123.0,128.0,128.0,2239600
2025-07-15,129.0,129.0,121.0,122.0,122.0,2667100
2025-07-16,122.0,125.0,121.0,123.0,123.0,1560100
2025-07-17,123.0,126.0,122.0,124.0,124.0,1754800
2025-07-18,125.0,126.0,122.0,122.0,122.0,1998100
2025-07-21,122.0,124.0,120.0,121.0,121.0,873800
2025-07-22,122.0,130.0,121.0,130.0,130.0,5040800
2025-07-23,127.0,129.0,125.0,125.0,125.0,2222100
2025-07-24,125.0,128.0,124.0,126.0,126.0,891500
2025-07-25,125.0,131.0,125.0,129.0,129.0,1838700
2025-07-28,128.0,128.0,125.0,126.0,126.0,835400
2025-07-29,125.0,130.0,124.0,127.0,127.0,1169600
2025-07-30,127.0,130.0,126.0,127.0,127.0,425400
2025-07-31,127.0,133.0,126.0,129.0,129.0,2739700
2025-08-01,130.0,130.0,125.0,127.0,127.0,1122500
2025-08-04,127.0,128.0,123.0,125.0,125.0,1009300
2025-08-05,126.0,126.0,123.0,124.0,124.0,648500
2025-08-06,124.0,126.0,124.0,125.0,125.0,486900
2025-08-07,125.0,126.0,124.0,126.0,126.0,228700
2025-08-08,126.0,127.0,124.0,126.0,126.0,339800
2025-08-11,126.0,126.0,124.0,125.0,125.0,261500
