Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,120.0,120.0,117.0,120.0,120.0,189400
2025-05-14,120.0,120.0,120.0,120.0,120.0,47300
2025-05-15,120.0,121.0,119.0,121.0,121.0,8400
2025-05-16,120.0,123.0,119.0,123.0,123.0,185900
2025-05-19,122.0,123.0,120.0,120.0,120.0,91400
2025-05-20,120.0,123.0,118.0,123.0,123.0,800
2025-05-21,123.0,123.0,120.0,120.0,120.0,23200
2025-05-22,117.0,123.0,117.0,120.0,120.0,83500
2025-05-23,120.0,120.0,119.0,119.0,119.0,38900
2025-05-26,119.0,122.0,119.0,120.0,120.0,6300
2025-05-27,120.0,120.0,120.0,120.0,120.0,111100
2025-05-28,118.0,135.0,118.0,119.0,119.0,1004900
2025-06-02,123.0,123.0,117.0,122.0,122.0,41300
2025-06-03,122.0,126.0,121.0,125.0,125.0,356000
2025-06-04,125.0,129.0,120.0,124.0,124.0,368000
2025-06-05,124.0,126.0,124.0,126.0,126.0,458700
2025-06-10,121.0,127.0,121.0,127.0,127.0,365300
2025-06-11,125.0,129.0,125.0,127.0,127.0,465100
2025-06-12,125.0,128.0,122.0,125.0,125.0,543700
2025-06-13,127.0,129.0,125.0,126.0,126.0,283300
2025-06-16,125.0,128.0,122.0,127.0,127.0,13700
2025-06-17,128.0,130.0,118.0,126.0,126.0,241600
2025-06-18,122.0,135.0,118.0,128.0,128.0,399700
2025-06-19,128.0,128.0,122.0,123.0,123.0,136300
2025-06-20,124.0,130.0,122.0,122.0,122.0,132800
2025-06-23,122.0,128.0,121.0,122.0,122.0,82600
2025-06-24,128.0,128.0,123.0,125.0,125.0,6600
2025-06-25,130.0,130.0,121.0,125.0,125.0,20300
2025-06-26,125.0,125.0,120.0,124.0,124.0,57100
2025-06-30,124.0,125.0,120.0,125.0,125.0,238200
2025-07-01,124.0,125.0,120.0,120.0,120.0,32800
2025-07-02,122.0,128.0,120.0,126.0,126.0,59000
2025-07-03,125.0,126.0,120.0,126.0,126.0,22100
2025-07-04,126.0,126.0,126.0,126.0,126.0,100
2025-07-07,126.0,127.0,121.0,121.0,121.0,213700
2025-07-08,125.0,125.0,123.0,124.0,124.0,1200
2025-07-09,121.0,125.0,121.0,123.0,123.0,101600
2025-07-10,123.0,123.0,122.0,123.0,123.0,2200
2025-07-11,121.0,121.0,120.0,120.0,120.0,83100
2025-07-14,125.0,125.0,120.0,123.0,123.0,50700
2025-07-15,120.0,121.0,119.0,121.0,121.0,45100
2025-07-16,120.0,124.0,120.0,123.0,123.0,1300
2025-07-17,119.0,124.0,118.0,123.0,123.0,17800
2025-07-18,123.0,123.0,120.0,123.0,123.0,1600
2025-07-21,122.0,122.0,122.0,122.0,122.0,300
2025-07-22,120.0,120.0,120.0,120.0,120.0,55900
2025-07-23,120.0,123.0,118.0,123.0,123.0,31500
2025-07-24,123.0,123.0,120.0,123.0,123.0,700
2025-07-25,123.0,123.0,123.0,123.0,123.0,2200
2025-07-28,117.0,124.0,117.0,123.0,123.0,1800
2025-07-29,123.0,123.0,120.0,122.0,122.0,1200
2025-07-30,122.0,123.0,122.0,123.0,123.0,1500
2025-07-31,125.0,125.0,120.0,123.0,123.0,2300
2025-08-01,125.0,125.0,122.0,122.0,122.0,3300
2025-08-04,121.0,124.0,120.0,124.0,124.0,3800
2025-08-05,124.0,124.0,120.0,120.0,120.0,3000
2025-08-06,122.0,129.0,108.0,119.0,119.0,543700
2025-08-07,119.0,124.0,118.0,119.0,119.0,236500
2025-08-08,119.0,123.0,119.0,121.0,121.0,64400
2025-08-11,121.0,121.0,119.0,121.0,121.0,5100
