Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,149.0,150.0,145.0,149.0,149.0,32826700
2025-05-14,150.0,155.0,147.0,154.0,154.0,11841200
2025-05-15,155.0,159.0,152.0,152.0,152.0,7429200
2025-05-16,152.0,155.0,141.0,153.0,153.0,27721300
2025-05-19,153.0,154.0,147.0,154.0,154.0,6793000
2025-05-20,153.0,157.0,152.0,155.0,155.0,7580600
2025-05-21,155.0,155.0,148.0,151.0,151.0,8065300
2025-05-22,150.0,151.0,146.0,149.0,149.0,6749000
2025-05-23,148.0,148.0,147.0,147.0,147.0,3898100
2025-05-26,147.0,147.0,143.0,144.0,144.0,4010500
2025-05-27,143.0,144.0,141.0,143.0,143.0,4023500
2025-05-28,143.0,152.0,139.0,151.0,151.0,17061400
2025-06-02,150.0,155.0,147.0,147.0,147.0,3198100
2025-06-03,148.0,150.0,142.0,147.0,147.0,2118500
2025-06-04,147.0,148.0,143.0,143.0,143.0,1946800
2025-06-05,144.0,147.0,144.0,145.0,145.0,784200
2025-06-10,145.0,146.0,144.0,144.0,144.0,1427100
2025-06-11,144.0,145.0,142.0,145.0,145.0,1928400
2025-06-12,145.0,146.0,143.0,144.0,144.0,1637700
2025-06-13,144.0,155.0,143.0,152.0,152.0,14162800
2025-06-16,152.0,155.0,150.0,150.0,150.0,1865400
2025-06-17,150.0,150.0,145.0,145.0,145.0,1814300
2025-06-18,145.0,146.0,142.0,145.0,145.0,2160300
2025-06-19,145.0,146.0,142.0,144.0,144.0,2433700
2025-06-20,143.0,144.0,140.0,140.0,140.0,1420700
2025-06-23,140.0,141.0,137.0,141.0,141.0,2164200
2025-06-24,141.0,141.0,137.0,138.0,138.0,854400
2025-06-25,138.0,141.0,133.0,141.0,141.0,1610900
2025-06-26,141.0,141.0,137.0,137.0,137.0,163200
2025-06-30,137.0,142.0,134.0,142.0,142.0,1891800
2025-07-01,142.0,142.0,140.0,140.0,140.0,269200
2025-07-02,140.0,140.0,138.0,140.0,140.0,331900
2025-07-03,140.0,140.0,139.0,139.0,139.0,134700
2025-07-04,139.0,139.0,138.0,139.0,139.0,226300
2025-07-07,138.0,139.0,137.0,137.0,137.0,299200
2025-07-08,138.0,139.0,137.0,138.0,138.0,138900
2025-07-09,138.0,140.0,138.0,140.0,140.0,443500
2025-07-10,140.0,142.0,139.0,141.0,141.0,315800
2025-07-11,141.0,141.0,139.0,141.0,141.0,257300
2025-07-14,140.0,141.0,139.0,140.0,140.0,754100
2025-07-15,139.0,143.0,138.0,141.0,141.0,819000
2025-07-16,141.0,141.0,138.0,141.0,141.0,597000
2025-07-17,140.0,141.0,137.0,139.0,139.0,588300
2025-07-18,138.0,140.0,130.0,140.0,140.0,2595500
2025-07-21,140.0,154.0,139.0,154.0,154.0,23370800
2025-07-22,154.0,155.0,152.0,152.0,152.0,6547100
2025-07-23,152.0,156.0,150.0,153.0,153.0,6119600
2025-07-24,152.0,163.0,150.0,161.0,161.0,20562300
2025-07-25,161.0,162.0,157.0,159.0,159.0,4761700
2025-07-28,159.0,191.0,158.0,185.0,185.0,103981000
2025-07-29,185.0,204.0,184.0,187.0,187.0,138471600
2025-07-30,187.0,192.0,186.0,187.0,187.0,13293700
2025-07-31,187.0,188.0,183.0,185.0,185.0,27480500
2025-08-01,184.0,185.0,177.0,178.0,178.0,7525700
2025-08-04,178.0,194.0,177.0,193.0,193.0,64964300
2025-08-05,193.0,194.0,190.0,191.0,191.0,6271500
2025-08-06,191.0,192.0,188.0,190.0,190.0,3302900
2025-08-07,190.0,196.0,187.0,187.0,187.0,12037200
2025-08-08,188.0,189.0,185.0,185.0,185.0,20622800
2025-08-11,185.0,187.0,160.0,187.0,187.0,27707100
