Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,27.0,27.0,26.0,26.0,26.0,689400
2025-05-14,26.0,26.0,25.0,25.0,25.0,416200
2025-05-15,25.0,25.0,25.0,25.0,25.0,1477900
2025-05-16,25.0,25.0,25.0,25.0,25.0,652600
2025-05-19,27.0,27.0,26.0,27.0,27.0,236900
2025-05-20,27.0,27.0,27.0,27.0,27.0,84600
2025-05-21,27.0,27.0,27.0,27.0,27.0,424700
2025-05-22,26.0,26.0,26.0,26.0,26.0,128000
2025-05-23,26.0,26.0,25.0,25.0,25.0,2633100
2025-05-26,25.0,25.0,25.0,25.0,25.0,273900
2025-05-27,25.0,25.0,24.0,25.0,25.0,272800
2025-05-28,25.0,25.0,25.0,25.0,25.0,135700
2025-06-02,24.0,24.0,23.0,24.0,24.0,697300
2025-06-03,24.0,24.0,22.0,22.0,22.0,5483900
2025-06-04,22.0,23.0,22.0,23.0,23.0,323800
2025-06-05,25.0,25.0,24.0,24.0,24.0,500100
2025-06-10,23.0,23.0,22.0,22.0,22.0,677700
2025-06-11,22.0,24.0,22.0,24.0,24.0,1217500
2025-06-12,24.0,24.0,24.0,24.0,24.0,211900
2025-06-13,24.0,26.0,24.0,26.0,26.0,549700
2025-06-16,26.0,26.0,24.0,24.0,24.0,181700
2025-06-17,25.0,25.0,24.0,24.0,24.0,124000
2025-06-18,24.0,25.0,24.0,25.0,25.0,56400
2025-06-19,25.0,25.0,23.0,23.0,23.0,211600
2025-06-20,23.0,23.0,23.0,23.0,23.0,182900
2025-06-23,23.0,23.0,21.0,21.0,21.0,259700
2025-06-24,21.0,21.0,19.0,19.0,19.0,2195500
2025-06-25,19.0,20.0,19.0,20.0,20.0,73600
2025-06-26,21.0,21.0,21.0,21.0,21.0,80700
2025-06-30,21.0,21.0,21.0,21.0,21.0,74900
2025-07-01,21.0,21.0,21.0,21.0,21.0,448500
2025-07-02,21.0,21.0,21.0,21.0,21.0,294600
2025-07-03,21.0,23.0,21.0,23.0,23.0,7900
2025-07-04,24.0,24.0,24.0,24.0,24.0,284000
2025-07-07,26.0,26.0,26.0,26.0,26.0,1285700
2025-07-08,27.0,28.0,27.0,27.0,27.0,3531500
2025-07-09,28.0,28.0,27.0,28.0,28.0,1691100
2025-07-10,28.0,28.0,28.0,28.0,28.0,1630700
2025-07-11,28.0,28.0,27.0,27.0,27.0,136200
2025-07-14,27.0,27.0,27.0,27.0,27.0,161200
2025-07-15,27.0,27.0,26.0,26.0,26.0,395600
2025-07-16,25.0,25.0,25.0,25.0,25.0,1607400
2025-07-17,25.0,25.0,25.0,25.0,25.0,122100
2025-07-18,25.0,25.0,24.0,24.0,24.0,643800
2025-07-21,24.0,24.0,22.0,22.0,22.0,209300
2025-07-22,22.0,22.0,21.0,21.0,21.0,297100
2025-07-23,22.0,22.0,22.0,22.0,22.0,171300
2025-07-24,22.0,24.0,22.0,22.0,22.0,287300
2025-07-25,22.0,22.0,22.0,22.0,22.0,74400
2025-07-28,22.0,22.0,22.0,22.0,22.0,172100
2025-07-29,21.0,24.0,21.0,24.0,24.0,950300
2025-07-30,26.0,26.0,26.0,26.0,26.0,411400
2025-07-31,28.0,28.0,28.0,28.0,28.0,2575500
2025-08-01,30.0,30.0,30.0,30.0,30.0,1375900
2025-08-04,33.0,33.0,33.0,33.0,33.0,2552200
2025-08-05,36.0,36.0,30.0,30.0,30.0,2965900
2025-08-06,30.0,30.0,27.0,27.0,27.0,1213400
2025-08-07,27.0,27.0,27.0,27.0,27.0,873400
2025-08-08,28.0,28.0,27.0,27.0,27.0,1074400
2025-08-11,27.0,27.0,27.0,27.0,27.0,1653700
