Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,196.0,197.0,193.0,193.0,183.39898681640625,7690900
2025-05-14,195.0,198.0,194.0,197.0,187.1999969482422,12042600
2025-05-15,199.0,224.0,197.0,218.0,207.1553192138672,48949800
2025-05-16,216.0,216.0,204.0,206.0,195.7522735595703,31131600
2025-05-19,206.0,214.0,199.0,210.0,199.5532989501953,19484400
2025-05-20,214.0,214.0,204.0,206.0,195.7522735595703,5061600
2025-05-21,206.0,208.0,200.0,204.0,193.85177612304688,5684100
2025-05-22,204.0,204.0,199.0,200.0,190.05075073242188,7244300
2025-05-23,202.0,204.0,200.0,200.0,190.05075073242188,1841600
2025-05-26,200.0,204.0,199.0,204.0,193.85177612304688,6882000
2025-05-27,206.0,206.0,202.0,204.0,193.85177612304688,5638900
2025-05-28,204.0,210.0,202.0,204.0,193.85177612304688,8013100
2025-06-02,204.0,206.0,202.0,204.0,193.85177612304688,4092700
2025-06-03,204.0,206.0,192.0,200.0,190.05075073242188,11395100
2025-06-04,202.0,206.0,202.0,202.0,191.95126342773438,4059000
2025-06-05,204.0,206.0,202.0,202.0,191.95126342773438,2896400
2025-06-10,206.0,206.0,202.0,202.0,191.95126342773438,3184900
2025-06-11,202.0,204.0,202.0,202.0,191.95126342773438,4605300
2025-06-12,210.0,218.0,204.0,212.0,201.45379638671875,29249600
2025-06-13,214.0,216.0,208.0,208.0,197.6527862548828,7651800
2025-06-16,208.0,210.0,204.0,208.0,197.6527862548828,4473400
2025-06-17,208.0,212.0,206.0,210.0,199.5532989501953,2466200
2025-06-18,210.0,212.0,206.0,208.0,197.6527862548828,3487500
2025-06-19,208.0,208.0,199.0,200.0,190.05075073242188,10008100
2025-06-20,202.0,204.0,200.0,204.0,193.85177612304688,1969100
2025-06-23,198.0,204.0,194.0,200.0,190.05075073242188,7714400
2025-06-24,202.0,204.0,199.0,202.0,191.95126342773438,6970500
2025-06-25,204.0,204.0,196.0,199.0,189.1005096435547,13209800
2025-06-26,200.0,202.0,197.0,199.0,189.1005096435547,15776500
2025-06-30,198.0,199.0,196.0,197.0,187.1999969482422,6347700
2025-07-01,200.0,200.0,196.0,196.0,186.24974060058594,6109200
2025-07-02,197.0,198.0,195.0,195.0,185.2994842529297,5385800
2025-07-03,196.0,198.0,193.0,197.0,187.1999969482422,3619600
2025-07-04,197.0,200.0,195.0,197.0,187.1999969482422,6130300
2025-07-07,190.0,197.0,185.0,197.0,197.0,13379000
2025-07-08,196.0,198.0,192.0,198.0,198.0,3619400
2025-07-09,197.0,197.0,193.0,195.0,195.0,1883600
2025-07-10,195.0,195.0,191.0,193.0,193.0,7069400
2025-07-11,192.0,193.0,190.0,193.0,193.0,3169400
2025-07-14,192.0,193.0,189.0,193.0,193.0,6218100
2025-07-15,190.0,193.0,189.0,191.0,191.0,4129700
2025-07-16,191.0,192.0,189.0,192.0,192.0,4754000
2025-07-17,192.0,192.0,189.0,191.0,191.0,5946100
2025-07-18,189.0,191.0,186.0,189.0,189.0,19051100
2025-07-21,188.0,188.0,184.0,187.0,187.0,6125500
2025-07-22,187.0,188.0,180.0,187.0,187.0,21100500
2025-07-23,188.0,188.0,182.0,187.0,187.0,3827400
2025-07-24,185.0,187.0,183.0,187.0,187.0,1942100
2025-07-25,187.0,187.0,184.0,187.0,187.0,5916300
2025-07-28,188.0,188.0,184.0,187.0,187.0,8716900
2025-07-29,186.0,187.0,184.0,186.0,186.0,3728100
2025-07-30,186.0,187.0,183.0,186.0,186.0,8007900
2025-07-31,186.0,188.0,184.0,188.0,188.0,5243800
2025-08-01,187.0,187.0,184.0,187.0,187.0,3101400
2025-08-04,187.0,192.0,185.0,190.0,190.0,17754600
2025-08-05,190.0,192.0,188.0,192.0,192.0,8396000
2025-08-06,191.0,193.0,189.0,191.0,191.0,8637500
2025-08-07,190.0,193.0,189.0,190.0,190.0,5226200
2025-08-08,193.0,206.0,190.0,200.0,200.0,46284700
2025-08-11,200.0,206.0,194.0,199.0,199.0,21401900
