Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,4.0,4.0,4.0,4.0,4.0,50033700
2025-05-14,5.0,5.0,4.0,4.0,4.0,53373900
2025-05-15,4.0,5.0,4.0,5.0,5.0,42764800
2025-05-16,4.0,4.0,4.0,4.0,4.0,137936200
2025-05-19,4.0,4.0,4.0,4.0,4.0,54506300
2025-05-20,4.0,4.0,4.0,4.0,4.0,23422000
2025-05-21,4.0,4.0,4.0,4.0,4.0,29632700
2025-05-22,4.0,4.0,4.0,4.0,4.0,51911300
2025-05-23,4.0,4.0,4.0,4.0,4.0,18282600
2025-05-26,4.0,4.0,4.0,4.0,4.0,86864600
2025-05-27,4.0,4.0,3.0,4.0,4.0,45275400
2025-05-28,4.0,5.0,4.0,5.0,5.0,15600200
2025-06-02,4.0,4.0,4.0,4.0,4.0,19611100
2025-06-03,4.0,5.0,4.0,4.0,4.0,13262200
2025-06-04,4.0,5.0,4.0,5.0,5.0,19693800
2025-06-05,5.0,5.0,4.0,4.0,4.0,9020800
2025-06-10,4.0,4.0,4.0,4.0,4.0,26662400
2025-06-11,4.0,4.0,4.0,4.0,4.0,17098100
2025-06-12,4.0,4.0,3.0,3.0,3.0,446252800
2025-06-13,4.0,4.0,4.0,4.0,4.0,68670200
2025-06-16,4.0,4.0,3.0,4.0,4.0,82121500
2025-06-17,4.0,4.0,3.0,3.0,3.0,31819200
2025-06-18,3.0,4.0,3.0,4.0,4.0,38335800
2025-06-19,4.0,4.0,3.0,3.0,3.0,21565700
2025-06-20,4.0,4.0,4.0,4.0,4.0,25308400
2025-06-23,4.0,4.0,4.0,4.0,4.0,148911700
2025-06-24,4.0,4.0,3.0,4.0,4.0,49912200
2025-06-25,4.0,4.0,3.0,4.0,4.0,28824600
2025-06-26,4.0,4.0,3.0,3.0,3.0,26861700
2025-06-30,3.0,3.0,3.0,3.0,3.0,0
2025-07-01,3.0,3.0,3.0,3.0,3.0,0
2025-07-02,3.0,3.0,3.0,3.0,3.0,0
2025-07-03,3.0,3.0,3.0,3.0,3.0,0
2025-07-04,3.0,3.0,3.0,3.0,3.0,0
2025-07-07,4.0,4.0,4.0,4.0,4.0,56151000
2025-07-08,5.0,5.0,5.0,5.0,5.0,177869800
2025-07-09,6.0,6.0,6.0,6.0,6.0,205962200
2025-07-10,6.0,6.0,5.0,5.0,5.0,112379200
2025-07-11,5.0,5.0,5.0,5.0,5.0,58648800
2025-07-14,5.0,5.0,4.0,4.0,4.0,25318500
2025-07-15,4.0,5.0,4.0,5.0,5.0,41095200
2025-07-16,5.0,5.0,4.0,4.0,4.0,20049800
2025-07-17,5.0,5.0,4.0,5.0,5.0,16247100
2025-07-18,5.0,5.0,5.0,5.0,5.0,24094400
2025-07-21,4.0,5.0,4.0,5.0,5.0,20286800
2025-07-22,5.0,5.0,5.0,5.0,5.0,11145500
2025-07-23,5.0,5.0,4.0,5.0,5.0,9769100
2025-07-24,5.0,5.0,4.0,4.0,4.0,36075600
2025-07-25,4.0,4.0,4.0,4.0,4.0,30153800
2025-07-28,5.0,5.0,4.0,5.0,5.0,35455900
2025-07-29,5.0,5.0,4.0,5.0,5.0,23879700
2025-07-30,5.0,5.0,5.0,5.0,5.0,0
2025-07-31,5.0,5.0,5.0,5.0,5.0,11143600
2025-08-01,5.0,5.0,5.0,5.0,5.0,46280200
2025-08-04,5.0,5.0,5.0,5.0,5.0,38896200
2025-08-05,5.0,5.0,4.0,4.0,4.0,24104600
2025-08-06,5.0,5.0,5.0,5.0,5.0,52088700
2025-08-07,5.0,5.0,5.0,5.0,5.0,72940900
2025-08-08,5.0,5.0,5.0,5.0,5.0,57019100
2025-08-11,5.0,5.0,5.0,5.0,5.0,199882500
