Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,388.0,388.0,384.0,386.0,376.3500061035156,636600
2025-05-14,388.0,392.0,384.0,392.0,382.20001220703125,533200
2025-05-15,390.0,392.0,388.0,392.0,382.20001220703125,471200
2025-05-16,392.0,400.0,392.0,398.0,388.0500183105469,959900
2025-05-19,400.0,402.0,398.0,402.0,391.95001220703125,967600
2025-05-20,402.0,418.0,402.0,408.0,397.8000183105469,444200
2025-05-21,408.0,416.0,406.0,412.0,401.70001220703125,1402400
2025-05-22,412.0,418.0,402.0,406.0,395.8500061035156,533200
2025-05-23,406.0,406.0,402.0,406.0,395.8500061035156,246000
2025-05-26,406.0,408.0,396.0,400.0,390.0,1061700
2025-05-27,402.0,406.0,400.0,402.0,391.95001220703125,103800
2025-05-28,402.0,412.0,400.0,400.0,390.0,810900
2025-06-02,400.0,402.0,390.0,400.0,390.0,1049200
2025-06-03,402.0,410.0,400.0,400.0,390.0,609200
2025-06-04,400.0,402.0,398.0,400.0,390.0,591000
2025-06-05,400.0,400.0,396.0,400.0,390.0,838800
2025-06-10,400.0,404.0,398.0,400.0,390.0,752300
2025-06-11,398.0,410.0,398.0,408.0,397.8000183105469,1061100
2025-06-12,408.0,408.0,400.0,404.0,393.9000244140625,528600
2025-06-13,404.0,404.0,400.0,402.0,391.95001220703125,221200
2025-06-16,402.0,412.0,402.0,408.0,397.8000183105469,1093900
2025-06-17,408.0,412.0,400.0,404.0,393.9000244140625,2088200
2025-06-18,404.0,408.0,400.0,400.0,390.0,1882800
2025-06-19,396.0,396.0,388.0,390.0,390.0,923100
2025-06-20,390.0,390.0,384.0,384.0,384.0,144900
2025-06-23,384.0,390.0,380.0,380.0,380.0,1215600
2025-06-24,380.0,398.0,380.0,388.0,388.0,1033700
2025-06-25,388.0,390.0,380.0,384.0,384.0,1211300
2025-06-26,384.0,384.0,378.0,380.0,380.0,267000
2025-06-30,380.0,382.0,376.0,380.0,380.0,210100
2025-07-01,380.0,380.0,378.0,378.0,378.0,784200
2025-07-02,380.0,380.0,376.0,378.0,378.0,97900
2025-07-03,380.0,380.0,376.0,378.0,378.0,468200
2025-07-04,378.0,378.0,370.0,372.0,372.0,322800
2025-07-07,378.0,378.0,368.0,370.0,370.0,1115900
2025-07-08,370.0,370.0,364.0,366.0,366.0,434800
2025-07-09,366.0,370.0,364.0,368.0,368.0,509100
2025-07-10,368.0,370.0,368.0,370.0,370.0,71200
2025-07-11,370.0,372.0,364.0,366.0,366.0,713300
2025-07-14,368.0,368.0,362.0,362.0,362.0,286900
2025-07-15,364.0,366.0,360.0,362.0,362.0,322600
2025-07-16,364.0,364.0,358.0,360.0,360.0,743800
2025-07-17,362.0,364.0,360.0,364.0,364.0,146400
2025-07-18,364.0,368.0,362.0,364.0,364.0,919900
2025-07-21,366.0,366.0,362.0,362.0,362.0,161100
2025-07-22,364.0,370.0,364.0,370.0,370.0,326700
2025-07-23,370.0,376.0,370.0,372.0,372.0,2009900
2025-07-24,374.0,384.0,372.0,374.0,374.0,1443900
2025-07-25,378.0,378.0,372.0,374.0,374.0,910600
2025-07-28,374.0,376.0,370.0,374.0,374.0,638100
2025-07-29,372.0,378.0,372.0,374.0,374.0,150100
2025-07-30,372.0,372.0,356.0,364.0,364.0,3358300
2025-07-31,362.0,366.0,356.0,360.0,360.0,627500
2025-08-01,358.0,362.0,356.0,360.0,360.0,782900
2025-08-04,360.0,360.0,352.0,356.0,356.0,1720700
2025-08-05,356.0,358.0,346.0,348.0,348.0,1224200
2025-08-06,348.0,352.0,344.0,348.0,348.0,950000
2025-08-07,346.0,346.0,330.0,334.0,334.0,1872200
2025-08-08,334.0,352.0,330.0,352.0,352.0,2973300
2025-08-11,352.0,354.0,348.0,352.0,352.0,1216600
