Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,195.0,195.0,190.0,191.0,191.0,58300
2025-05-14,191.0,192.0,188.0,191.0,191.0,433200
2025-05-15,191.0,194.0,191.0,192.0,192.0,139200
2025-05-16,193.0,202.0,193.0,202.0,202.0,1851000
2025-05-19,204.0,204.0,190.0,200.0,200.0,934100
2025-05-20,200.0,200.0,197.0,199.0,199.0,142400
2025-05-21,199.0,212.0,199.0,212.0,212.0,1889000
2025-05-22,212.0,214.0,202.0,210.0,210.0,1220600
2025-05-23,208.0,210.0,206.0,210.0,210.0,417900
2025-05-26,210.0,210.0,202.0,208.0,208.0,391200
2025-05-27,208.0,214.0,200.0,206.0,206.0,1376200
2025-05-28,206.0,208.0,200.0,202.0,202.0,851300
2025-06-02,202.0,210.0,200.0,202.0,202.0,1432000
2025-06-03,200.0,212.0,195.0,210.0,210.0,4087300
2025-06-04,210.0,210.0,196.0,206.0,206.0,416600
2025-06-05,206.0,210.0,200.0,208.0,208.0,284400
2025-06-10,204.0,210.0,202.0,204.0,204.0,306400
2025-06-11,204.0,210.0,204.0,208.0,208.0,611500
2025-06-12,206.0,214.0,204.0,214.0,214.0,692000
2025-06-13,212.0,214.0,206.0,208.0,208.0,792800
2025-06-16,210.0,212.0,204.0,208.0,208.0,686600
2025-06-17,206.0,206.0,202.0,204.0,204.0,277100
2025-06-18,206.0,208.0,204.0,204.0,204.0,211600
2025-06-19,204.0,206.0,195.0,195.0,195.0,1223500
2025-06-20,195.0,196.0,166.0,186.0,186.0,2738300
2025-06-23,187.0,200.0,187.0,193.0,193.0,313300
2025-06-24,193.0,193.0,187.0,191.0,191.0,350100
2025-06-25,192.0,192.0,189.0,189.0,189.0,91800
2025-06-26,190.0,192.0,190.0,190.0,190.0,56500
2025-06-30,190.0,198.0,189.0,192.0,192.0,567600
2025-07-01,192.0,198.0,182.0,192.0,192.0,877600
2025-07-02,190.0,192.0,186.0,189.0,189.0,175900
2025-07-03,187.0,190.0,186.0,188.0,188.0,50600
2025-07-04,190.0,190.0,188.0,190.0,190.0,69200
2025-07-07,190.0,193.0,190.0,192.0,192.0,584900
2025-07-08,192.0,194.0,192.0,193.0,193.0,65800
2025-07-09,193.0,195.0,191.0,194.0,194.0,326100
2025-07-10,195.0,199.0,195.0,196.0,196.0,116900
2025-07-11,195.0,196.0,195.0,196.0,196.0,121600
2025-07-14,196.0,198.0,194.0,198.0,198.0,349700
2025-07-15,198.0,198.0,194.0,197.0,197.0,211500
2025-07-16,197.0,198.0,190.0,194.0,194.0,90500
2025-07-17,193.0,197.0,191.0,194.0,194.0,1310400
2025-07-18,195.0,198.0,195.0,196.0,196.0,275800
2025-07-21,196.0,199.0,195.0,197.0,197.0,437000
2025-07-22,197.0,197.0,194.0,195.0,195.0,1022500
2025-07-23,196.0,208.0,195.0,208.0,208.0,1843900
2025-07-24,208.0,214.0,186.0,196.0,196.0,2865300
2025-07-25,196.0,198.0,194.0,198.0,198.0,286700
2025-07-28,198.0,198.0,194.0,195.0,195.0,108200
2025-07-29,194.0,198.0,194.0,195.0,195.0,663700
2025-07-30,194.0,198.0,194.0,195.0,195.0,899200
2025-07-31,195.0,208.0,194.0,202.0,202.0,1304200
2025-08-01,204.0,204.0,198.0,198.0,198.0,321300
2025-08-04,198.0,202.0,197.0,202.0,202.0,171900
2025-08-05,200.0,200.0,194.0,200.0,200.0,1011600
2025-08-06,200.0,200.0,198.0,198.0,198.0,350600
2025-08-07,200.0,200.0,197.0,199.0,199.0,280100
2025-08-08,199.0,200.0,197.0,199.0,199.0,64500
2025-08-11,198.0,198.0,190.0,194.0,194.0,759200
