Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,2170.0,2220.0,2110.0,2150.0,2150.0,1745700
2025-05-14,2170.0,2200.0,2140.0,2150.0,2150.0,1383200
2025-05-15,2150.0,2220.0,2140.0,2150.0,2150.0,2213900
2025-05-16,2150.0,2150.0,2100.0,2100.0,2100.0,1601800
2025-05-19,2100.0,2110.0,2020.0,2090.0,2090.0,1603100
2025-05-20,2130.0,2140.0,2060.0,2100.0,2100.0,1555300
2025-05-21,2100.0,2150.0,2000.0,2050.0,2050.0,3694200
2025-05-22,2100.0,2250.0,2100.0,2250.0,2250.0,9353000
2025-05-23,2290.0,2470.0,2260.0,2470.0,2470.0,10748900
2025-05-26,2500.0,2500.0,2280.0,2300.0,2300.0,10130700
2025-05-27,2290.0,2500.0,2250.0,2500.0,2500.0,6415800
2025-05-28,2500.0,2750.0,2400.0,2750.0,2750.0,18570200
2025-06-02,2780.0,3020.0,2770.0,3020.0,3020.0,26168900
2025-06-03,3320.0,3320.0,2950.0,3320.0,3320.0,25212200
2025-06-04,3320.0,3510.0,3260.0,3340.0,3340.0,19745000
2025-06-05,3400.0,3480.0,3010.0,3400.0,3400.0,19863800
2025-06-10,3700.0,3740.0,3670.0,3740.0,3740.0,2722800
2025-06-11,3900.0,4110.0,3900.0,4110.0,4110.0,1685500
2025-06-12,4110.0,4110.0,4110.0,4110.0,4110.0,0
2025-06-13,4520.0,4520.0,4320.0,4520.0,4520.0,17138800
2025-06-16,4550.0,4970.0,4550.0,4970.0,4970.0,20252200
2025-06-17,4970.0,4970.0,4970.0,4970.0,4970.0,0
2025-06-18,4970.0,4970.0,4970.0,4970.0,4970.0,0
2025-06-19,4970.0,4970.0,4970.0,4970.0,4970.0,0
2025-06-20,4970.0,4970.0,4970.0,4970.0,4970.0,0
2025-06-23,4970.0,4970.0,4970.0,4970.0,4970.0,0
2025-06-24,4970.0,4970.0,4970.0,4970.0,4970.0,0
2025-06-25,4970.0,4970.0,4970.0,4970.0,4970.0,0
2025-06-26,4970.0,4970.0,4970.0,4970.0,4970.0,0
2025-06-30,4480.0,4480.0,4480.0,4480.0,4480.0,2043100
2025-07-01,4040.0,4040.0,4040.0,4040.0,4040.0,314400
2025-07-02,3640.0,3640.0,3640.0,3640.0,3640.0,525400
2025-07-03,3900.0,3970.0,3870.0,3870.0,3870.0,9494500
2025-07-04,3650.0,3650.0,3500.0,3540.0,3540.0,6743700
2025-07-07,3620.0,3620.0,3600.0,3600.0,3600.0,2022900
2025-07-08,3590.0,3590.0,3240.0,3240.0,3240.0,5509600
2025-07-09,3300.0,3560.0,3130.0,3560.0,3560.0,4494900
2025-07-10,3570.0,3910.0,3570.0,3910.0,3910.0,8932100
2025-07-11,3930.0,4300.0,3920.0,4300.0,4300.0,4660200
2025-07-14,4200.0,4650.0,3870.0,3870.0,3870.0,17848400
2025-07-15,3920.0,4000.0,3550.0,3900.0,3900.0,8311400
2025-07-16,3900.0,3950.0,3650.0,3710.0,3710.0,5148600
2025-07-17,3710.0,3790.0,3600.0,3630.0,3630.0,4301600
2025-07-18,3700.0,3910.0,3650.0,3900.0,3900.0,4664000
2025-07-21,3950.0,3950.0,3700.0,3780.0,3780.0,4349300
2025-07-22,3800.0,3850.0,3660.0,3700.0,3700.0,5920600
2025-07-23,3750.0,3750.0,3560.0,3660.0,3660.0,5180100
2025-07-24,3670.0,3750.0,3640.0,3680.0,3680.0,2528300
2025-07-25,3680.0,3950.0,3620.0,3880.0,3880.0,6717400
2025-07-28,4010.0,4200.0,3720.0,3730.0,3730.0,8009300
2025-07-29,3730.0,3810.0,3630.0,3710.0,3710.0,3261600
2025-07-30,3710.0,3780.0,3660.0,3670.0,3670.0,2071400
2025-07-31,3690.0,3780.0,3650.0,3750.0,3750.0,3531200
2025-08-01,4100.0,4120.0,3810.0,3880.0,3880.0,11412100
2025-08-04,3870.0,4260.0,3800.0,4150.0,4150.0,14515400
2025-08-05,4150.0,4340.0,3950.0,3990.0,3990.0,4824200
2025-08-06,3990.0,4050.0,3860.0,3890.0,3890.0,3607700
2025-08-07,3900.0,3990.0,3750.0,3840.0,3840.0,5536700
2025-08-08,3840.0,3900.0,3710.0,3850.0,3850.0,3625300
2025-08-11,3890.0,3900.0,3820.0,3840.0,3840.0,1660800
