Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,126.0,128.0,126.0,128.0,128.0,71500
2025-05-14,126.0,128.0,125.0,128.0,128.0,63500
2025-05-15,123.0,127.0,121.0,127.0,127.0,673900
2025-05-16,127.0,128.0,126.0,127.0,127.0,93000
2025-05-19,128.0,129.0,127.0,127.0,127.0,42500
2025-05-20,129.0,130.0,126.0,128.0,128.0,55300
2025-05-21,126.0,128.0,126.0,127.0,127.0,22000
2025-05-22,125.0,127.0,125.0,127.0,127.0,48700
2025-05-23,126.0,129.0,126.0,128.0,128.0,10000
2025-05-26,126.0,127.0,126.0,127.0,127.0,38100
2025-05-27,131.0,131.0,126.0,126.0,126.0,42200
2025-05-28,130.0,130.0,126.0,129.0,129.0,3300
2025-06-02,126.0,161.0,122.0,122.0,122.0,2328500
2025-06-03,122.0,130.0,122.0,125.0,125.0,144000
2025-06-04,130.0,130.0,120.0,120.0,120.0,85700
2025-06-05,124.0,124.0,120.0,120.0,120.0,34200
2025-06-10,122.0,128.0,118.0,122.0,122.0,101600
2025-06-11,116.0,123.0,116.0,120.0,120.0,70600
2025-06-12,118.0,124.0,118.0,123.0,123.0,49200
2025-06-13,125.0,125.0,119.0,121.0,121.0,149800
2025-06-16,120.0,123.0,118.0,122.0,122.0,110900
2025-06-17,118.0,122.0,117.0,120.0,120.0,68800
2025-06-18,119.0,120.0,117.0,120.0,120.0,30600
2025-06-19,124.0,125.0,115.0,117.0,117.0,39600
2025-06-20,119.0,119.0,115.0,117.0,117.0,37500
2025-06-23,114.0,119.0,110.0,119.0,119.0,117600
2025-06-24,119.0,119.0,113.0,117.0,117.0,13700
2025-06-25,118.0,122.0,112.0,116.0,116.0,10700
2025-06-26,122.0,122.0,112.0,116.0,116.0,34300
2025-06-30,116.0,117.0,112.0,114.0,114.0,30600
2025-07-01,115.0,130.0,112.0,116.0,116.0,268500
2025-07-02,115.0,118.0,113.0,114.0,114.0,44100
2025-07-03,115.0,122.0,113.0,117.0,117.0,47400
2025-07-04,117.0,151.0,116.0,122.0,122.0,2549300
2025-07-07,123.0,127.0,120.0,123.0,123.0,77100
2025-07-08,120.0,124.0,118.0,121.0,121.0,64000
2025-07-09,118.0,154.0,118.0,124.0,124.0,1739200
2025-07-10,124.0,148.0,123.0,134.0,134.0,2321700
2025-07-11,132.0,141.0,128.0,131.0,131.0,281800
2025-07-14,136.0,137.0,126.0,127.0,127.0,223100
2025-07-15,127.0,145.0,126.0,136.0,136.0,1510700
2025-07-16,139.0,146.0,135.0,138.0,138.0,444000
2025-07-17,139.0,142.0,135.0,135.0,135.0,77900
2025-07-18,138.0,147.0,130.0,133.0,133.0,878000
2025-07-21,133.0,140.0,131.0,133.0,133.0,68000
2025-07-22,138.0,175.0,130.0,133.0,133.0,7139200
2025-07-23,131.0,138.0,130.0,131.0,131.0,366300
2025-07-24,130.0,137.0,128.0,133.0,133.0,123400
2025-07-25,133.0,178.0,131.0,138.0,138.0,8097000
2025-07-28,138.0,146.0,137.0,141.0,141.0,824900
2025-07-29,141.0,190.0,133.0,190.0,190.0,10023300
2025-07-30,200.0,224.0,170.0,193.0,193.0,17771300
2025-07-31,194.0,200.0,176.0,186.0,186.0,1884200
2025-08-01,186.0,188.0,178.0,181.0,181.0,422800
2025-08-04,186.0,192.0,173.0,184.0,184.0,1008600
2025-08-05,184.0,186.0,174.0,180.0,180.0,1257400
2025-08-06,182.0,194.0,171.0,173.0,173.0,3347200
2025-08-07,174.0,174.0,167.0,168.0,168.0,426700
2025-08-08,169.0,169.0,158.0,162.0,162.0,195100
2025-08-11,162.0,170.0,161.0,164.0,164.0,166300
