Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,171.0,171.0,168.0,168.0,168.0,167700
2025-05-14,169.0,179.0,169.0,169.0,169.0,840800
2025-05-15,173.0,194.0,170.0,180.0,180.0,1230000
2025-05-16,180.0,190.0,175.0,184.0,184.0,782200
2025-05-19,185.0,199.0,183.0,188.0,188.0,945600
2025-05-20,189.0,200.0,176.0,190.0,190.0,221300
2025-05-21,191.0,195.0,182.0,189.0,189.0,411800
2025-05-22,190.0,191.0,182.0,185.0,185.0,299000
2025-05-23,185.0,220.0,183.0,186.0,186.0,1777300
2025-05-26,188.0,196.0,183.0,185.0,185.0,697900
2025-05-27,188.0,193.0,183.0,186.0,186.0,1766000
2025-05-28,191.0,194.0,185.0,187.0,187.0,223500
2025-06-02,188.0,190.0,184.0,188.0,188.0,171100
2025-06-03,190.0,192.0,187.0,189.0,189.0,181000
2025-06-04,189.0,191.0,183.0,190.0,190.0,752500
2025-06-05,190.0,192.0,184.0,191.0,191.0,613100
2025-06-10,192.0,193.0,190.0,192.0,192.0,130100
2025-06-11,192.0,204.0,188.0,194.0,194.0,461600
2025-06-12,190.0,220.0,190.0,195.0,195.0,373500
2025-06-13,195.0,200.0,192.0,196.0,196.0,155000
2025-06-16,196.0,198.0,191.0,197.0,197.0,152400
2025-06-17,196.0,196.0,190.0,191.0,191.0,79900
2025-06-18,191.0,196.0,189.0,190.0,190.0,171600
2025-06-19,193.0,193.0,185.0,187.0,187.0,241400
2025-06-20,184.0,189.0,175.0,186.0,186.0,223900
2025-06-23,186.0,189.0,176.0,182.0,182.0,360700
2025-06-24,182.0,185.0,178.0,181.0,181.0,99400
2025-06-25,185.0,186.0,179.0,180.0,180.0,132300
2025-06-26,180.0,242.0,179.0,242.0,242.0,2404900
2025-06-30,264.0,298.0,240.0,240.0,240.0,5647600
2025-07-01,240.0,240.0,208.0,212.0,212.0,1645600
2025-07-02,212.0,230.0,204.0,208.0,208.0,550400
2025-07-03,210.0,226.0,208.0,208.0,208.0,504700
2025-07-04,212.0,228.0,204.0,208.0,208.0,925900
2025-07-07,208.0,224.0,208.0,210.0,210.0,163300
2025-07-08,216.0,216.0,206.0,210.0,210.0,82600
2025-07-09,210.0,216.0,206.0,212.0,212.0,135100
2025-07-10,210.0,264.0,208.0,220.0,220.0,3409900
2025-07-11,220.0,238.0,220.0,220.0,220.0,380500
2025-07-14,222.0,230.0,218.0,220.0,220.0,247400
2025-07-15,220.0,234.0,220.0,224.0,224.0,501800
2025-07-16,224.0,280.0,220.0,270.0,270.0,7945400
2025-07-17,278.0,280.0,242.0,250.0,250.0,3092400
2025-07-18,250.0,256.0,240.0,248.0,248.0,2081500
2025-07-21,236.0,248.0,228.0,240.0,240.0,1407800
2025-07-22,232.0,292.0,206.0,208.0,208.0,9069100
2025-07-23,206.0,236.0,200.0,210.0,210.0,3399000
2025-07-24,208.0,218.0,208.0,212.0,212.0,706800
2025-07-25,210.0,230.0,210.0,218.0,218.0,1654400
2025-07-28,216.0,224.0,212.0,216.0,216.0,751300
2025-07-29,214.0,234.0,212.0,222.0,222.0,1575500
2025-07-30,228.0,228.0,214.0,220.0,220.0,2637200
2025-07-31,218.0,222.0,214.0,218.0,218.0,410200
2025-08-01,214.0,218.0,210.0,214.0,214.0,557200
2025-08-04,210.0,220.0,210.0,212.0,212.0,461300
2025-08-05,210.0,230.0,208.0,216.0,216.0,2015300
2025-08-06,214.0,218.0,212.0,214.0,214.0,613200
2025-08-07,216.0,226.0,206.0,208.0,208.0,3713700
2025-08-08,212.0,212.0,196.0,206.0,206.0,2680200
2025-08-11,208.0,218.0,196.0,200.0,200.0,1489900
