Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,200.0,210.0,200.0,204.0,204.0,12724000
2025-05-14,206.0,206.0,200.0,202.0,202.0,4466400
2025-05-15,202.0,202.0,193.0,195.0,195.0,6640300
2025-05-16,195.0,196.0,193.0,193.0,193.0,4228400
2025-05-19,193.0,196.0,193.0,196.0,196.0,5234900
2025-05-20,196.0,204.0,196.0,204.0,204.0,8570600
2025-05-21,204.0,206.0,200.0,202.0,202.0,4427200
2025-05-22,202.0,204.0,199.0,202.0,202.0,4019000
2025-05-23,204.0,206.0,202.0,204.0,204.0,4413400
2025-05-26,202.0,220.0,202.0,220.0,220.0,30759200
2025-05-27,218.0,218.0,210.0,212.0,212.0,10634600
2025-05-28,212.0,214.0,208.0,212.0,212.0,6282000
2025-06-02,210.0,216.0,210.0,216.0,216.0,7413400
2025-06-03,216.0,218.0,214.0,216.0,216.0,4865200
2025-06-04,216.0,216.0,212.0,214.0,214.0,4374700
2025-06-05,214.0,220.0,214.0,220.0,220.0,6897300
2025-06-10,220.0,220.0,216.0,218.0,218.0,4679300
2025-06-11,218.0,218.0,214.0,216.0,216.0,4137600
2025-06-12,216.0,218.0,214.0,216.0,216.0,4236200
2025-06-13,216.0,220.0,216.0,220.0,220.0,8120900
2025-06-16,220.0,220.0,216.0,218.0,218.0,4115900
2025-06-17,218.0,220.0,216.0,218.0,218.0,12159800
2025-06-18,218.0,248.0,218.0,234.0,234.0,55500600
2025-06-19,234.0,234.0,208.0,220.0,220.0,11486600
2025-06-20,220.0,222.0,214.0,218.0,218.0,6562800
2025-06-23,218.0,218.0,216.0,216.0,216.0,4878300
2025-06-24,216.0,226.0,216.0,226.0,226.0,11804800
2025-06-25,224.0,226.0,216.0,218.0,218.0,5139900
2025-06-26,218.0,220.0,214.0,218.0,218.0,4725300
2025-06-30,218.0,220.0,218.0,220.0,220.0,5642100
2025-07-01,220.0,226.0,218.0,226.0,226.0,6750300
2025-07-02,226.0,226.0,222.0,222.0,222.0,4148200
2025-07-03,222.0,224.0,220.0,220.0,220.0,5627600
2025-07-04,220.0,224.0,218.0,224.0,224.0,7127100
2025-07-07,224.0,238.0,224.0,238.0,238.0,22468500
2025-07-08,238.0,248.0,222.0,232.0,232.0,7305700
2025-07-09,232.0,232.0,228.0,230.0,230.0,5633000
2025-07-10,230.0,232.0,226.0,230.0,230.0,5302600
2025-07-11,230.0,232.0,230.0,232.0,232.0,6046100
2025-07-14,232.0,240.0,232.0,240.0,240.0,7923000
2025-07-15,240.0,248.0,232.0,236.0,236.0,4323000
2025-07-16,236.0,238.0,232.0,232.0,232.0,4117100
2025-07-17,232.0,234.0,230.0,232.0,232.0,4404000
2025-07-18,232.0,234.0,230.0,234.0,234.0,4510900
2025-07-21,234.0,238.0,232.0,238.0,238.0,5560700
2025-07-22,238.0,238.0,234.0,234.0,234.0,4559000
2025-07-23,234.0,236.0,230.0,234.0,234.0,5340500
2025-07-24,234.0,234.0,228.0,230.0,230.0,4301400
2025-07-25,230.0,232.0,226.0,228.0,228.0,4629000
2025-07-28,228.0,230.0,224.0,228.0,228.0,4497000
2025-07-29,228.0,234.0,228.0,232.0,232.0,5977800
2025-07-30,232.0,236.0,232.0,236.0,236.0,6487100
2025-07-31,236.0,238.0,236.0,236.0,236.0,4285900
2025-08-01,236.0,238.0,234.0,234.0,234.0,3852500
2025-08-04,234.0,234.0,232.0,232.0,232.0,3040000
2025-08-05,232.0,234.0,230.0,232.0,232.0,3225300
2025-08-06,232.0,234.0,232.0,234.0,234.0,4792300
2025-08-07,234.0,236.0,230.0,232.0,232.0,3492600
2025-08-08,230.0,232.0,228.0,230.0,230.0,3498300
2025-08-11,230.0,232.0,230.0,232.0,232.0,4913200
