Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,53.0,70.0,52.0,70.0,70.0,121340000
2025-05-14,72.0,85.0,62.0,67.0,67.0,90528500
2025-05-15,69.0,71.0,63.0,64.0,64.0,12506800
2025-05-16,65.0,78.0,64.0,66.0,66.0,53004500
2025-05-19,68.0,68.0,59.0,62.0,62.0,15118400
2025-05-20,62.0,71.0,59.0,67.0,67.0,18903200
2025-05-21,68.0,70.0,61.0,64.0,64.0,19217300
2025-05-22,64.0,65.0,59.0,60.0,60.0,9028400
2025-05-23,59.0,59.0,56.0,57.0,57.0,11581400
2025-05-26,57.0,62.0,55.0,56.0,56.0,10348000
2025-05-27,57.0,58.0,51.0,52.0,52.0,17069400
2025-05-28,52.0,65.0,51.0,54.0,54.0,93534500
2025-06-02,54.0,54.0,51.0,52.0,52.0,9652700
2025-06-03,54.0,54.0,51.0,52.0,52.0,9474100
2025-06-04,53.0,53.0,51.0,52.0,52.0,3385700
2025-06-05,52.0,52.0,51.0,51.0,51.0,4578900
2025-06-10,51.0,52.0,50.0,50.0,50.0,23331600
2025-06-11,50.0,51.0,50.0,50.0,50.0,1128800
2025-06-12,50.0,50.0,50.0,50.0,50.0,485900
2025-06-13,50.0,50.0,50.0,50.0,50.0,117200
2025-06-16,50.0,50.0,50.0,50.0,50.0,752700
2025-06-17,50.0,50.0,50.0,50.0,50.0,210500
2025-06-18,50.0,50.0,50.0,50.0,50.0,23500
2025-06-19,50.0,50.0,50.0,50.0,50.0,82500
2025-06-20,50.0,50.0,50.0,50.0,50.0,368900
2025-06-23,50.0,50.0,50.0,50.0,50.0,26400
2025-06-24,50.0,50.0,50.0,50.0,50.0,4800
2025-06-25,50.0,50.0,50.0,50.0,50.0,400
2025-06-26,50.0,50.0,50.0,50.0,50.0,2700
2025-06-30,50.0,50.0,50.0,50.0,50.0,36200
2025-07-01,50.0,50.0,50.0,50.0,50.0,58200
2025-07-02,50.0,50.0,50.0,50.0,50.0,3000
2025-07-03,50.0,50.0,50.0,50.0,50.0,3500
2025-07-04,50.0,50.0,50.0,50.0,50.0,2900
2025-07-07,50.0,50.0,50.0,50.0,50.0,9800
2025-07-08,50.0,50.0,50.0,50.0,50.0,33300
2025-07-09,50.0,50.0,50.0,50.0,50.0,4800
2025-07-10,50.0,50.0,50.0,50.0,50.0,30000
2025-07-11,50.0,50.0,50.0,50.0,50.0,119200
2025-07-14,50.0,50.0,50.0,50.0,50.0,115400
2025-07-15,50.0,50.0,50.0,50.0,50.0,9400
2025-07-16,50.0,50.0,50.0,50.0,50.0,14900
2025-07-17,50.0,50.0,50.0,50.0,50.0,28100
2025-07-18,50.0,50.0,50.0,50.0,50.0,126600
2025-07-21,50.0,50.0,50.0,50.0,50.0,85500
2025-07-22,50.0,50.0,50.0,50.0,50.0,20300
2025-07-23,50.0,50.0,50.0,50.0,50.0,8500
2025-07-24,50.0,50.0,50.0,50.0,50.0,32400
2025-07-25,50.0,50.0,50.0,50.0,50.0,64300
2025-07-28,50.0,50.0,50.0,50.0,50.0,102500
2025-07-29,50.0,50.0,50.0,50.0,50.0,14000
2025-07-30,50.0,50.0,50.0,50.0,50.0,33000
2025-07-31,50.0,50.0,50.0,50.0,50.0,179900
2025-08-01,50.0,50.0,50.0,50.0,50.0,594500
2025-08-04,50.0,50.0,50.0,50.0,50.0,64500
2025-08-05,50.0,50.0,50.0,50.0,50.0,408200
2025-08-06,50.0,50.0,50.0,50.0,50.0,73400
2025-08-07,50.0,50.0,50.0,50.0,50.0,301600
2025-08-08,50.0,50.0,50.0,50.0,50.0,134300
2025-08-11,50.0,50.0,50.0,50.0,50.0,211200
