Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,735.0,735.0,735.0,735.0,716.876708984375,100
2025-05-14,735.0,735.0,735.0,735.0,716.876708984375,0
2025-05-15,735.0,735.0,735.0,735.0,716.876708984375,10100
2025-05-16,735.0,735.0,735.0,735.0,716.876708984375,100
2025-05-19,735.0,735.0,735.0,735.0,716.876708984375,0
2025-05-20,735.0,735.0,735.0,735.0,716.876708984375,0
2025-05-21,735.0,735.0,735.0,735.0,716.876708984375,0
2025-05-22,735.0,735.0,735.0,735.0,716.876708984375,0
2025-05-23,735.0,735.0,735.0,735.0,716.876708984375,0
2025-05-26,735.0,735.0,735.0,735.0,716.876708984375,0
2025-05-27,735.0,735.0,735.0,735.0,716.876708984375,0
2025-05-28,735.0,735.0,735.0,735.0,716.876708984375,0
2025-06-02,735.0,735.0,735.0,735.0,716.876708984375,0
2025-06-03,735.0,735.0,735.0,735.0,716.876708984375,0
2025-06-04,735.0,735.0,735.0,735.0,716.876708984375,0
2025-06-05,735.0,735.0,735.0,735.0,716.876708984375,0
2025-06-10,735.0,735.0,735.0,735.0,716.876708984375,0
2025-06-11,735.0,735.0,735.0,735.0,716.876708984375,500
2025-06-12,735.0,735.0,735.0,735.0,716.876708984375,200
2025-06-13,735.0,735.0,735.0,735.0,716.876708984375,300
2025-06-16,735.0,735.0,735.0,735.0,716.876708984375,0
2025-06-17,735.0,735.0,730.0,730.0,712.0,1100
2025-06-18,730.0,730.0,730.0,730.0,730.0,0
2025-06-19,730.0,730.0,730.0,730.0,730.0,0
2025-06-20,730.0,730.0,730.0,730.0,730.0,100
2025-06-23,730.0,730.0,730.0,730.0,730.0,0
2025-06-24,730.0,730.0,730.0,730.0,730.0,0
2025-06-25,730.0,730.0,730.0,730.0,730.0,0
2025-06-26,730.0,730.0,730.0,730.0,730.0,200
2025-06-30,730.0,730.0,730.0,730.0,730.0,0
2025-07-01,730.0,730.0,730.0,730.0,730.0,0
2025-07-02,730.0,730.0,730.0,730.0,730.0,0
2025-07-03,730.0,730.0,730.0,730.0,730.0,0
2025-07-04,730.0,730.0,730.0,730.0,730.0,0
2025-07-07,730.0,730.0,730.0,730.0,730.0,0
2025-07-08,730.0,730.0,730.0,730.0,730.0,0
2025-07-09,730.0,730.0,730.0,730.0,730.0,0
2025-07-10,730.0,730.0,730.0,730.0,730.0,0
2025-07-11,730.0,730.0,730.0,730.0,730.0,0
2025-07-14,730.0,730.0,730.0,730.0,730.0,17700
2025-07-15,700.0,700.0,700.0,700.0,700.0,100
2025-07-16,695.0,700.0,690.0,690.0,690.0,9400
2025-07-17,685.0,730.0,590.0,670.0,670.0,6400
2025-07-18,625.0,650.0,605.0,640.0,640.0,33400
2025-07-21,675.0,675.0,605.0,630.0,630.0,15300
2025-07-22,625.0,630.0,575.0,600.0,600.0,10800
2025-07-23,650.0,650.0,540.0,570.0,570.0,29200
2025-07-24,570.0,600.0,550.0,590.0,590.0,9700
2025-07-25,590.0,610.0,550.0,590.0,590.0,15200
2025-07-28,580.0,585.0,550.0,585.0,585.0,14700
2025-07-29,560.0,580.0,555.0,570.0,570.0,35200
2025-07-30,565.0,585.0,530.0,545.0,545.0,12800
2025-07-31,545.0,565.0,520.0,535.0,535.0,12000
2025-08-01,555.0,570.0,525.0,545.0,545.0,12300
2025-08-04,535.0,565.0,505.0,530.0,530.0,3600
2025-08-05,535.0,565.0,520.0,535.0,535.0,10100
2025-08-06,525.0,595.0,462.0,500.0,500.0,107000
2025-08-07,555.0,625.0,466.0,510.0,510.0,1121800
2025-08-08,505.0,510.0,470.0,470.0,470.0,192200
2025-08-11,470.0,482.0,450.0,452.0,452.0,121800
